episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,0.8602133692886911,20,2166.2291504415502,13.701728495554404,3.9257947979806613,1.0,1.0,1.0,9.618424761384093,1.495131988403902
20,1.0285440880386605,20,21783.122467124875,12.662105491791161,4.512884993533548,1.0,1.0,1.0,6.588609033229891,1.8444977107661518
40,1.0506484961729008,20,30361.039617652765,13.410816282572148,1.1093308661849375,1.0,1.0,1.0,1.4837606455878862,1.3394611355816488
60,0.8624376402027497,20,1412.0230600668644,14.413114173190833,1.2937698123670478,1.0,1.0,1.0,4.388063518159,2.08097337770362
80,1.1088847461464604,20,13.491134866062756,3.774192168896438,1.5791317618242433,1.0,1.0,1.0,6.194084890727947,1.7474744095382568
100,0.9694639036629672,20,223.2617144863362,5.520233214696498,8.176524268574004,1.0,1.0,1.0,4.68335925484733,1.7619234358321185
120,0.9813915748594002,20,971.9763182311548,11.016587616870162,25.150675767277665,1.0,1.0,1.0,5.859108656487263,1.863988236486151
140,0.9824497030209678,20,48.40914954835837,4.273823732772639,2.785948942748781,1.0,1.0,1.0,2.2963224984617474,1.3719698232578559
160,1.3934816631585734,20,5.597764079655324,1.8065390402917927,1.4103420086901963,1.0,1.0,1.0,1.1722066779234663,1.1393244900274437
180,0.9802540316737399,20,31765.81814583639,6.283327819863164,1.3797151370031435,1.0,1.0,1.0,1.4806590006681322,1.263436759933693
200,0.7258097328976668,20,4200.29108474715,15.06950048347459,5.945438772627704,1.0,1.0,1.0,1.172414816813638,1.1278770522142896
220,1.1267843743882409,20,2584.6809888907496,4.869386275945845,4.295603577617094,1.0,1.0,1.0,751.6248976842005,2.408419352114345
240,0.9786355840330397,20,59.72290837121193,5.1756756881758905,5.132100940936768,1.0,1.0,1.0,1.0919818360169096,1.0749051767340991
260,0.838147764193058,20,275.7371131088788,8.991316687842092,1.6386304491150474,1.0,1.0,1.0,1.4834062293522046,1.384620418308637
280,1.1297788433752527,20,143.65726394967822,5.8078625873229255,2.8691459794387923,1.0,1.0,1.0,863.3814716531531,2.929934377195255
300,0.8826933355182064,20,305.41027769208415,14.186618820024975,2.366183282176866,1.0,1.0,1.0,1.1463659527098005,1.128862207039462
320,1.165403360290864,20,67.04286025246469,5.672105436057066,4.56701037347865,1.0,1.0,1.0,3.8892905274902825,1.8769824445954935
