episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,1.2791824786164006,20,9.41258399633383,2.52970785734275,1.239451926014806,1.0,1.0,1.0,833.4916020447621,2.945454958293777
20,0.819253518599511,20,890.8340754611723,14.880320101731412,6.799839053119041,1.0,1.0,1.0,9.733774590434361,1.5552811839462506
40,0.977388741948447,20,120728.84794793844,18.02517479992128,1.1780110603612461,1.0,1.0,1.0,759.4155539612524,2.2415608638020896
60,1.0129616411397682,20,67.22918428366532,6.597916487422719,4.977951325401231,1.0,1.0,1.0,1.3877714553716327,1.259739816846535
80,1.0357694850033716,20,8399.110212199948,12.463662889851715,1.6953159630518206,1.0,1.0,1.0,179.38133245650994,2.4046892640813
100,1.1377401656752035,20,610.5395380645672,6.619821401213907,2.785835562923099,1.0,1.0,1.0,27.576798635570253,1.764046181524092
120,1.021548340482412,20,174.41486489362623,6.907627269339507,3.0408610130269613,1.0,1.0,1.0,1.3574163137249897,1.273089463933311
140,1.2395811673078625,20,38.70102998043636,3.0453768105162617,1.8277617564739501,1.0,1.0,1.0,2.311020430931617,1.3894194994159497
160,1.0960339320763774,20,90.20498482591044,5.407132620134258,1.223934786486847,1.0,1.0,1.0,1.5997300198642557,1.3647788197671678
180,1.104117293837729,20,54.50657738651366,5.40315796155419,1.6056959778493438,1.0,1.0,1.0,4.1392683638164645,2.006385986455659
200,1.1574291752815065,20,62.41351239658455,4.600224794620778,23.793684634493758,1.0,1.0,1.0,1.346433650846889,1.182774533909587
220,1.1512284577962129,20,202.84884033400496,8.13850999558852,2.028348687119259,1.0,1.0,1.0,4.8338062243525375,1.636460432782758
240,1.177997767106541,20,6.37291845577555,2.610681806516813,1.6283280648035086,1.0,1.0,1.0,1.3113674544427307,1.1982304605638427
260,1.083546986316263,20,117.60051488828996,7.171842008181643,3.978925347351737,1.0,1.0,1.0,759.9456533734863,2.684381187328134
280,1.3192779979416707,20,10.207375227410292,2.486092322410753,3.766006146095051,1.0,1.0,1.0,2.7825333861273465,1.628202042926594
300,1.2625051085425965,20,1050.8366352554788,4.036061311629741,1.2312391703595396,1.0,1.0,1.0,1.2553884025871513,1.2023971396193427
320,0.9882919045291583,20,97.35917089513953,13.385751416617563,2.467489364011725,1.0,1.0,1.0,1.431345930644824,1.2697522872800047
340,0.9687040066055788,20,8292.704263373284,14.599654829810174,16.393344253079505,1.0,1.0,1.0,751.1530983723087,1.9486359230568475
360,0.8589601169111534,20,132.08008718153053,8.363572274700788,82.27350199597242,1.0,1.0,1.0,180.19784295802958,2.3691634451377905
380,1.0370936318985309,20,53.53261743643261,4.037865241732429,2.2816741607818622,1.0,1.0,1.0,290.84111773522784,3.1154950436155384
400,1.0703833343231088,20,304.1208095631674,9.601710982683384,20.66737491357016,1.0,1.0,1.0,178.2546248732575,1.9456075750933275
420,1.1515470598149053,20,1656.1766152171017,6.5182040092029,5.508149769711638,1.0,1.0,1.0,1.6223933456315343,1.2507784339814438
440,1.2181165246663999,20,87.27188042506324,4.588330814868112,1.8630306437047752,1.0,1.0,1.0,1.233035680422264,1.1785723746219405
460,1.0687914559768132,20,113109.09498014938,7.750400062059409,9.067037881021063,1.0,1.0,1.0,752.8732972755123,2.3267615600827014
480,1.2552373638588485,20,113.89006399908904,4.083277977169182,2.92441729873973,1.0,1.0,1.0,27.26010916928995,1.5409967722003126
500,1.1311210143239339,20,37.109898232365666,4.124772669756441,2.640707290266044,1.0,1.0,1.0,10.062634278234333,1.6632699866659837
520,0.9828506552462862,20,94.30607623639445,7.0162016756176895,4.1146428100289,1.0,1.0,1.0,2.1327614644371047,1.5965329810638977
540,1.0007222734896106,20,85.54946957542771,10.45166279462449,17.027412438262726,1.0,1.0,1.0,10.769911534098416,1.9900930924515243
560,1.0583098596689402,20,11.306982654349515,3.9817709930497913,2.8392296411282727,1.0,1.0,1.0,18.995264360337213,1.9260294916752239
580,1.1456863511627609,20,7967.1296304433445,5.4290116919566165,3.31595324750926,1.0,1.0,1.0,753.3755279651939,2.520128957980923
600,1.1198503505033082,20,19.340616362481846,4.342059788240114,2.894162536017395,1.0,1.0,1.0,1.4102706839163388,1.2217042734358061
