episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,1.0049421301697357,20,609.5180255685557,10.531739640580652,2.093323585002191,1.0,1.0,1.0,179.32423371101441,2.3156012000570434
20,1.125217630813812,20,5539.219224585409,4.358608224288613,5.984383057084685,1.0,1.0,1.0,3.713924466480981,1.6106910564284826
40,0.912614035785829,20,1955.688357460258,8.433674500072822,3.2757124897987397,1.0,1.0,1.0,5.180427957516297,1.8084372346326367
60,1.031386041093557,20,285.3831522035799,14.306141590042094,9.810324291374144,1.0,1.0,1.0,113.7638828494003,1.7837816083704094
80,0.9378574470494258,20,1892.9038834252347,13.284679306785511,4.074695547512386,1.0,1.0,1.0,1.6457740479329452,1.4776228942372711
100,1.163476140354476,20,9.561689438338695,3.0229344939540836,1.855725431868358,1.0,1.0,1.0,1.6880012870367278,1.4471846559342165
120,0.8813086416236754,20,12241.31763011442,11.573277943802992,3.6086689450386946,1.0,1.0,1.0,1.216502002738089,1.1070090874301652
140,0.9447235283923453,20,331.4277402746649,9.161037123689553,2.137783098337394,1.0,1.0,1.0,10.313850483783538,1.608826905126462
160,0.996313015184703,20,404.37466146046546,9.08400056084872,16.51462513447308,1.0,1.0,1.0,2.6789957474491173,1.467503003932366
180,1.1172322139917257,20,2537.6596044460384,8.075515852621796,2.2972784041441647,1.0,1.0,1.0,9.89164155938875,1.6856395325851952
200,1.1297795263043133,20,12055.922493405516,5.16421439054502,1.6288544158537728,1.0,1.0,1.0,1.2539982646893013,1.1705311530237488
220,1.1472622252213942,20,189.4318361440159,5.82452057232048,1.1786309368709298,1.0,1.0,1.0,1.6774821505474644,1.3423797077402138
240,0.6818708612399971,20,11285.727902473089,22.916360235564238,3.0729009674663157,1.0,1.0,1.0,1.8401831545922156,1.5786447912675536
260,0.9484641251530906,20,443.4984977639513,8.204439625483902,2.748118838142779,1.0,1.0,1.0,1.3091897167504594,1.191262400747928
280,1.0468320809222447,20,1753.295174242206,8.863017802217719,14.19296567272446,1.0,1.0,1.0,1.306822646941352,1.2037084440357428
300,0.7726415105793276,20,66.25621720733832,8.588244338879074,2.091287148655534,1.0,1.0,1.0,1.2204006285335616,1.1080838935546777
320,1.1232943390743926,20,47.94590063885041,5.337960396667583,1.7053098418801989,1.0,1.0,1.0,1.7294255332996706,1.371871463833947
340,1.1175027740277448,20,290.5505233860523,4.4484784055597295,4.009807221147543,1.0,1.0,1.0,4.477428656899546,2.2122675589015626
360,1.1635321967606862,20,78.73908679598745,5.7451949162631815,1.7570393924161427,1.0,1.0,1.0,4.192440487096244,1.59838596710725
380,1.0548177774838388,20,21.774703547103158,4.416878807460918,3.842420656968076,1.0,1.0,1.0,2.9184350860741666,1.5648028263263325
400,0.8292631089390644,20,484.47387685942306,8.000632396111076,17.320265542584877,1.0,1.0,1.0,3.8330900419951646,1.7409918998984242
420,0.8984441731069481,20,291.46158158554084,10.964392513464057,27.97731389899615,1.0,1.0,1.0,13.529478857042974,2.090848571472055
440,1.1948574971359174,20,4.623170069112376,2.4789458093034717,2.5227233289285027,1.0,1.0,1.0,3.688672055229405,1.7880010588203132
460,0.6428822450010615,20,930.8489794439176,25.840743122264108,4.1456396475343364,1.0,1.0,1.0,7.774029191513651,1.957239308441921
480,0.9601134327337164,20,342.0061106369391,13.502552961343566,6.7794692412226345,1.0,1.0,1.0,824.4829970034614,1.8865264832060553
500,1.0168439274790186,20,364.0419339708627,8.55902784521149,2.865423994647292,1.0,1.0,1.0,824.4328416213006,1.8327309124727265
520,0.9764867239604662,20,680.6863370635226,11.732279258971108,9.729273698361107,1.0,1.0,1.0,863.6336029878075,3.027722857496677
540,1.0724257792046872,20,193.0047105192925,7.712499358706806,3.385323226356285,1.0,1.0,1.0,1.7280955818401265,1.337116331982611
560,1.1719302337778261,20,599.1842661992745,6.46134603409714,4.847184286817382,1.0,1.0,1.0,2.9835512841947347,1.827713756321499
580,1.2534428454825481,20,12.86677080016552,2.6310683829163715,1.3548990796335378,1.0,1.0,1.0,6.795189398360506,1.8475404042276131
600,1.0750530988411864,20,276.276077220076,6.232439798788408,8.680901672732935,1.0,1.0,1.0,2.7320933189824226,1.5803482323932148
620,0.9540144624325875,20,54.450561593008615,5.928131864621137,2.6023164449910303,1.0,1.0,1.0,2.7950928288850823,1.5670752830308838
640,1.154494858858585,20,17.93949723570513,3.5392512115086623,1.3915482297478659,1.0,1.0,1.0,26.307092947845973,1.6422002589994644
660,1.1657973909997463,20,96.940747700693,6.840132037311808,7.867912613593335,1.0,1.0,1.0,2.2174443685871683,1.3146588509431352
680,1.11112725601654,20,2459.593376047759,5.6727733678704695,3.8189319408345215,1.0,1.0,1.0,2.3355155667197893,1.7429860393181467
700,1.245379195955062,20,9.183564454259782,2.6876114915218596,3.6337600029108827,1.0,1.0,1.0,2.2646413035729744,1.50875831676595
720,1.188773954104549,20,27.70408140308831,3.790188186747405,1.581827528169441,1.0,1.0,1.0,6.293482751517654,2.404019321550277
740,1.1420716333350462,20,125.3125879709872,4.326196212261544,1.6494365256096974,1.0,1.0,1.0,117.00842849215174,2.430931736643624
760,1.0770102961202777,20,289.5106321290134,9.387445638260552,1.8509057138946972,1.0,1.0,1.0,835.1668643414289,3.2013519265333925
780,0.8511810721469871,20,102.74611230265256,11.11274488419229,33.64328553262309,1.0,1.0,1.0,2.005676257330514,1.4040895320765123
800,0.9444190926070725,20,165.07855488206704,4.913089190883981,4.750197979608445,1.0,1.0,1.0,1.7043230305945691,1.3996408965554903
820,1.1397202529801,20,427.3195118505184,3.987617324695749,2.128024389046242,1.0,1.0,1.0,11.671451461201682,2.255089288643216
840,0.9464887964000331,20,152.9914224321709,5.486544975535617,5.311036742801579,1.0,1.0,1.0,1.6799885116168998,1.4296616989532682
860,1.267715051951431,20,16.054736652572142,2.4151542104041126,1.3786920929570485,1.0,1.0,1.0,1.8733324591141371,1.48844655654771
880,1.1898970774027713,20,181.08984123491393,4.70990349468968,5.956414201345756,1.0,1.0,1.0,2.303409595939769,1.5012427260389876
900,1.3888282749802394,20,4.229194798781898,1.8957294075362667,1.4173766046828515,1.0,1.0,1.0,2.521464190647956,1.5257253938673534
920,1.0059930401027588,20,5607.444462883541,9.696793840835502,3.2646378711077033,1.0,1.0,1.0,10.544866838630428,1.9697061024334261
940,1.386259870753929,20,139.35437699173684,2.894734202961509,1.074631573942098,1.0,1.0,1.0,1.1964630273068448,1.1201775413658674
960,1.12011780681741,20,120320.28781852438,7.297193616853421,2.373445778255296,1.0,1.0,1.0,761.4472443728332,3.093708287250979
980,0.8101947363605836,20,4105.6326033567675,8.829679455683317,13.416321827281935,1.0,1.0,1.0,6.061335428995339,1.6549081214158576
1000,1.3017253092023755,20,9.844471168237332,2.411858387178769,2.2193011421850706,1.0,1.0,1.0,1.1574291088479012,1.1289168923933532
1020,1.2131499328507185,20,32.84065738057297,3.397667176261754,2.183037997240189,1.0,1.0,1.0,4.380354158310437,1.7242689571832184
1040,1.3166210411319796,20,153.53888815495546,3.551263961275921,3.660012791436828,1.0,1.0,1.0,113.72120214035729,2.0075787466854056
1060,0.9249743586381302,20,4658.342968146474,15.172491024630293,10.289210520530684,1.0,1.0,1.0,40.00209289605479,2.1962394154906817
1080,0.9370931694724058,20,448.5712764798533,8.09914527830676,2.1506290243266526,1.0,1.0,1.0,2.451955832878891,1.424894307868467
1100,0.7823110757749725,20,327.7468624782131,17.80883211816306,1.6721405259090003,1.0,1.0,1.0,1.6709207981912482,1.4661074652113415
1120,1.0774124355049561,20,1028.2352448067845,6.088133153034519,2.829673543526375,1.0,1.0,1.0,3.7704323895596685,1.4333543702687672
1140,1.1565677075983116,20,2968.6972698936197,7.769254570746671,3.966867011116356,1.0,1.0,1.0,3.5925463252456256,1.3130006685704065
1160,1.0550609029359623,20,1743.1396215754485,7.037849693157157,1.9063857051273476,1.0,1.0,1.0,2.553041392830939,1.5923395474917106
1180,1.0972786548011833,20,66.47242947015746,4.957575498326699,3.8642966423428957,1.0,1.0,1.0,2.1889046277238196,1.297090632629737
1200,0.9155512884233538,20,312.61655051404074,16.282217907715527,12.53363708006537,1.0,1.0,1.0,2.703561969022722,1.388829728802035
1220,1.2190219597845868,20,4.315883708588823,2.7056416718510605,2.9067238251599097,1.0,1.0,1.0,1.465342222652175,1.2578489185319417
1240,1.1525335197898783,20,12.596727662731471,3.9004079175283635,2.187542203695975,1.0,1.0,1.0,28.73381347235309,2.101404435201332
1260,1.0293374362935892,20,26.066121496627282,3.769266087974772,1.6483985285168203,1.0,1.0,1.0,10.541687941517818,2.3323421032238905
1280,0.945831033039988,20,113311.84906451943,29.288630510522534,2.6531886691756776,1.0,1.0,1.0,751.2562101559647,1.9346349344836178
1300,1.0402978983015205,20,63.80900174333588,8.195178795754389,7.124900642341477,1.0,1.0,1.0,825.448748094847,2.6335808436723633
1320,1.0551983625277106,20,71.19786886325468,6.816823593123739,39.93797142111729,1.0,1.0,1.0,27.876942968015538,1.9385313206306343
1340,1.1186657787505792,20,36.80735034816341,5.041438656807052,5.037482605673931,1.0,1.0,1.0,1.376510760354191,1.2726115321719755
1360,1.2475053877486462,20,1152.699891136155,5.447731729242372,5.432241796047406,1.0,1.0,1.0,1.5714909689585663,1.2840679476241488
1380,1.273961194259281,20,29.517264732345318,2.7919932379929686,1.4549039180175969,1.0,1.0,1.0,850.7361492520802,2.7120699736631546
1400,1.0936827544141072,20,62.41074674666213,4.663048548254392,1.8374448793702287,1.0,1.0,1.0,1.5396259987925183,1.3349477002786967
1420,1.2070330132698341,20,6.9942636301722585,2.701005568497391,2.7510524319085063,1.0,1.0,1.0,4.150283949989659,1.7118861458749735
1440,1.3270828555187453,20,153.08850516456818,3.151360293242434,1.3374139695816158,1.0,1.0,1.0,35.57331583135181,1.8375098737672735
1460,1.0462772081454716,20,113113.13839370257,6.776546121249331,5.378228694076409,1.0,1.0,1.0,751.6275088084574,2.2373475470201174
1480,1.4490651924057332,20,1709.475615217942,3.03846994789387,2.928416179679005,1.0,1.0,1.0,2.0339002869667864,1.503139760055113
1500,1.0934552776739983,20,76.03079801164036,4.67128016467008,1.9875598861932344,1.0,1.0,1.0,1.2231810461388555,1.165029356381151
1520,0.9736561542717534,20,1603.6604788421448,10.327405564864332,15.602641692877109,1.0,1.0,1.0,862.5390831368088,3.17031140920656
1540,1.2275850501731767,20,67.07926019516383,3.9993132180801214,2.092643089429603,1.0,1.0,1.0,3.5730528727475397,1.7646100786430383
1560,1.3869634993841775,20,1711.2527055507126,3.4946551588159496,1.8171018288302025,1.0,1.0,1.0,36.84808246975953,2.497073491546435
1580,1.17911799594682,20,1063.8451657182309,5.581946666344696,1.776458647328826,1.0,1.0,1.0,28.43081155021158,1.7977821631788944
1600,0.8889359503099762,20,5561.548470656798,7.790175533767678,5.133647021948883,1.0,1.0,1.0,2.1324633081024147,1.4786693067754761
1620,1.0066677257825085,20,55.02116752243078,6.8799794712607705,2.946532419863952,1.0,1.0,1.0,2.1815709992999808,1.546506906247097
1640,0.8156711545321794,20,148.6513466498051,17.629342495006235,2.650052875835067,1.0,1.0,1.0,1.136588904846332,1.1153844198416045
1660,1.0959128303061143,20,375.4966415549651,5.035018113262757,2.127320179078925,1.0,1.0,1.0,39.662610703139435,1.9990341982612192
1680,1.0682669576503556,20,9.14919271119153,3.791674921846817,1.8894694523983875,1.0,1.0,1.0,2.6984753189914574,1.5987262278761685
1700,1.3089401562267589,20,25.460259300462845,3.3216816528972934,2.174049797995551,1.0,1.0,1.0,3.8928665279229184,1.6846385441084546
1720,1.1027992785837792,20,235.62973110287652,7.484607798365039,1.678402246707125,1.0,1.0,1.0,2.031411689589599,1.4805544882030193
1740,1.210417706192763,20,9.00009516915276,2.4578893577108305,1.5571480745728348,1.0,1.0,1.0,19.114926479781055,2.5294416677355307
1760,1.1455216768866123,20,6.732025196506742,2.740638259043737,2.1218082058447214,1.0,1.0,1.0,6.699143293532106,1.927965185310713
1780,0.9767249186943083,20,114661.24166940051,27.701659270543317,3.7093122245890124,1.0,1.0,1.0,1501.9581739787325,3.942953128652193
1800,1.0017393502664245,20,174.80123512311746,4.907934876803218,4.1725163915246135,1.0,1.0,1.0,1.43523598256012,1.340735750492249
1820,1.1231684422657402,20,21.897918209726907,3.1878234665158836,4.878202504686935,1.0,1.0,1.0,5.786437967539671,1.7626911810768824
1840,1.2412135841714997,20,26.99143659449688,3.234673282529909,1.2049479251350415,1.0,1.0,1.0,2.7425253468769304,1.593657595883526
1860,1.342303880201211,20,23.498724158938316,2.4671510379939057,3.136427866463077,1.0,1.0,1.0,2.5019853764487343,1.2416108439222806
1880,1.017393975442983,20,235.2099058150318,4.834365865828005,2.4595580126862417,1.0,1.0,1.0,2.203869510656665,1.5419044905444672
1900,0.9589431984871911,20,13.94391165337523,4.230445063237188,7.141845130470493,1.0,1.0,1.0,1.1545176595739117,1.1268759233954762
1920,1.1982138521917296,20,1724.611538128061,5.204786489486034,2.2998453821118234,1.0,1.0,1.0,1.1577012018885982,1.1355155898773681
1940,1.1556293209607449,20,285.6938925479377,5.561260829318194,1.4212888491858386,1.0,1.0,1.0,1.8856670282509704,1.3860162507005107
1960,1.0300486891988876,20,10909.37502785297,9.606267632365764,3.2852696060737445,1.0,1.0,1.0,1.5349542096642572,1.3279195304393088
1980,0.924168726568594,20,482.17249808278814,18.280485806296845,16.817881464527098,1.0,1.0,1.0,2.5311882911078882,1.63541665775683
2000,1.3908728614613897,20,16.357427724077933,2.518170752141011,1.2833408602145688,1.0,1.0,1.0,4.5759179296112515,1.7357791891701233
2020,1.091680136374651,20,74.58551102477779,5.406205245187829,2.229117895299422,1.0,1.0,1.0,2.6683299448642166,1.678937185027634
2040,1.0272956364261014,20,249.73913793682624,9.378649352221172,2.8629431196075243,1.0,1.0,1.0,1.2696763628481886,1.2216323184441138
2060,1.2062177205620332,20,20.88154509243848,2.833208552903179,2.934219540782678,1.0,1.0,1.0,3.0442426736670076,1.5665609230172244
2080,1.2834652815492142,20,113103.10222050408,4.533388086688427,2.5007752769758618,1.0,1.0,1.0,754.1815184768851,2.174378578544499
2100,1.203572996884504,20,472.6806145368131,5.0868634535172115,1.3134048573178547,1.0,1.0,1.0,28.99333974509126,2.192001489220613
2120,1.0939307491864407,20,185.0524000477724,4.386884540462409,2.728762864848491,1.0,1.0,1.0,30.617897855207893,2.7230486429961234
2140,1.2190232198734288,20,34.832556007446854,2.8523062365470846,1.161141741388902,1.0,1.0,1.0,1.4398899844602593,1.2973334420280176
2160,1.021704361701397,20,3904.1862477078525,14.885400850881721,2.63871631170017,1.0,1.0,1.0,1687.9497813676167,5.7810174299230725
2180,1.059125669640276,20,49.97444325521781,3.8889038197082915,2.9892574377596204,1.0,1.0,1.0,1.7105216778494199,1.4622107860757778
2200,1.385351854168642,20,35.492054142178915,2.0883841356025385,1.2184341096266271,1.0,1.0,1.0,1.3762703788710415,1.253509559659473
2220,1.140539477442466,20,83.78662647217739,6.018705444785296,3.0081618015809575,1.0,1.0,1.0,39.203278748166404,1.7057202845465262
2240,0.9226306321721861,20,198.54628781745075,11.589716792213093,2.279346914116026,1.0,1.0,1.0,13.23531054107145,1.7851785014892523
2260,1.0488841877496222,20,143.11702935769154,5.401622572383928,8.926802540101662,1.0,1.0,1.0,842.7818340333299,3.723068440507372
2280,1.0826869137159616,20,99.12207997143416,9.392235656854274,1.2662046462351575,1.0,1.0,1.0,1.799781552621538,1.3470652852504994
2300,1.2663150452085388,20,306.62910953937046,4.873258014193273,2.9565928847972955,1.0,1.0,1.0,3.9432741419471347,1.5546132388086185
2320,1.4315984721334887,20,370.3440276688835,2.3290697522505,1.452356199910972,1.0,1.0,1.0,27.112261659805075,1.9833896244687512
2340,1.2774111308349068,20,76.07148789790158,3.855069967046991,1.2537626089463785,1.0,1.0,1.0,2.723681290006624,1.591691122805456
2360,0.8901165622088254,20,2234.2695188139087,11.49249984246235,6.070150613014102,1.0,1.0,1.0,1.3486019635190112,1.2050624121040663
2380,0.9891146981093843,20,862.9403923052266,16.33382004084925,1.4551325941690316,1.0,1.0,1.0,13.397872468052634,1.724972558787514
2400,1.4431479122538857,20,9.830340441833428,1.9185739308707246,1.2226967169051897,1.0,1.0,1.0,28.255168791273633,2.501908190078596
2420,1.0906106564303406,20,1587.6058249418247,10.122384197799597,2.3329859161457978,1.0,1.0,1.0,5.644957919248215,2.383179160088239
2440,1.0698816745836157,20,281.804328261311,7.674090857367997,3.712376565176326,1.0,1.0,1.0,1.3393820483610714,1.2198535140748323
2460,1.1218250192421817,20,929.1622966404053,6.184770848268282,1.5019014696539552,1.0,1.0,1.0,2.645532081355174,1.6210073270361463
2480,1.2042867269927768,20,54.81550629996276,5.179564878546059,1.2591737928950515,1.0,1.0,1.0,2.5912225791581665,1.8022739621969337
2500,1.3161533105111656,20,81.64949017477345,3.2542326895961495,1.6260977679658983,1.0,1.0,1.0,1.4541102441215923,1.2617119411603421
2520,1.1923873266730014,20,15.352119184680063,3.2698940437132507,1.3645836982905268,1.0,1.0,1.0,1.60313041649691,1.298385450834992
2540,1.1766446268259003,20,3.190566205720244,2.3392796683183703,2.5070538517247627,1.0,1.0,1.0,40.36545397772686,2.0357475278629447
2560,1.1644906198446152,20,616.9763583707594,6.759923491568403,2.4313182709081995,1.0,1.0,1.0,2.627395446494774,1.3622594058482074
2580,1.2845443586802479,20,17.675581609901,2.557126365813886,1.5496492381918718,1.0,1.0,1.0,5.632586383930635,1.7556418453933182
2600,1.2004703642062164,20,897.0489987127106,5.1135923200587765,5.204242116107518,1.0,1.0,1.0,1.289633359259741,1.2282890569831157
2620,1.1845016657660226,20,6.7993130255948016,2.3354182320658823,3.1946495725615702,1.0,1.0,1.0,6.598998556117183,1.8531444217963782
2640,1.1265161190491404,20,113119.8538807215,9.092133290234736,2.474483810792661,1.0,1.0,1.0,752.6266764314801,2.4285972239928126
2660,1.3082505340496287,20,37.67051395746755,2.8469633119197995,2.1799007625139346,1.0,1.0,1.0,13.868816101200064,2.0596326512202077
2680,1.18721553742079,20,1849.7827708309942,6.096205629876844,1.6255531453830148,1.0,1.0,1.0,10.37982778842524,1.6077357502877416
2700,0.9743147029637361,20,740.4324844379111,9.032456722390426,2.6893033481095845,1.0,1.0,1.0,1.5112838872857384,1.3343468654154929
2720,1.215793582834318,20,9.476578471990306,2.5926673178288246,1.329941850276928,1.0,1.0,1.0,30.521416092744204,1.8922552620040396
2740,0.8016794360560343,20,86.9262531665147,7.027850486212051,16.075521800132968,1.0,1.0,1.0,39.62109440962712,2.5552008320542257
2760,1.5024962099283643,20,6.328089417782499,1.6187169208692902,1.0952922272904273,1.0,1.0,1.0,4.301733693755899,1.358720834658639
2780,1.1922390546603303,20,26.651417112217615,4.997453142773832,2.0042592581564147,1.0,1.0,1.0,11.6743750939492,1.7934657786426131
2800,1.051356920860309,20,4.475373741366342,2.7571387968976975,1.7322771690064571,1.0,1.0,1.0,1.709822028935345,1.4709058446891234
2820,1.257177858621429,20,44.4301604175664,3.183540991980932,2.9319712059662315,1.0,1.0,1.0,8.038740145593454,2.2759678355953357
2840,1.0676886165327422,20,68.2300788498238,4.985234890570182,3.0329971689470416,1.0,1.0,1.0,1.4422666765397478,1.318688382518397
2860,1.1443929046560402,20,214.01890896334794,5.312616354972859,7.942452626170223,1.0,1.0,1.0,1.7747343141861598,1.4730331129831722
2880,1.229063280063729,20,113184.90828962035,6.89133639994887,2.4467659394237073,1.0,1.0,1.0,752.5120923968478,2.345980256080631
2900,1.3098192116688068,20,183.0927472687339,3.2183874602314244,1.2833018135734522,1.0,1.0,1.0,2.143643957954785,1.3266591480071563
2920,1.084057105680021,20,226771.0941400022,27.703532846683114,2.2362444483861386,1.0,1.0,1.0,1501.3791851865403,3.642639983479949
2940,1.0767674933053812,20,15.554167429312296,3.0037462407517466,3.2581782096141274,1.0,1.0,1.0,1.4060876935635997,1.2424617749542888
2960,1.259386303808756,20,28.00173014415018,3.357560292545192,4.457779330335691,1.0,1.0,1.0,10.213567277180381,1.5525742266158418
2980,1.0360946198155374,20,63.486306353592035,6.488543227254232,2.4594427117072906,1.0,1.0,1.0,5.942295635085681,1.7700163031105574
3000,1.2187239127098455,20,34.557339667703765,2.7155101783846938,2.698641272586022,1.0,1.0,1.0,10.352099421557153,1.7345674691548931
3020,1.4779858290007222,20,1.831649166618186,1.4772991570179919,1.3705807644704726,1.0,1.0,1.0,1.637855290260621,1.2610311673598427
3040,0.8391978751982799,20,154.34289163070187,12.858102818570046,13.301576330504947,1.0,1.0,1.0,31.62731799855261,3.092510008357245
3060,1.1610525503888156,20,25.909648214810478,3.4113028678252912,4.675412996739156,1.0,1.0,1.0,1.400134968077223,1.2074050761552224
3080,1.3387237177455669,20,1549.2024532106714,3.6679163342420393,1.4918956234713905,1.0,1.0,1.0,1.247356676578519,1.1933133205595738
3100,1.1663831404438365,20,20.62107622503978,3.958630390894598,1.9197783544395548,1.0,1.0,1.0,4.648306504871828,1.594504631726162
3120,0.8950699371097569,20,113170.18088242493,22.818316775823888,10.786113421118262,1.0,1.0,1.0,777.5997206542054,4.3433433703020645
