episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,1.1803766072165616,20,11.70046671401344,3.5530954344521626,2.260424513313696,1.0,1.0,1.0,1.2825288681304041,1.2343075141041624
20,1.1500202059586777,20,12752.92671832169,8.011403066734372,2.039586309869843,1.0,1.0,1.0,1.1948948206185208,1.1475910296242082
40,1.0213382572160161,20,892.4221523901637,6.911722389032721,5.356760685596943,1.0,1.0,1.0,2.054562619447836,1.4480556575496395
60,1.2467513200947313,20,21.56189842012629,3.1839114062628284,1.9561642799474477,1.0,1.0,1.0,1.9256009530509697,1.5077957284624064
80,1.0030849353603482,20,234.72587269090536,6.336549399852388,1.3370136089844684,1.0,1.0,1.0,2.832088507848474,1.4856869234958672
100,1.395230659574431,20,382.4302714293647,3.301072850887654,5.266078597015121,1.0,1.0,1.0,26.74875063983386,1.838516077870293
120,0.8549580669363447,20,106.81705195260629,9.762165874627339,6.826869360377769,1.0,1.0,1.0,10.668219893683627,1.9399642547054836
140,0.9775534390420001,20,7421.7560871141,10.425899919977864,4.204043514655405,1.0,1.0,1.0,3.935255892847458,1.6736068667326616
160,0.9316994234229687,20,4180.186619727533,7.668721387620012,6.474586933219006,1.0,1.0,1.0,1.1471423609814422,1.1091431398003944
180,1.1097645220902068,20,561.5801268104184,6.882459971303867,7.7160561517215065,1.0,1.0,1.0,12.060358053809423,1.7675839067004715
200,0.8896905562715082,20,7922.84459409939,14.688686545316225,87.76940070947117,1.0,1.0,1.0,2.5960063404436697,1.491899539303133
220,1.130798076302247,20,343.5398101070983,6.476866006114105,2.8077676927386723,1.0,1.0,1.0,5.539781110943741,1.9474365829205125
240,1.0708253076146763,20,61.14856272213651,5.331843988725443,1.026510336527273,1.0,1.0,1.0,27.45565754735759,1.7070926924817449
260,0.9863712951792565,20,195.18675965944973,8.806674590276454,2.20438463619375,1.0,1.0,1.0,1.2940779933275375,1.1846656286165607
280,1.1403980227586847,20,247.80110870719324,9.723014214385906,2.7483835576085895,1.0,1.0,1.0,39.560693184868946,1.8745355267123625
300,0.9639679032005756,20,432.24477930272303,13.992772719387263,10.180926458594001,1.0,1.0,1.0,1.242607782426464,1.1741347335898644
320,1.1165497338336527,20,21.159520896535124,3.138881728207827,1.5155567373044296,1.0,1.0,1.0,114.0537371509292,2.1496565118689213
340,0.9737556510126094,20,2574.785221587708,6.851958159787963,3.1649005343392105,1.0,1.0,1.0,1.438056392255764,1.2897843538933564
360,1.0132980731947616,20,11021.534991012419,8.771118354364182,1.8929294897151079,1.0,1.0,1.0,26.879419840782322,1.7117500048397007
380,0.9834740490355707,20,2148.2267439570796,14.213967444819678,20.062290089062596,1.0,1.0,1.0,2.324969126656746,1.3399827636605801
400,0.9738068223538102,20,30.519616661585804,6.344116506679617,2.3824045413750756,1.0,1.0,1.0,2.2568109455539487,1.4472523848631478
420,0.7725877350308781,20,2267.976734643424,29.50701671077221,10.147616986916033,1.0,1.0,1.0,9.498032042164322,1.3718614338038408
440,0.8712723114202134,20,74.07132395327208,6.882844547692132,2.800457982009045,1.0,1.0,1.0,4.444755305216661,1.5860399165637182
460,1.2211204561163895,20,765.8915378849217,4.246379295444934,3.398777582692419,1.0,1.0,1.0,3.767214740688087,1.4029220772300757
480,1.1832188098935366,20,37.86631890377039,3.8665673375546086,2.8868503434793222,1.0,1.0,1.0,27.75549826377785,2.0816395853338583
500,1.0576753984501346,20,177.6103067213273,6.237599216597759,2.0963419064269653,1.0,1.0,1.0,142.32739031733703,3.5504411094319925
520,1.1036408421401451,20,39.046896093453846,4.35108479695494,5.67209199862857,1.0,1.0,1.0,1.4195508983076954,1.2244883926793104
540,0.9272932838100101,20,144.96931586088397,9.003112879910208,2.6502083219598522,1.0,1.0,1.0,2.295302569984597,1.5422101517466238
560,1.3323678337383098,20,4.928998706935654,1.9784858290571534,1.884230038968263,1.0,1.0,1.0,1.1878486760709028,1.1357617464464214
580,1.0735513335011295,20,59508.72388694163,14.61810994097831,1.5741033982312165,1.0,1.0,1.0,363.8815916843996,3.746470013495535
600,1.1082564521990477,20,401.76672781459615,8.699907369492067,1.1543172373700623,1.0,1.0,1.0,13.407176106143789,1.9939527549463214
620,0.6907337786947053,20,177.08592448800286,19.27078138272977,18.0767040778348,1.0,1.0,1.0,11.501094523611822,2.010764737391342
640,1.2891915433719208,20,18.872480520998945,2.3685122463133164,1.2355349715074266,1.0,1.0,1.0,1.9738245057798163,1.3657683954061464
660,1.1738613773802518,20,186.1700715456918,5.03363093304152,2.4741222490947656,1.0,1.0,1.0,5.389857098671118,1.4565776065271967
680,1.136217147621002,20,29.267189056011812,4.225024612511559,25.550219178376825,1.0,1.0,1.0,5.429877990598254,1.8837342591758095
700,1.199835746720993,20,94.14921995861874,4.325990957429612,21.29459920010663,1.0,1.0,1.0,1.3999494878843328,1.2099089603176125
720,1.1168951257350774,20,50.753152795108136,3.9062372285017104,1.6178167697601957,1.0,1.0,1.0,39.102998834845195,1.6704669120328681
740,1.2190763804827993,20,22.013641793263723,3.298632205759473,5.2090088171446025,1.0,1.0,1.0,178.3671729173379,2.027168162249163
760,0.9979052442836075,20,80.46668334355607,5.533511209780107,2.5205868772014277,1.0,1.0,1.0,12.81584348070002,1.8731309352729224
780,1.2813174832463923,20,7.12551378850066,2.6803023242510955,1.1495349049974168,1.0,1.0,1.0,1.5784097264293049,1.3205673713158232
800,1.316853028857762,20,8.59765485720335,2.5588241246609833,2.2354665922497996,1.0,1.0,1.0,9.874440901461474,1.669884681394927
820,0.9533177212835009,20,9259.124943223225,10.203627687777374,3.0360539296559947,1.0,1.0,1.0,28.266514664422907,2.013868370474066
840,1.132417684581853,20,13.04729632508583,3.4271964959421704,3.67560183632789,1.0,1.0,1.0,2.723810847697658,1.4112743438057602
860,1.0258594196157176,20,72.95638859768995,4.7461343759729955,2.458766186438153,1.0,1.0,1.0,1.7912363999143874,1.242693616654895
880,1.079015888073429,20,2230.5872313247537,8.52204132022645,17.34244529527115,1.0,1.0,1.0,4.3382621142272955,1.7627266922202665
900,1.0670917083883085,20,57.58691278978391,5.757204294945756,2.6266143433947446,1.0,1.0,1.0,3.491507272493243,1.670196732405918
920,1.4363341128030194,20,17.318101709926626,2.1087787284903454,2.9672187122230107,1.0,1.0,1.0,115.21782376548902,2.482181112050805
940,1.1253091873324519,20,152.97580531364954,4.30809725496082,5.240892649622099,1.0,1.0,1.0,1.6400989295384156,1.4011899862851884
960,0.966757984572479,20,25.652784751220167,5.959108694208567,4.888983065647635,1.0,1.0,1.0,1.940971149348846,1.4004989889890096
980,0.9140368687128078,20,150.32257707469037,7.2051118221523005,7.916492219985361,1.0,1.0,1.0,30.043675788588736,2.3091975817128745
1000,1.1827118552766795,20,525.1320929933696,4.62057334865884,2.116062432031384,1.0,1.0,1.0,2.679017023105911,1.4028633451308414
1020,1.1895231257283978,20,8.075879878571076,3.0965543018330983,2.7806902949872447,1.0,1.0,1.0,26.996578854892014,1.8576801571207557
1040,1.3201542968811188,20,7.825620955601472,2.1271247231195787,1.1422616967370656,1.0,1.0,1.0,2.030058640294323,1.395958209868347
1060,1.1146256608389051,20,250.68677962185978,4.585927000606255,2.685077369510451,1.0,1.0,1.0,1.1894819670447025,1.1446944557037662
1080,0.9173357790025781,20,505.55914903640115,13.283514716036517,2.33968134443836,1.0,1.0,1.0,11.086757487511672,1.5396920171288553
1100,1.2388654121846214,20,1019.9458114595349,4.2341108490325725,4.227538493758909,1.0,1.0,1.0,2.3822459802902474,1.3079250433647578
1120,0.7975950777728824,20,485.637444433517,13.92859280344455,4.56285611770553,1.0,1.0,1.0,5.632272244508661,1.607294895527842
1140,1.0788988010349807,20,48.709748289041194,4.065299305850003,3.277135243510055,1.0,1.0,1.0,1.6285431828008818,1.4297002810467578
