aliases,cardinality
"('cc', 'cct2')",33772
"('cc', 'cct2')",33772
"('cc', 'cct2', 'ci')",41577
"('cc', 'cct2', 'ci')",41577
"('cc', 'cct2')",33772
"('cc', 'cct2', 'ci', 'n')",17486
"('cc', 'cct2', 'ci', 'n')",17486
"('cc', 'cct2', 'ci')",41577
"('cc', 'cct2', 'ci', 'n')",17486
"('cc', 'cct2')",33772
"('cc', 'cct2', 'ci')",41577
"('cc', 'cct2', 'ci', 'n')",17486
"('cc', 'cct2', 'ci')",41577
"('cc', 'cct2')",33772
"('cc', 'cct2', 'ci')",41577
"('cc', 'cct2', 'ci', 'n')",17486
"('cc', 'cct2', 'ci', 'n')",17486
