aliases,cardinality
"('cn', 'mc')",109896
"('ci', 'cn', 'mc')",102055
"('cn', 'mc')",109896
"('cn', 'mc')",109896
"('cn', 'mc')",109896
"('ci', 'cn', 'mc')",102055
"('cn', 'mc')",109896
"('ci', 'cn', 'mc')",102055
"('chn', 'ci', 'cn', 'mc')",49857
"('ci', 'cn', 'mc')",102055
"('ci', 'cn', 'mc')",102055
"('chn', 'ci', 'cn', 'mc')",49857
"('chn', 'ci', 'cn', 'mc')",49857
"('chn', 'ci', 'cn', 'mc')",49857
"('chn', 'ci', 'cn', 'mc')",49857
"('cn', 'mc')",109896
"('ci', 'cn', 'mc')",102055
"('chn', 'ci', 'cn', 'mc')",49857
