aliases,cardinality
"('a1', 'ci')",36417493
"('mc', 't')",2609129
"('a1', 'ci')",36417493
"('mc', 't')",2609129
"('a1', 'ci', 'mc', 't')",87239860
"('a1', 'ci', 'mc', 't')",87239860
"('ci', 'mc', 't')",80274241
"('ci', 'mc', 't')",80274241
"('a1', 'ci', 'mc', 't')",87239860
"('ci', 'mc', 't')",80274241
"('ci', 't')",36244344
"('ci', 't')",36244344
"('ci', 't')",36244344
"('ci', 't')",36244344
"('ci', 'mc', 't')",80274241
"('ci', 'mc')",80274241
"('ci', 'mc')",80274241
"('ci', 'mc')",80274241
"('ci', 't')",36244344
"('ci', 'mc')",80274241
"('ci', 'mc')",80274241
"('a1', 'ci', 't')",36417493
"('a1', 'ci', 't')",36417493
"('a1', 'ci', 't')",36417493
"('a1', 'ci', 't')",36417493
"('a1', 'ci', 't')",36417493
"('a1', 'ci', 'mc')",87239860
"('a1', 'ci', 'mc')",87239860
"('a1', 'ci', 'mc')",87239860
"('a1', 'ci', 'mc')",87239860
"('a1', 'ci', 'mc')",87239860
