order,costs
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ml')",3817.02
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ml')",3817.02
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ml')",3817.02
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ml')",3817.02
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"('mk', 'k')",51966.45
"(('lt', 'ml'), ('mk', 'k'))",52202.36
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"('mk', 'k')",51966.45
"(('lt', 'ml'), ('mk', 'k'))",52202.36
"('lt', 'ml')",229.23
"('mk', 'k')",51966.45
"(('lt', 'ml'), ('mk', 'k'))",52202.36
"('lt', 'ml')",229.23
"('mk', 'k')",51966.45
"(('lt', 'ml'), ('mk', 'k'))",52202.36
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"('k', (('lt', 'ml'), 'mk'))",11887.77
"('mk', 'k')",51966.45
"('ml', 'lt')",561.48
"(('mk', 'k'), ('ml', 'lt'))",5777.6
"('mk', 'k')",51966.45
"('ml', 'lt')",561.48
"(('mk', 'k'), ('ml', 'lt'))",5777.6
"('mk', 'k')",51966.45
"('ml', 'lt')",561.48
"(('ml', 'lt'), ('mk', 'k'))",6369.5
"('mk', 'k')",51966.45
"('ml', 'lt')",561.48
"(('mk', 'k'), ('ml', 'lt'))",5777.6
"('mk', 'k')",51966.45
"('ml', 'lt')",561.48
"(('mk', 'k'), ('ml', 'lt'))",5777.6
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mk')",8268.59
"((('lt', 'ml'), 'mk'), 'k')",11149.89
"(('mk', 'k'), ('lt', 'ml'))",5445.35
"(('mk', 'k'), ('lt', 'ml'))",5445.35
"(('mk', 'k'), 'ml')",5989.23
"('lt', (('mk', 'k'), 'ml'))",5990.58
"('ml', 'mk')",16960.86
"('lt', ('ml', 'mk'))",33779.92
