order,costs
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('mc', 'mk')",422971.65
"('mc', 'mk')",422971.65
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('ct', ('mc', 'mk'))",1360595.04
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mk', 'k')",52140.89
"('mc', 'mk')",422971.65
"('mc', 'ct')",52121.05
"('ct', ('mc', 'mk'))",1360595.04
"(('mk', 'k'), ('mc', 'ct'))",99819.94
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mk', 'k')",52140.89
"('mc', 'ct')",52121.05
"(('mk', 'k'), ('mc', 'ct'))",99819.94
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"(('ct', ('mc', 'mk')), 'k')",1387485.35
"('mc', 'ct')",52121.05
"(('mc', 'ct'), 'mk')",407172.72
"((('mc', 'ct'), 'mk'), 'k')",298520.04
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"('mc', 'mk')",422971.65
"('ct', ('mc', 'mk'))",1360595.04
"('k', ('ct', ('mc', 'mk')))",2147144.16
"('k', ('mc', 'mk'))",1363446.83
"('ct', ('k', ('mc', 'mk')))",1363460.85
"('ct', 'mc')",80143.13
"(('mk', 'k'), ('ct', 'mc'))",168208.47
"(('mc', 'mk'), 'k')",316212.89
"((('mc', 'mk'), 'k'), 'ct')",316207.79
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'ct')",423978.75
"('k', (('mk', 'mc'), 'ct'))",1210527.82
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'ct')",423978.75
"('k', (('mk', 'mc'), 'ct'))",1210527.82
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mc', 'mk'), 'k')",316212.89
"(('mk', 'k'), 'mc')",52181.97
"((('mc', 'mk'), 'k'), 'ct')",316207.79
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"('mc', ('mk', 'k'))",83936.73
"(('mc', ('mk', 'k')), 'ct')",83931.63
"(('mk', 'k'), 'mc')",52181.97
"((('mk', 'k'), 'mc'), 'ct')",52176.87
"(('mc', 'ct'), ('mk', 'k'))",86412.27
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('ct', (('k', 'mk'), 'mc'))",6234.57
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('mk', 'mc')",357972.2
"(('mk', 'mc'), 'k')",154907.5
"((('mk', 'mc'), 'k'), 'ct')",154902.4
