order,costs
"('mi_idx', 'it2')",16263.78
"(('mi_idx', 'it2'), 't')",16862.96
"('mi_idx', 'it2')",16263.78
"(('mi_idx', 'it2'), 't')",16862.96
"('mi_idx', 'it2')",16263.78
"(('mi_idx', 'it2'), 't')",16862.96
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"(('it2', 'mi_idx'), 't')",18568.42
"((('it2', 'mi_idx'), 't'), 'mc')",18632.54
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', 't')",156357.23
"(('mc', 't'), ('it2', 'mi_idx'))",128000.29
"('it2', 'mi_idx')",17039.61
"('it2', 'mi_idx')",17039.61
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('mc', ('it2', 'mi_idx'))",52072.32
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('mc', 'mi_idx')",78325.06
"('mc', 'mi_idx')",78325.06
"(('mc', 'mi_idx'), 'it2')",51240.98
"(('mc', 'mi_idx'), 'it2')",51240.98
"('t', (('mc', 'mi_idx'), 'it2'))",103618.7
"('t', (('mc', 'mi_idx'), 'it2'))",103618.7
"('mc', 'mi_idx')",78325.06
"(('mc', 'mi_idx'), 'it2')",51240.98
"('t', (('mc', 'mi_idx'), 'it2'))",103618.7
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"(('mc', ('it2', 'mi_idx')), 't')",52411.99
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('mc', 'mi_idx')",78325.06
"(('mc', 'mi_idx'), 'it2')",51240.98
"('t', (('mc', 'mi_idx'), 'it2'))",103618.7
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('mc', 'mi_idx')",78325.06
"(('mc', 'mi_idx'), 'it2')",51240.98
"('t', (('mc', 'mi_idx'), 'it2'))",103618.7
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"('it2', 'mi_idx')",17039.61
"('mc', ('it2', 'mi_idx'))",52072.32
"('t', ('mc', ('it2', 'mi_idx')))",104450.04
"(('mi_idx', 'it2'), ('mc', 't'))",135405.58
"(('mc', 'mi_idx'), 't')",116729.52
"((('mc', 'mi_idx'), 't'), 'it2')",111942.81
"('mi_idx', 'mc')",96111.98
"('it2', ('mi_idx', 'mc'))",99569.99
"(('it2', ('mi_idx', 'mc')), 't')",100868.76
"('mi_idx', 'mc')",96111.98
"('it2', ('mi_idx', 'mc'))",99569.99
"(('it2', ('mi_idx', 'mc')), 't')",100868.76
"('mi_idx', 'mc')",96111.98
"('it2', ('mi_idx', 'mc'))",99569.99
"(('it2', ('mi_idx', 'mc')), 't')",100868.76
"('mi_idx', 'mc')",96111.98
"('it2', ('mi_idx', 'mc'))",99569.99
"(('it2', ('mi_idx', 'mc')), 't')",100868.76
"('mi_idx', 'mc')",96111.98
"('it2', ('mi_idx', 'mc'))",99569.99
"(('it2', ('mi_idx', 'mc')), 't')",100868.76
"('mi_idx', 'mc')",96111.98
"('it2', ('mi_idx', 'mc'))",99569.99
"(('it2', ('mi_idx', 'mc')), 't')",100868.76
"('mi_idx', 'mc')",96111.98
