order,costs
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mi_idx', ('kt', 't'))",82543.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('mk', ('kt', 't'))",130552.61
"('mi_idx', ('mk', ('kt', 't')))",169374.25
"('kt', 't')",47683.65
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('kt', 't')",47683.65
"('mk', 'mi_idx')",349748.28
"(('mk', 'mi_idx'), ('kt', 't'))",325278.35
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('kt', 't')",47683.65
"('mk', ('kt', 't'))",130552.61
"(('mk', ('kt', 't')), 'mi_idx')",148253.58
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mk')",107221.25
"('mi_idx', (('t', 'kt'), 'mk'))",120366.38
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mk')",107221.25
"('mi_idx', (('t', 'kt'), 'mk'))",120366.38
"('t', 'mi_idx')",110034.09
"(('t', 'mi_idx'), 'kt')",92479.56
"('mk', (('t', 'mi_idx'), 'kt'))",145484.07
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mk')",107221.25
"('mi_idx', (('t', 'kt'), 'mk'))",120366.38
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mk')",107221.25
"('mi_idx', (('t', 'kt'), 'mk'))",120366.38
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mi_idx')",68638.47
"('mk', (('t', 'kt'), 'mi_idx'))",121642.98
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mi_idx')",68638.47
"('mk', (('t', 'kt'), 'mi_idx'))",121642.98
"('t', 'mi_idx')",110034.09
"(('t', 'mi_idx'), 'kt')",92479.56
"('mk', (('t', 'mi_idx'), 'kt'))",145484.07
"('t', 'kt')",56588.73
"(('t', 'kt'), 'mi_idx')",68638.47
"('mk', (('t', 'kt'), 'mi_idx'))",121642.98
