order,costs
"('k', 'mk')",4905.99
"(('k', 'mk'), 'mi_idx')",4939.96
"((('k', 'mk'), 'mi_idx'), 'it2')",4943.25
"('k', 'mk')",4905.99
"('it2', 'mi_idx')",17866.97
"(('it2', 'mi_idx'), ('k', 'mk'))",22790.41
"('k', 'mk')",4905.99
"('it2', 'mi_idx')",17866.97
"(('k', 'mk'), ('it2', 'mi_idx'))",22814.73
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'it2')",16915.86
"(('mi_idx', 'it2'), 'mk')",22776.78
"((('mi_idx', 'it2'), 'mk'), 'k')",22051.94
"('mi_idx', 'it2')",16915.86
"(('mi_idx', 'it2'), 'mk')",22776.78
"((('mi_idx', 'it2'), 'mk'), 'k')",22051.94
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'it2')",16915.86
"('mk', ('mi_idx', 'it2'))",70507.44
"(('mk', ('mi_idx', 'it2')), 'k')",69782.3
"('mi_idx', 'mk')",207039.54
"('k', ('mi_idx', 'mk'))",342301.53
"('it2', ('k', ('mi_idx', 'mk')))",342304.67
"('mi_idx', 'mk')",207039.54
"(('mi_idx', 'mk'), 'it2')",182572.7
"((('mi_idx', 'mk'), 'it2'), 'k')",181847.57
"('mi_idx', 'mk')",207039.54
"(('mi_idx', 'mk'), 'it2')",182572.7
"('k', (('mi_idx', 'mk'), 'it2'))",186378.46
"('mi_idx', 'mk')",207039.54
"('k', ('mi_idx', 'mk'))",342301.53
"(('k', ('mi_idx', 'mk')), 'it2')",342303.77
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'it2')",16915.86
"(('mi_idx', 'it2'), 'mk')",22776.78
"((('mi_idx', 'it2'), 'mk'), 'k')",22051.94
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'mk')",207039.54
"(('mi_idx', 'mk'), 'it2')",182572.7
"((('mi_idx', 'mk'), 'it2'), 'k')",181847.57
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', 'mk')",207039.54
"(('mi_idx', 'mk'), 'it2')",182572.7
"('k', (('mi_idx', 'mk'), 'it2'))",186378.46
"('mi_idx', 'mk')",207039.54
"(('mi_idx', 'mk'), 'it2')",182572.7
"((('mi_idx', 'mk'), 'it2'), 'k')",181847.57
"('mi_idx', 'it2')",16915.86
"('mi_idx', 'it2')",16915.86
"('mk', ('mi_idx', 'it2'))",70507.44
"('mk', ('mi_idx', 'it2'))",70507.44
"(('mk', ('mi_idx', 'it2')), 'k')",69782.3
"(('mk', ('mi_idx', 'it2')), 'k')",69782.3
"('mi_idx', 'it2')",16915.86
"('mk', ('mi_idx', 'it2'))",70507.44
"(('mk', ('mi_idx', 'it2')), 'k')",69782.3
"('mi_idx', 'it2')",16915.86
"('mk', ('mi_idx', 'it2'))",70507.44
"(('mk', ('mi_idx', 'it2')), 'k')",69782.3
"('mi_idx', 'it2')",16915.86
"('mk', ('mi_idx', 'it2'))",70507.44
"(('mk', ('mi_idx', 'it2')), 'k')",69782.3
"('mi_idx', 'it2')",16915.86
"('mk', 'k')",51969.76
"(('mk', 'k'), ('mi_idx', 'it2'))",67564.42
"('mi_idx', ('k', 'mk'))",21850.2
"(('mi_idx', ('k', 'mk')), 'it2')",21845.88
"(('mi_idx', 'it2'), ('k', 'mk'))",21497.72
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"(('k', 'mk'), ('mi_idx', 'it2'))",21863.61
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"(('k', 'mk'), ('mi_idx', 'it2'))",21863.61
"(('k', 'mk'), ('mi_idx', 'it2'))",21863.61
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"(('mi_idx', 'it2'), ('mk', 'k'))",67552.57
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"(('mi_idx', 'it2'), ('mk', 'k'))",67552.57
"(('mi_idx', 'it2'), ('mk', 'k'))",67552.57
"('k', (('mi_idx', 'it2'), 'mk'))",25894.28
"(('mi_idx', 'it2'), ('mk', 'k'))",67552.57
"('mk', 'mi_idx')",218374.05
"('it2', ('mk', 'mi_idx'))",267081.26
"('k', ('it2', ('mk', 'mi_idx')))",270886.92
"('k', ('mk', ('mi_idx', 'it2')))",74313.19
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"(('mi_idx', 'mk'), 'k')",181653.43
"((('mi_idx', 'mk'), 'k'), 'it2')",181649.11
"(('mi_idx', 'mk'), 'k')",181653.43
"((('mi_idx', 'mk'), 'k'), 'it2')",181649.11
"(('mi_idx', 'mk'), 'k')",181653.43
"((('mi_idx', 'mk'), 'k'), 'it2')",181649.11
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"(('mk', 'k'), 'mi_idx')",51983.06
"('it2', (('mk', 'k'), 'mi_idx'))",51986.2
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"('mk', 'mi_idx')",218374.05
"(('mk', 'mi_idx'), 'k')",103687.45
"((('mk', 'mi_idx'), 'k'), 'it2')",103683.13
"('mk', 'mi_idx')",218374.05
"(('mk', 'mi_idx'), 'k')",103687.45
"((('mk', 'mi_idx'), 'k'), 'it2')",103683.13
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"('mk', 'mi_idx')",218374.05
"(('mk', 'mi_idx'), 'k')",103687.45
"((('mk', 'mi_idx'), 'k'), 'it2')",103683.13
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"('mk', 'mi_idx')",218374.05
"(('mk', 'mi_idx'), 'k')",103687.45
"((('mk', 'mi_idx'), 'k'), 'it2')",103683.13
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"(('mk', 'k'), 'mi_idx')",51983.06
"((('mk', 'k'), 'mi_idx'), 'it2')",51978.74
"('it2', ('mi_idx', 'mk'))",255746.75
"('k', ('it2', ('mi_idx', 'mk')))",259552.41
"('mi_idx', ('mk', 'k'))",67711.23
