order,costs
"('mk', 't')",235929.91
"('k', ('mk', 't'))",322155.85
"(('k', ('mk', 't')), 'mi')",322321.98
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 't')",235929.91
"('mi', ('mk', 't'))",670633.62
"('k', ('mi', ('mk', 't')))",1832981.52
"('t', 'mi')",571222.51
"('k', 'mk')",7406.22
"(('k', 'mk'), ('t', 'mi'))",626242.18
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 't')",235929.91
"('k', ('mk', 't'))",322155.85
"(('k', ('mk', 't')), 'mi')",322321.98
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 't')",235929.91
"('k', ('mk', 't'))",322155.85
"(('k', ('mk', 't')), 'mi')",322321.98
"('mk', 't')",235929.91
"('mi', ('mk', 't'))",670633.62
"('k', ('mi', ('mk', 't')))",1832981.52
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"('t', 'mi')",571222.51
"(('mk', 'k'), ('t', 'mi'))",671147.98
"('mk', 'k')",52312.01
"(('mk', 'k'), ('t', 'mi'))",671147.98
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('mk', 'k'), ('t', 'mi'))",671147.98
"('t', 'mi')",571222.51
"('k', 'mk')",7406.22
"(('k', 'mk'), ('t', 'mi'))",626242.18
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('mk', 'k'), ('t', 'mi'))",671147.98
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 't')",235929.91
"('k', ('mk', 't'))",322155.85
"(('k', ('mk', 't')), 'mi')",322321.98
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('mk', 'k'), ('t', 'mi'))",671147.98
"('t', 'mi')",571222.51
"('t', 'mi')",571222.51
"('k', 'mk')",7406.22
"('mk', 'k')",52312.01
"(('k', 'mk'), ('t', 'mi'))",626242.18
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('t', 'mi')",571222.51
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('t', 'mi')",571222.51
"('k', 'mk')",7406.22
