order,costs
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'at')",47685.54
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'at')",47685.54
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'at')",47685.54
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'at')",47685.54
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'at')",47685.54
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"('mk', (('cn', 'mc'), 'at'))",152921.52
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"('mk', (('cn', 'mc'), 'at'))",152921.52
"('mc', 'at')",52690.89
"(('mc', 'at'), 'cn')",57243.74
"('mk', (('mc', 'at'), 'cn'))",123071.25
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"('mk', (('cn', 'mc'), 'at'))",152921.52
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('cn', 'mc')",52162.86
"('at', 'mk')",308914.14
"(('cn', 'mc'), ('at', 'mk'))",421662.25
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'at')",47685.54
"('mk', (('mc', 'cn'), 'at'))",113513.06
"('mc', 'at')",52690.89
"('mc', 'at')",52690.89
"(('mc', 'at'), 'cn')",57243.74
"('cn', ('mc', 'at'))",66465.17
"('mk', (('mc', 'at'), 'cn'))",123071.25
"('mk', ('cn', ('mc', 'at')))",153656.87
"('mc', 'at')",52690.89
"(('mc', 'at'), 'cn')",57243.74
"('mk', (('mc', 'at'), 'cn'))",123071.25
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"('mk', (('cn', 'mc'), 'at'))",152921.52
"('mc', 'at')",52690.89
"(('mc', 'at'), 'cn')",57243.74
"('mk', (('mc', 'at'), 'cn'))",123071.25
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"('mk', (('cn', 'mc'), 'at'))",152921.52
"(('at', 'mk'), 'mc')",305470.03
"('cn', (('at', 'mk'), 'mc'))",435408.58
"(('at', 'mk'), 'mc')",305470.03
"('cn', (('at', 'mk'), 'mc'))",435408.58
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"('cn', ('at', ('mk', 'mc')))",275564.01
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'at')",319322.66
"(('mk', 'at'), ('cn', 'mc'))",403525.4
"('mk', 'at')",319322.66
"(('mk', 'at'), ('cn', 'mc'))",403525.4
"('mk', 'at')",319322.66
"(('mk', 'at'), ('cn', 'mc'))",403525.4
"('mk', 'at')",319322.66
"(('mk', 'at'), ('cn', 'mc'))",403525.4
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'at')",319322.66
"(('mk', 'at'), ('cn', 'mc'))",403525.4
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"('cn', ('at', ('mk', 'mc')))",275564.01
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"('cn', ('at', ('mk', 'mc')))",275564.01
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"('cn', ('at', ('mk', 'mc')))",275564.01
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"('cn', ('at', ('mk', 'mc')))",275564.01
"('mk', 'at')",319322.66
"(('cn', 'mc'), ('mk', 'at'))",432068.95
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"(('at', ('mk', 'mc')), 'cn')",123718.61
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"(('at', ('mk', 'mc')), 'cn')",123718.61
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"(('at', ('mk', 'mc')), 'cn')",123718.61
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"(('at', ('mk', 'mc')), 'cn')",123718.61
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"(('at', ('mk', 'mc')), 'cn')",123718.61
"('mk', 'mc')",106096.52
"('at', ('mk', 'mc'))",145625.47
"(('at', ('mk', 'mc')), 'cn')",123718.61
"('mk', 'at')",319322.66
"(('mk', 'at'), ('cn', 'mc'))",403525.4
"(('cn', ('mc', 'at')), 'mk')",76750.38
"(('at', 'mk'), 'mc')",305470.03
"((('at', 'mk'), 'mc'), 'cn')",283563.18
"(('cn', ('mc', 'at')), 'mk')",76750.38
"(('at', 'mk'), 'mc')",305470.03
"((('at', 'mk'), 'mc'), 'cn')",283563.18
"((('at', 'mk'), 'mc'), 'cn')",283563.18
"('at', ('cn', 'mc'))",63948.96
"('mk', ('at', ('cn', 'mc')))",151140.66
"('at', ('cn', 'mc'))",63948.96
"(('at', ('cn', 'mc')), 'mk')",74234.17
"('at', ('cn', 'mc'))",63948.96
"('mk', ('at', ('cn', 'mc')))",151140.66
"(('at', 'mk'), ('cn', 'mc'))",393118.7
"('at', ('cn', 'mc'))",63948.96
"(('at', ('cn', 'mc')), 'mk')",74234.17
"(('at', 'mk'), 'mc')",305470.03
"((('at', 'mk'), 'mc'), 'cn')",283563.18
"(('at', 'mk'), 'mc')",305470.03
"('cn', (('at', 'mk'), 'mc'))",435408.58
"(('at', 'mk'), 'mc')",305470.03
"((('at', 'mk'), 'mc'), 'cn')",283563.18
"('at', ('cn', 'mc'))",63948.96
"(('at', ('cn', 'mc')), 'mk')",74234.17
"((('cn', 'mc'), 'at'), 'mk')",76015.03
"(('at', 'mk'), ('cn', 'mc'))",393118.7
"(('at', 'mk'), ('cn', 'mc'))",393118.7
"(('at', 'mk'), ('cn', 'mc'))",393118.7
"(('mc', 'cn'), ('mk', 'at'))",422118.07
"(('at', 'mk'), ('cn', 'mc'))",393118.7
"((('cn', 'mc'), 'at'), 'mk')",76015.03
"(('at', 'mk'), ('cn', 'mc'))",393118.7
"((('mc', 'at'), 'cn'), 'mk')",65509.44
"((('mc', 'at'), 'cn'), 'mk')",65509.44
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'cn')",415937.76
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'cn')",415937.76
"('at', 'mc')",46085.43
"(('at', 'mc'), 'mk')",68870.62
"('cn', (('at', 'mc'), 'mk'))",103494.31
"(('cn', 'mc'), 'mk')",90018.96
"((('cn', 'mc'), 'mk'), 'at')",121216.02
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'cn')",415937.76
