order,costs
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mc', 'mk')",96436.77
"(('mc', 'mk'), 'ct')",96816.82
"('at', (('mc', 'mk'), 'ct'))",105068.47
"('mc', 'mk')",96436.77
"(('mc', 'mk'), 'ct')",96816.82
"('at', (('mc', 'mk'), 'ct'))",105068.47
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('mk', 'mc')",106096.52
"('mk', 'at')",319322.66
"(('mk', 'mc'), 'ct')",106476.57
"('ct', (('mk', 'at'), 'mc'))",356883.23
"(('mk', 'at'), 'mc')",288769.06
"('at', (('mk', 'mc'), 'ct'))",146005.51
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('mk', 'mc')",106096.52
"(('mk', 'mc'), 'ct')",106476.57
"('at', (('mk', 'mc'), 'ct'))",146005.51
"('mk', 'at')",319322.66
"(('mk', 'at'), 'mc')",288769.06
"('ct', (('mk', 'at'), 'mc'))",356883.23
"('at', 'mc')",46085.43
"('mk', ('at', 'mc'))",141371.82
"('ct', ('mk', ('at', 'mc')))",209485.98
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('at', 'mc')",46085.43
"('mk', ('at', 'mc'))",141371.82
"('ct', ('mk', ('at', 'mc')))",209485.98
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'ct')",411847.56
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"('at', 'mk')",308914.14
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('mc', 'ct'), ('at', 'mk'))",411223.15
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('ct', 'mc')",38473.39
"('mk', ('ct', 'mc'))",149688.93
"(('mk', ('ct', 'mc')), 'at')",192721.69
"('ct', 'mc')",38473.39
"('ct', 'mc')",38473.39
"('mk', ('ct', 'mc'))",149688.93
"(('ct', 'mc'), ('mk', 'at'))",422093.43
"('at', ('mk', ('ct', 'mc')))",193204.7
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"('ct', 'mc')",38473.39
"(('ct', 'mc'), ('mk', 'at'))",422093.43
"(('mk', 'at'), ('ct', 'mc'))",394880.29
"('at', 'mk')",308914.14
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'ct')",411847.56
"(('at', 'mk'), 'mc')",305470.03
"((('at', 'mk'), 'mc'), 'ct')",306453.08
"(('mk', 'at'), ('mc', 'ct'))",288811.52
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'ct')",411847.56
"('ct', 'mc')",38473.39
"(('at', 'mk'), ('ct', 'mc'))",384473.59
"(('mk', ('at', 'mc')), 'ct')",142354.86
"('mc', 'at')",52690.89
"(('mc', 'at'), 'ct')",52722.26
"((('mc', 'at'), 'ct'), 'mk')",75507.44
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'ct')",411847.56
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'mk')",142834.84
"('at', (('ct', 'mc'), 'mk'))",193943.12
"('mc', 'at')",52690.89
"(('mc', 'at'), 'ct')",52722.26
"((('mc', 'at'), 'ct'), 'mk')",75507.44
"('ct', 'mc')",38473.39
"(('at', 'mk'), ('ct', 'mc'))",384473.59
"('mc', ('at', 'mk'))",411180.69
"(('mc', ('at', 'mk')), 'ct')",411847.56
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'mk')",142834.84
"('at', (('ct', 'mc'), 'mk'))",193943.12
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'at')",67931.84
"((('ct', 'mc'), 'at'), 'mk')",96285.76
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'mk')",142834.84
"('at', (('ct', 'mc'), 'mk'))",193943.12
"('ct', 'mc')",38473.39
"(('at', 'mk'), ('ct', 'mc'))",384473.59
"(('mc', ('at', 'mk')), 'ct')",411847.56
"('ct', ('mc', 'mk'))",104352.2
"(('ct', ('mc', 'mk')), 'at')",162482.44
"('ct', 'mc')",38473.39
"('mk', ('ct', 'mc'))",149688.93
"(('mk', ('ct', 'mc')), 'at')",192721.69
"('ct', 'mc')",38473.39
"(('mk', 'at'), ('ct', 'mc'))",394880.29
"('mc', 'at')",52690.89
"(('mc', 'at'), 'mk')",75476.07
"((('mc', 'at'), 'mk'), 'ct')",75754.57
"('mc', 'at')",52690.89
"(('mc', 'at'), 'mk')",75476.07
"('ct', (('mc', 'at'), 'mk'))",94721.92
"('mc', 'at')",52690.89
"(('mc', 'at'), 'ct')",52722.26
"((('mc', 'at'), 'ct'), 'mk')",75507.44
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"('ct', (('at', 'mk'), 'mc'))",373584.2
"('mc', 'at')",52690.89
"(('mc', 'at'), 'ct')",52722.26
"('mk', (('mc', 'at'), 'ct'))",148008.64
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"('at', 'mc')",46085.43
"(('at', 'mc'), 'ct')",46116.8
"('mk', (('at', 'mc'), 'ct'))",141403.19
"(('at', 'mc'), 'ct')",46116.8
"('mk', (('at', 'mc'), 'ct'))",141403.19
"('mk', (('mc', 'at'), 'ct'))",148008.64
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"('at', 'mc')",46085.43
"(('at', 'mc'), 'ct')",46116.8
"('mk', (('at', 'mc'), 'ct'))",141403.19
"('at', ('ct', 'mc'))",51846.95
"('mk', ('at', ('ct', 'mc')))",156895.24
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"(('ct', 'mc'), ('at', 'mk'))",411686.73
"('at', 'mc')",46085.43
"(('at', 'mc'), 'ct')",46116.8
"('mk', (('at', 'mc'), 'ct'))",141403.19
"(('at', 'mk'), 'mc')",305470.03
"('ct', (('at', 'mk'), 'mc'))",373584.2
"(('at', 'mc'), 'mk')",68870.62
"((('at', 'mc'), 'mk'), 'ct')",69149.11
"('mc', 'ct')",38009.81
"(('mc', 'ct'), ('at', 'mk'))",411223.15
"(('mc', 'ct'), ('at', 'mk'))",411223.15
"('mc', ('at', 'mk'))",411180.69
"('ct', ('mc', ('at', 'mk')))",430426.55
"(('at', 'mc'), 'mk')",68870.62
"((('at', 'mc'), 'mk'), 'ct')",69149.11
"('at', 'mk')",308914.14
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('mc', 'ct')",38009.81
"(('mk', 'at'), ('mc', 'ct'))",288811.52
"('at', ('ct', 'mc'))",51846.95
"('mk', ('at', ('ct', 'mc')))",156895.24
"(('ct', 'mc'), 'at')",67931.84
"('mk', (('ct', 'mc'), 'at'))",172980.13
"('at', ('ct', 'mc'))",51846.95
"('mk', ('at', ('ct', 'mc')))",156895.24
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'at')",52793.34
"('mk', (('mc', 'ct'), 'at'))",148079.73
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'at')",52793.34
"('mk', (('mc', 'ct'), 'at'))",148079.73
"('mc', 'ct')",38009.81
"(('at', 'mk'), ('mc', 'ct'))",305512.49
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'mk')",142834.84
