order,costs
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 'cn')",260402.19
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'cn')",260390.05
"('ct', (('mi', 'mc'), 'cn'))",260391.15
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'cn')",260390.05
"('ct', (('mi', 'mc'), 'cn'))",260391.15
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'cn')",260390.05
"('ct', (('mi', 'mc'), 'cn'))",260391.15
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'cn')",260390.05
"('mi', 'mc')",260384.54
"((('mi', 'mc'), 'cn'), 'ct')",260390.2
"(('mi', 'mc'), 'cn')",260390.05
"('ct', (('mi', 'mc'), 'cn'))",260391.15
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 'cn')",260402.19
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'cn')",260390.05
"((('mi', 'mc'), 'cn'), 'ct')",260390.2
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 'cn')",260402.19
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"(('mc', 'mi'), 'cn')",102981.45
"((('mc', 'mi'), 'cn'), 'ct')",102981.61
"('mc', 'mi')",102975.95
"('ct', ('mc', 'mi'))",102977.74
"(('ct', ('mc', 'mi')), 'cn')",102993.6
"(('mi', 'mc'), 'ct')",260385.03
"((('mi', 'mc'), 'ct'), 'cn')",260390.54
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 'mi')",41401.07
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mi', 'mc'))",266949.65
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mi', 'mc')), 'ct')",266949.8
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mi', 'mc'))",266949.65
"(('cn', ('mi', 'mc')), 'ct')",266949.8
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', ('mc', 'mi'))",108088.43
"(('cn', ('mc', 'mi')), 'ct')",108088.59
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'mi')",6475.2
"('ct', (('cn', 'mc'), 'mi'))",6476.3
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('ct', 'mc')",38473.39
"('mi', ('ct', 'mc'))",296436.33
"('cn', ('mi', ('ct', 'mc')))",303001.44
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'mi')",6475.2
"('ct', (('cn', 'mc'), 'mi'))",6476.3
"('cn', ('mi', 'mc'))",266949.65
"('ct', ('cn', ('mi', 'mc')))",266950.75
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('cn', ('mi', 'mc'))",266949.65
"(('cn', ('mi', 'mc')), 'ct')",266949.8
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'cn')",41307.21
"('mi', (('mc', 'ct'), 'cn'))",299042.46
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'ct')",6466.62
"('mi', (('cn', 'mc'), 'ct'))",264201.86
"('mc', 'cn')",41264.76
"('mi', ('mc', 'cn'))",299000.0
"(('mi', ('mc', 'cn')), 'ct')",299000.16
"('mc', 'cn')",41264.76
"('mi', ('mc', 'cn'))",299000.0
"(('mi', ('mc', 'cn')), 'ct')",299000.16
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",44862.44
"('mi', (('ct', 'mc'), 'cn'))",302597.69
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'mi')",103018.4
"((('mc', 'ct'), 'mi'), 'cn')",103023.91
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'mi')",103018.4
"((('mc', 'ct'), 'mi'), 'cn')",103023.91
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"('mc', 'ct')",38009.81
"('mi', ('mc', 'ct'))",292970.27
"(('mi', ('mc', 'ct')), 'cn')",292975.77
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'mi')",6475.2
"((('cn', 'mc'), 'mi'), 'ct')",6475.35
"('mc', 'cn')",41264.76
"('mi', ('mc', 'cn'))",299000.0
"(('mi', ('mc', 'cn')), 'ct')",299000.16
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",44862.44
"('mi', (('ct', 'mc'), 'cn'))",302597.69
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'mi')",103018.4
"((('mc', 'ct'), 'mi'), 'cn')",103023.91
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'mi')",41273.49
"((('mc', 'cn'), 'mi'), 'ct')",41273.65
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'mi')",103018.4
"((('mc', 'ct'), 'mi'), 'cn')",103023.91
"('ct', ('mc', 'cn'))",41265.86
"('mi', ('ct', ('mc', 'cn')))",299001.11
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('ct', ('mc', 'cn'))",41265.86
"('mi', ('ct', ('mc', 'cn')))",299001.11
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"(('cn', 'mc'), 'ct')",6466.62
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"(('cn', 'mc'), 'mi')",6475.2
"('ct', (('cn', 'mc'), 'mi'))",6476.3
"('ct', 'mc')",38473.39
"('mi', ('ct', 'mc'))",296436.33
"('cn', ('mi', ('ct', 'mc')))",303001.44
"('mc', 'cn')",41264.76
"('ct', ('mc', 'cn'))",41265.86
"('mi', ('ct', ('mc', 'cn')))",299001.11
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('ct', ('mc', 'cn'))",41265.86
"('mi', ('ct', ('mc', 'cn')))",299001.11
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'ct')",6466.62
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 'mi')",41401.07
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('cn', ('mc', 'mi'))",108088.43
"('ct', ('cn', ('mc', 'mi')))",108089.53
"('ct', ('mc', 'cn'))",41265.86
"('mi', ('ct', ('mc', 'cn')))",299001.11
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 'mi')",41401.07
"('cn', ('mi', 'mc'))",266949.65
"('ct', ('cn', ('mi', 'mc')))",266950.75
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'mi')",6475.2
"((('cn', 'mc'), 'mi'), 'ct')",6475.35
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",44862.44
"((('ct', 'mc'), 'cn'), 'mi')",44871.18
"(('mc', 'cn'), 'ct')",41264.91
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"(('mc', 'cn'), 'mi')",41273.49
"('ct', (('mc', 'cn'), 'mi'))",41274.59
"((('cn', 'mc'), 'mi'), 'ct')",6475.35
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"('cn', ('mi', 'mc'))",266949.65
"('ct', ('cn', ('mi', 'mc')))",266950.75
"('mi', ('mc', 'ct'))",292970.27
"('cn', ('mi', ('mc', 'ct')))",299535.37
"('cn', ('ct', 'mc'))",44816.53
"('mi', ('cn', ('ct', 'mc')))",302551.78
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 'mi')",41401.07
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('cn', ('mc', 'ct'))",41392.33
"('mi', ('cn', ('mc', 'ct')))",299127.58
"('mi', ('mc', 'cn'))",299000.0
"('ct', ('mi', ('mc', 'cn')))",299001.11
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'mi')",196779.25
"('cn', (('ct', 'mc'), 'mi'))",203344.35
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'mi')",6475.2
"((('cn', 'mc'), 'mi'), 'ct')",6475.35
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'mi')",6475.2
"((('cn', 'mc'), 'mi'), 'ct')",6475.35
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'ct')",6466.62
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"(('mc', 'cn'), 'ct')",41264.91
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"(('mc', 'cn'), 'ct')",41264.91
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"((('cn', 'mc'), 'mi'), 'ct')",6475.35
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"('mc', 'cn')",41264.76
"(('mc', 'cn'), 'ct')",41264.91
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"(('cn', 'mc'), 'ct')",6466.62
"('cn', ('ct', ('mi', 'mc')))",266951.44
"(('cn', 'mc'), 'ct')",6466.62
"(('mc', 'cn'), 'ct')",41264.91
"('mi', (('mc', 'cn'), 'ct'))",299000.16
"(('cn', 'mc'), 'ct')",6466.62
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'cn')",41307.21
"((('mc', 'ct'), 'cn'), 'mi')",41315.95
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",44862.44
"((('ct', 'mc'), 'cn'), 'mi')",44871.18
"((('ct', 'mc'), 'cn'), 'mi')",44871.18
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'mi')",196779.25
"('cn', (('ct', 'mc'), 'mi'))",203344.35
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'ct')",6466.62
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",44862.44
"((('ct', 'mc'), 'cn'), 'mi')",44871.18
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",44816.53
"(('cn', ('ct', 'mc')), 'mi')",44825.27
"(('mc', 'cn'), 'ct')",41264.91
"((('mc', 'cn'), 'ct'), 'mi')",41273.65
"(('cn', 'mc'), 'ct')",6466.62
"(('mc', 'ct'), 'cn')",41307.21
"((('mc', 'ct'), 'cn'), 'mi')",41315.95
"('ct', ('mc', 'cn'))",41265.86
"('mi', ('ct', ('mc', 'cn')))",299001.11
"(('cn', 'mc'), 'ct')",6466.62
"(('mi', 'mc'), 'ct')",260385.03
"((('mi', 'mc'), 'ct'), 'cn')",260390.54
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",44816.53
"(('cn', ('ct', 'mc')), 'mi')",44825.27
"(('ct', ('mc', 'cn')), 'mi')",41274.59
"(('mi', 'mc'), 'ct')",260385.03
"('cn', (('mi', 'mc'), 'ct'))",266950.14
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",44862.44
"((('ct', 'mc'), 'cn'), 'mi')",44871.18
"('cn', 'mc')",6466.46
"(('cn', 'mc'), 'ct')",6466.62
"(('mi', 'mc'), 'ct')",260385.03
"((('mi', 'mc'), 'ct'), 'cn')",260390.54
"(('mi', 'mc'), 'ct')",260385.03
"((('mi', 'mc'), 'ct'), 'cn')",260390.54
