order,costs
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('t', ('cn', ('mc', 'ct')))",94417.03
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 't')",41397.48
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('t', ('cn', ('mc', 'ct')))",94417.03
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 't')",41397.48
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 't')",41397.48
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 't')",41397.48
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('t', ('cn', ('mc', 'ct')))",94417.03
"('t', 'mc')",90156.58
"('cn', ('t', 'mc'))",94778.2
"('ct', ('cn', ('t', 'mc')))",94779.3
"('mc', 't')",76070.53
"('cn', ('mc', 't'))",80692.15
"('ct', ('cn', ('mc', 't')))",80693.25
"('t', 'mc')",90156.58
"('cn', ('t', 'mc'))",94778.2
"('mc', 't')",76070.53
"('ct', ('cn', ('t', 'mc')))",94779.3
"('cn', ('mc', 't'))",80692.15
"('ct', ('cn', ('mc', 't')))",80693.25
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('t', ('cn', ('mc', 'ct')))",94417.03
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('t', ('cn', ('mc', 'ct')))",94417.03
"('mc', 't')",76070.53
"('cn', ('mc', 't'))",80692.15
"('ct', ('cn', ('mc', 't')))",80693.25
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 't')",41397.48
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"(('cn', ('mc', 'ct')), 't')",41397.48
"('mc', 't')",76070.53
"('cn', ('mc', 't'))",80692.15
"('ct', ('cn', ('mc', 't')))",80693.25
"('mc', 't')",76070.53
"('cn', ('mc', 't'))",80692.15
"('ct', ('cn', ('mc', 't')))",80693.25
"('mc', 'ct')",38009.81
"('cn', ('mc', 'ct'))",41392.33
"('t', ('cn', ('mc', 'ct')))",94417.03
"('mc', 'cn')",41264.76
"('mc', 'ct')",38009.81
"('ct', ('mc', 'cn'))",41265.86
"('cn', ('mc', 'ct'))",41392.33
"('t', ('ct', ('mc', 'cn')))",117985.12
"('t', ('cn', ('mc', 'ct')))",94417.03
"('mc', 'cn')",41264.76
"('ct', ('mc', 'cn'))",41265.86
"('t', ('ct', ('mc', 'cn')))",117985.12
"('mc', 'cn')",41264.76
"('ct', ('mc', 'cn'))",41265.86
"('t', ('ct', ('mc', 'cn')))",117985.12
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",44816.53
"('t', ('cn', ('ct', 'mc')))",121535.79
"('cn', 'mc')",6466.46
"('t', ('cn', 'mc'))",59491.16
"('ct', ('t', ('cn', 'mc')))",59492.27
"('cn', 'mc')",6466.46
