order,costs
"('mi', 't')",258795.35
"(('mi', 't'), 'mc')",258811.92
"((('mi', 't'), 'mc'), 'it1')",258812.18
"('mi', 'it1')",257702.33
"(('mi', 'it1'), 't')",257710.49
"((('mi', 'it1'), 't'), 'mc')",257711.18
"('mi', 't')",258795.35
"('it1', ('mi', 't'))",258798.87
"(('it1', ('mi', 't')), 'mc')",258799.56
"('mi', 'it1')",257702.33
"(('mi', 'it1'), 'mc')",257722.77
"('t', (('mi', 'it1'), 'mc'))",310747.48
"('mi', 'it1')",257702.33
"('t', 'mc')",90156.58
"(('t', 'mc'), ('mi', 'it1'))",348093.77
"('mi', 't')",258795.35
"('mc', ('mi', 't'))",293946.97
"('it1', ('mc', ('mi', 't')))",293949.42
"('t', 'mc')",90156.58
"('it1', 'mi')",257736.88
"(('t', 'mc'), ('it1', 'mi'))",348128.32
"('t', 'mc')",90156.58
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('t', 'mc'))",348141.36
"('mc', 't')",76070.53
"('mi', 'it1')",257702.33
"(('mc', 't'), ('mi', 'it1'))",334007.72
"('it1', 'mi')",257736.88
"(('it1', 'mi'), 't')",257761.96
"('mc', (('it1', 'mi'), 't'))",296004.77
"('mi', 'mc')",260384.54
"('it1', ('mi', 'mc'))",260387.1
"(('it1', ('mi', 'mc')), 't')",260392.27
"('it1', 'mi')",257736.88
"(('it1', 'mi'), 't')",257761.96
"('mc', (('it1', 'mi'), 't'))",296004.77
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('mc', 't'), ('it1', 'mi'))",334042.26
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('mc', 't'), ('it1', 'mi'))",334042.26
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"('mc', 't')",76070.53
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"(('mc', 't'), 'mi')",82691.89
"('it1', (('mc', 't'), 'mi'))",82694.31
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"('it1', 'mi')",257736.88
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mc', 't')",76070.53
"(('it1', 'mi'), ('mc', 't'))",334055.3
"('mi', 'it1')",257702.33
"('mi', 'it1')",257702.33
"(('mi', 'it1'), 'mc')",257722.77
"(('mi', 'it1'), 'mc')",257722.77
"((('mi', 'it1'), 'mc'), 't')",257727.94
"('t', (('mi', 'it1'), 'mc'))",310747.48
"('mi', 'it1')",257702.33
"(('mi', 'it1'), 'mc')",257722.77
"((('mi', 'it1'), 'mc'), 't')",257727.94
"('mi', 'it1')",257702.33
"(('mi', 'it1'), 'mc')",257722.77
"((('mi', 'it1'), 'mc'), 't')",257727.94
"('mc', 'mi')",102975.95
"('it1', ('mc', 'mi'))",102978.51
"(('it1', ('mc', 'mi')), 't')",102983.68
"(('t', 'mc'), 'mi')",96777.94
"((('t', 'mc'), 'mi'), 'it1')",96778.2
"(('t', 'mc'), 'mi')",96777.94
"('it1', (('t', 'mc'), 'mi'))",96780.36
"(('mi', 'mc'), 'it1')",260384.5
"((('mi', 'mc'), 'it1'), 't')",260389.67
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('t', ('mi', 'it1'))",310726.83
"('mc', ('t', ('mi', 'it1')))",348969.63
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('t', ('mi', 'it1'))",310726.83
"('mc', ('t', ('mi', 'it1')))",348969.63
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('t', ('mi', 'it1'))",310726.83
"('mc', ('t', ('mi', 'it1')))",348969.63
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"('mi', ('mc', 't'))",332275.86
"('it1', ('mi', ('mc', 't')))",332278.31
"(('mi', 't'), 'it1')",258789.07
