order,costs
"('t', 'at')",135261.64
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('t', 'at'))",765166.42
"('t', 'at')",135261.64
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('t', 'at'))",765166.42
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('t', 'mc')",260678.74
"('at', ('t', 'mc'))",216544.74
"(('at', ('t', 'mc')), 'mk')",389126.3
"('t', 'at')",135261.64
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('t', 'at'))",765166.42
"('t', 'mc')",260678.74
"('at', ('t', 'mc'))",216544.74
"(('at', ('t', 'mc')), 'mk')",389126.3
"('t', 'mc')",260678.74
"('at', ('t', 'mc'))",216544.74
"(('at', ('t', 'mc')), 'mk')",389126.3
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('t', 'mk')",267416.67
"('mc', 'at')",178599.33
"(('mc', 'at'), ('t', 'mk'))",489581.06
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('t', 'mc')",260678.74
"('at', ('t', 'mc'))",216544.74
"(('at', ('t', 'mc')), 'mk')",389126.3
"('t', 'mc')",260678.74
"('at', ('t', 'mc'))",216544.74
"(('at', ('t', 'mc')), 'mk')",389126.3
"('t', 'at')",135261.64
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('t', 'at'))",765166.42
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('t', 'at')",135261.64
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('t', 'at'))",765166.42
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('t', 'mk')",267416.67
"('mc', 'at')",178599.33
"(('mc', 'at'), ('t', 'mk'))",489581.06
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('t', 'mc'), ('mk', 'at'))",690447.9
"('t', 'mk')",267416.67
"(('t', 'mk'), 'at')",301139.0
"((('t', 'mk'), 'at'), 'mc')",373782.41
"('t', 'mk')",267416.67
"(('t', 'mk'), 'mc')",446994.12
"((('t', 'mk'), 'mc'), 'at')",447348.79
"('t', 'mc')",260678.74
"('mk', ('t', 'mc'))",432558.29
"('at', ('mk', ('t', 'mc')))",473196.97
"('t', 'mk')",267416.67
"(('t', 'mk'), 'at')",301139.0
"((('t', 'mk'), 'at'), 'mc')",373782.41
"('t', 'mc')",260678.74
"('mk', 'at')",319322.66
"(('mk', 'at'), ('t', 'mc'))",733922.81
"('mc', ('t', 'mk'))",445723.61
"('at', ('mc', ('t', 'mk')))",486348.09
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), ('mk', 'at'))",692372.44
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), ('mk', 'at'))",692372.44
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"(('mc', 't'), ('mk', 'at'))",692372.44
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), ('mk', 'at'))",692372.44
"('mc', 't')",232978.71
"(('mc', 't'), ('mk', 'at'))",692372.44
"(('mk', 'at'), 'mc')",1401524.7
"((('mk', 'at'), 'mc'), 't')",2095094.48
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 't')",938195.0
"('at', (('mc', 'mk'), 't'))",1063350.35
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 't')",232978.71
"(('mc', 't'), 'mk')",420985.04
"('at', (('mc', 't'), 'mk'))",461636.15
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 't')",938195.0
"('at', (('mc', 'mk'), 't'))",1063350.35
"(('mk', 'mc'), 't')",942983.98
"('at', (('mk', 'mc'), 't'))",1068134.19
"('mc', 'mk')",601578.58
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', 'mk'), ('t', 'at'))",784360.59
"('at', ('mc', ('mk', 't')))",571408.49
"('mc', 'mk')",601578.58
"(('mc', 'mk'), ('t', 'at'))",784360.59
"(('mk', 'mc'), 't')",942983.98
"('at', (('mk', 'mc'), 't'))",1068134.19
"('mk', ('t', 'at'))",235129.69
"('mc', ('mk', ('t', 'at')))",367714.83
"(('t', 'mk'), ('mc', 'at'))",476189.94
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"(('t', 'mk'), ('mc', 'at'))",476189.94
"(('t', 'mk'), ('mc', 'at'))",476189.94
"(('t', 'mk'), ('mc', 'at'))",476189.94
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('at', 'mk')",308914.14
"(('t', 'mc'), ('at', 'mk'))",680039.39
"('at', 'mk')",308914.14
"(('t', 'mc'), ('at', 'mk'))",680039.39
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('at', 'mk')",308914.14
"(('t', 'mc'), ('at', 'mk'))",680039.39
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('at', 'mk')",308914.14
"(('t', 'mc'), ('at', 'mk'))",680039.39
"(('t', 'mk'), ('mc', 'at'))",476189.94
"(('t', 'mk'), ('mc', 'at'))",476189.94
"(('t', 'mk'), ('mc', 'at'))",476189.94
"(('t', 'mk'), ('mc', 'at'))",476189.94
"('t', ('mk', 'at'))",548441.0
"(('t', ('mk', 'at')), 'mc')",623093.86
"('at', 'mc')",162408.41
"(('t', 'mk'), ('at', 'mc'))",467543.81
"(('t', 'mk'), ('mc', 'at'))",476189.94
"('at', 'mc')",162408.41
"(('t', 'mk'), ('at', 'mc'))",467543.81
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"('t', ('mk', 'at'))",548441.0
"(('t', ('mk', 'at')), 'mc')",623093.86
"('mk', ('mc', 't'))",432558.29
"(('mk', ('mc', 't')), 'at')",528025.08
"('t', ('mk', 'mc'))",1002742.69
"(('t', ('mk', 'mc')), 'at')",957518.31
"('t', ('mk', 'at'))",548441.0
"('mc', ('t', ('mk', 'at')))",614972.81
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"('mk', ('mc', 't'))",432558.29
"('at', ('mk', ('mc', 't')))",558257.36
"('mk', ('mc', 't'))",432558.29
"(('mk', ('mc', 't')), 'at')",528025.08
"('mk', ('mc', 't'))",432558.29
"(('mk', ('mc', 't')), 'at')",528025.08
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"('at', ('t', ('mc', 'mk')))",1016340.96
"('mk', ('mc', 't'))",432558.29
"(('mk', ('mc', 't')), 'at')",528025.08
"('t', ('mc', 'mk'))",997953.71
"('at', ('t', ('mc', 'mk')))",1016340.96
"(('t', 'mk'), ('mc', 'at'))",476189.94
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"('mc', 'mk')",601578.58
"('t', ('mc', 'mk'))",997953.71
"(('t', ('mc', 'mk')), 'at')",952734.47
"('t', ('mk', 'at'))",548441.0
"('mc', ('t', ('mk', 'at')))",614972.81
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', ('mk', 't')), 'at')",541176.21
"('mk', 't')",267416.67
"(('mk', 't'), ('mc', 'at'))",464167.61
"(('mk', 'mc'), 'at')",1614619.57
"('t', (('mk', 'mc'), 'at'))",2240268.34
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', ('mk', 't')), 'at')",541176.21
"(('t', 'at'), ('mk', 'mc'))",885150.3
"(('mk', 'mc'), 'at')",1614619.57
"('t', (('mk', 'mc'), 'at'))",2240268.34
"(('t', 'at'), 'mk')",264151.46
"((('t', 'at'), 'mk'), 'mc')",358986.82
"(('t', 'at'), 'mk')",264151.46
"((('t', 'at'), 'mk'), 'mc')",358986.82
"('mk', 't')",267416.67
"(('mk', 't'), 'mc')",446994.12
"((('mk', 't'), 'mc'), 'at')",435339.15
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"(('t', 'mc'), 'mk')",420985.04
"('at', (('t', 'mc'), 'mk'))",461636.15
"(('t', 'at'), 'mc')",204082.05
"((('t', 'at'), 'mc'), 'mk')",337019.69
"('at', ('t', 'mk'))",307593.36
"('mc', ('at', ('t', 'mk')))",444559.62
"('mc', ('t', 'mk'))",445723.61
"(('mc', ('t', 'mk')), 'at')",479716.31
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', ('mk', 't')), 'at')",541176.21
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', ('mk', 't')), 'at')",541176.21
"(('t', 'at'), ('mk', 'mc'))",885150.3
"(('mk', 'mc'), 'at')",1614619.57
"('t', (('mk', 'mc'), 'at'))",2240268.34
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', ('mk', 't')), 'at')",541176.21
"('mk', 't')",267416.67
"('mc', ('mk', 't'))",445723.61
"(('mc', ('mk', 't')), 'at')",541176.21
"('mk', 't')",267416.67
"('at', ('mk', 't'))",307593.36
"('mc', ('at', ('mk', 't')))",562533.38
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"(('mc', 'at'), 'mk')",558467.19
"('t', (('mc', 'at'), 'mk'))",1850720.98
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'at')",1609831.6
"('t', (('mc', 'mk'), 'at'))",2235480.37
"(('mc', 'at'), 't')",308836.19
"('mk', (('mc', 'at'), 't'))",467750.33
"('mk', ('mc', 'at'))",565004.14
"('t', ('mk', ('mc', 'at')))",1857258.39
"(('mc', 'at'), 'mk')",558467.19
"('t', (('mc', 'at'), 'mk'))",1850720.98
"(('mk', 'at'), 'mc')",1401524.7
"('t', (('mk', 'at'), 'mc'))",2027227.73
"('mk', ('t', 'at'))",235129.69
"(('mk', ('t', 'at')), 'mc')",309782.55
"(('mc', 'mk'), 'at')",1609831.6
"((('mc', 'mk'), 'at'), 't')",2303347.02
"('mk', ('t', 'at'))",235129.69
"(('mk', ('t', 'at')), 'mc')",309782.55
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 't')",938195.0
"((('mc', 'mk'), 't'), 'at')",866171.62
"('at', 't')",118596.08
"('mc', ('at', 't'))",233835.57
"(('t', 'mc'), 'at')",252473.02
"((('t', 'mc'), 'at'), 'mk')",411937.65
"(('t', 'at'), ('mk', 'mc'))",885150.3
"((('mc', 't'), 'mk'), 'at')",442415.37
"(('mc', 'at'), 't')",308836.19
"('mk', (('mc', 'at'), 't'))",467750.33
"(('mc', 'at'), 't')",308836.19
"('mk', (('mc', 'at'), 't'))",467750.33
"(('mk', 'at'), ('mc', 't'))",733922.81
"('at', ('mk', 'mc'))",1555752.0
"('t', ('at', ('mk', 'mc')))",2181400.66
"(('mk', 'at'), 'mc')",1401524.7
"('t', (('mk', 'at'), 'mc'))",2027227.73
"(('mc', 'at'), 't')",308836.19
"('mk', (('mc', 'at'), 't'))",467750.33
"('at', ('mc', 't'))",292395.04
"('mk', ('at', ('mc', 't')))",451326.35
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'at')",1609831.6
"('t', (('mc', 'mk'), 'at'))",2235480.37
"(('mc', 'at'), 't')",308836.19
"('mk', (('mc', 'at'), 't'))",467750.33
"('at', 'mk')",308914.14
"(('at', 'mk'), 't')",531226.01
"((('at', 'mk'), 't'), 'mc')",799601.4
"('mc', ('mk', 'at'))",1378736.45
"('t', ('mc', ('mk', 'at')))",2004445.03
"('mc', ('mk', 'at'))",1378736.45
"('t', ('mc', ('mk', 'at')))",2004445.03
"(('mk', 'at'), ('mc', 't'))",733922.81
"(('mc', 'at'), 't')",308836.19
"('mk', (('mc', 'at'), 't'))",467750.33
"('at', 'mk')",308914.14
"(('at', 'mk'), ('t', 'mc'))",723514.29
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('mc', ('at', 't'))",233835.57
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"(('t', 'at'), ('mk', 'mc'))",885150.3
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
"('t', ('mc', 'at'))",313611.04
"(('t', ('mc', 'at')), 'mk')",442476.44
"('at', 't')",118596.08
"(('mk', 'mc'), ('at', 't'))",836530.97
