order,costs
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",513104.27
"(('ci', ('mk', 'k')), 'an')",513491.04
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",513104.27
"(('ci', ('mk', 'k')), 'an')",513491.04
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'k')",1393882.41
"((('mk', 'ci'), 'k'), 'an')",1394269.17
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'an')",39078571.4
"((('mk', 'ci'), 'an'), 'k')",8668175.09
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'k')",1393882.41
"((('mk', 'ci'), 'k'), 'an')",1394269.17
"('k', 'mk')",3802.56
"('ci', 'an')",2801407.23
"(('k', 'mk'), ('ci', 'an'))",6966576.04
"(('mk', 'k'), 'ci')",52021.92
"((('mk', 'k'), 'ci'), 'an')",52489.5
"('ci', 'mk')",4183950.12
"('k', ('ci', 'mk'))",6084505.45
"(('k', ('ci', 'mk')), 'an')",6085054.83
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"((('ci', 'mk'), 'k'), 'an')",2761413.3
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"((('ci', 'mk'), 'k'), 'an')",2761413.3
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"((('ci', 'mk'), 'k'), 'an')",2761413.3
"('ci', 'mk')",4183950.12
"('k', ('ci', 'mk'))",6084505.45
"(('k', ('ci', 'mk')), 'an')",6085054.83
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"((('ci', 'mk'), 'k'), 'an')",2761413.3
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('ci', 'mk')",4183950.12
"('k', ('ci', 'mk'))",6084505.45
"(('k', ('ci', 'mk')), 'an')",6085054.83
"(('k', 'mk'), 'ci')",3858.03
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('ci', 'mk')",4183950.12
"('k', ('ci', 'mk'))",6084505.45
"(('k', ('ci', 'mk')), 'an')",6085054.83
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('ci', 'mk')",4183950.12
"('k', ('ci', 'mk'))",6084505.45
"(('k', ('ci', 'mk')), 'an')",6085054.83
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"((('ci', 'mk'), 'k'), 'an')",2761413.3
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('an', 'ci')",2713367.82
"(('k', 'mk'), ('an', 'ci'))",6878536.63
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"('an', (('ci', 'mk'), 'k'))",2780123.77
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('an', 'ci')",2713367.82
"(('k', 'mk'), ('an', 'ci'))",6878536.63
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('k', ('mk', 'ci'))",5453619.2
"('an', ('k', ('mk', 'ci')))",5494370.6
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('k', (('mk', 'ci'), 'an'))",43653599.37
"(('mk', 'k'), ('ci', 'an'))",3559211.41
"('an', ('mk', 'ci'))",45679937.52
"(('an', ('mk', 'ci')), 'k')",16194565.87
"('k', ('mk', 'ci'))",5453619.2
"('an', ('k', ('mk', 'ci')))",5494370.6
"('an', ('mk', 'ci'))",45679937.52
"(('an', ('mk', 'ci')), 'k')",16194565.87
"('k', ('mk', 'ci'))",5453619.2
"('an', ('k', ('mk', 'ci')))",5494370.6
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('an', 'ci')",2713367.82
"(('an', 'ci'), ('mk', 'k'))",2046545.27
"('k', ('mk', 'ci'))",5453619.2
"('an', ('k', ('mk', 'ci')))",5494370.6
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('an', 'ci')",2713367.82
"(('an', 'ci'), ('mk', 'k'))",2046545.27
"('k', (('mk', 'ci'), 'an'))",43653599.37
"(('k', 'mk'), 'ci')",3858.03
"('an', 'ci')",2713367.82
"(('mk', 'k'), ('an', 'ci'))",3644001.34
"('k', (('mk', 'ci'), 'an'))",43653599.37
"('an', 'ci')",2713367.82
"(('an', 'ci'), ('k', 'mk'))",1999391.76
"(('ci', 'an'), ('mk', 'k'))",1961755.34
"('k', ('mk', 'ci'))",5453619.2
"('an', ('k', ('mk', 'ci')))",5494370.6
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('ci', ('k', 'mk'))",465946.83
"('an', ('ci', ('k', 'mk')))",485044.06
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('ci', ('k', 'mk'))",465946.83
"(('ci', ('k', 'mk')), 'an')",466333.59
"('k', (('mk', 'ci'), 'an'))",43653599.37
"(('mk', 'k'), 'ci')",52021.92
"((('mk', 'k'), 'ci'), 'an')",52489.5
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761026.54
"((('ci', 'mk'), 'k'), 'an')",2761413.3
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('an', 'ci')",2713367.82
"('mk', ('an', 'ci'))",11149761.56
"(('mk', ('an', 'ci')), 'k')",4782127.87
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('ci', ('k', 'mk'))",465946.83
"(('ci', ('k', 'mk')), 'an')",466333.59
"(('mk', 'k'), 'ci')",52021.92
"((('mk', 'k'), 'ci'), 'an')",52489.5
"(('ci', 'an'), 'mk')",19004940.22
"('k', (('ci', 'an'), 'mk'))",23579968.17
"('an', 'ci')",2713367.82
"(('k', 'mk'), ('an', 'ci'))",6878536.63
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
"('mk', ('ci', 'an'))",11237800.98
"(('mk', ('ci', 'an')), 'k')",4697337.94
