order,costs
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('t', 'ci')",1934924.8
"(('t', 'ci'), 'mk')",2782517.3
"(('t', 'ci'), 'mk')",2782517.3
"((('t', 'ci'), 'mk'), 'n')",4964498.88
"((('t', 'ci'), 'mk'), 'n')",4964498.88
"('t', 'ci')",1934924.8
"(('t', 'ci'), 'mk')",2782517.3
"((('t', 'ci'), 'mk'), 'n')",4964498.88
"('t', 'ci')",1934924.8
"(('t', 'ci'), 'mk')",2782517.3
"((('t', 'ci'), 'mk'), 'n')",4964498.88
"('t', 'ci')",1934924.8
"(('t', 'ci'), 'n')",2270387.0
"((('t', 'ci'), 'n'), 'mk')",3640903.5
"('t', 'ci')",1934924.8
"(('t', 'ci'), 'mk')",2782517.3
"((('t', 'ci'), 'mk'), 'n')",4964498.88
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'ci')",1934924.8
"('n', ('t', 'ci'))",5627190.33
"(('n', ('t', 'ci')), 'mk')",11323920.7
"('t', 'mk')",252592.62
"('ci', ('t', 'mk'))",1924788.88
"('n', ('ci', ('t', 'mk')))",17719665.53
"('t', 'mk')",252592.62
"('n', 'ci')",1966662.7
"(('t', 'mk'), ('n', 'ci'))",4228642.0
"('t', 'mk')",252592.62
