order,costs
"('mk', 'k')",51966.45
"('t', 'mc')",264463.78
"(('t', 'mc'), ('mk', 'k'))",203611.82
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 't')",1008343.79
"((('mc', 'mk'), 't'), 'k')",635715.33
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mc', 't'), ('mk', 'k'))",196247.58
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mc', 't'), ('mk', 'k'))",196247.58
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mc', 't'), ('mk', 'k'))",196247.58
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mc', 't'), ('mk', 'k'))",196247.58
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mc', 't'), ('mk', 'k'))",196247.58
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mc', 't'), ('mk', 'k'))",196247.58
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mc', 't')",259591.28
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mc', 't'))",248244.4
"('mk', 'k')",51966.45
"('t', 'mc')",264463.78
"(('t', 'mc'), ('mk', 'k'))",203611.82
"('mk', 'k')",51966.45
"('t', 'mc')",264463.78
"(('t', 'mc'), ('mk', 'k'))",203611.82
"('mk', 'k')",51966.45
"('t', 'mc')",264463.78
"(('t', 'mc'), ('mk', 'k'))",203611.82
"('mk', 'k')",51966.45
"('t', 'mc')",264463.78
"(('mk', 'k'), ('t', 'mc'))",255594.15
"('mk', 'k')",51966.45
"('t', 'mc')",264463.78
"(('t', 'mc'), ('mk', 'k'))",203611.82
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"((('mc', 't'), 'mk'), 'k')",384898.16
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",397930.52
"(('mk', 'k'), 't')",51973.25
"((('mk', 'k'), 't'), 'mc')",51981.76
"(('mk', 'k'), 't')",51973.25
"((('mk', 'k'), 't'), 'mc')",51981.76
"('mk', 't')",277169.11
"(('mk', 't'), 'k')",165989.43
"('mc', (('mk', 't'), 'k'))",199776.2
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"('k', ('mc', ('mk', 't')))",778761.27
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', ('mc', 'mk'))",903057.26
"('t', ('k', ('mc', 'mk')))",958599.37
"('k', ('mc', 'mk'))",903057.26
"('t', ('k', ('mc', 'mk')))",958599.37
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('k', 'mk')",3802.56
"('mc', (('k', 'mk'), 't'))",38609.58
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('mc', (('k', 'mk'), 't'))",38609.58
"(('mc', 'mk'), 'k')",403246.37
"('t', (('mc', 'mk'), 'k'))",455135.26
"(('mc', 'mk'), 'k')",403246.37
"('k', 'mk')",3802.56
"('t', (('mc', 'mk'), 'k'))",455135.26
"(('k', 'mk'), 'mc')",3822.58
"('t', (('k', 'mk'), 'mc'))",59364.68
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('t', (('k', 'mk'), 'mc'))",59364.68
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('t', (('k', 'mk'), 'mc'))",59364.68
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('t', (('k', 'mk'), 'mc'))",59364.68
"(('mk', 'k'), 't')",51973.25
"('mc', (('mk', 'k'), 't'))",85760.02
"('mk', 't')",277169.11
"(('mk', 't'), 'k')",165989.43
"('mc', (('mk', 't'), 'k'))",199776.2
"('mk', 't')",277169.11
"('k', ('mk', 't'))",336403.36
"(('k', ('mk', 't')), 'mc')",336423.8
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mc')",482081.51
"((('t', 'mk'), 'mc'), 'k')",381548.74
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', ('t', 'mc'))",458159.32
"(('mk', ('t', 'mc')), 'k')",289331.94
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"('k', ('mc', ('mk', 't')))",778761.27
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"('mk', ('t', 'mc'))",458159.32
"(('mk', ('t', 'mc')), 'k')",289331.94
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"('t', (('mk', 'mc'), 'k'))",254671.34
"('t', 'mk')",277169.11
"(('t', 'mk'), 'k')",240999.94
"('mc', (('t', 'mk'), 'k'))",274772.41
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mc')",482081.51
"((('t', 'mk'), 'mc'), 'k')",381548.74
"('mk', ('t', 'mc'))",458159.32
"('k', ('mk', ('t', 'mc')))",519201.16
"('mk', 't')",277169.11
"('mc', ('mk', 't'))",477282.58
"(('mc', ('mk', 't')), 'k')",333575.18
"('mk', ('t', 'mc'))",458159.32
"(('mk', ('t', 'mc')), 'k')",289331.94
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"('mc', ('mk', 'k'))",85753.47
"('t', ('mc', ('mk', 'k')))",137642.35
"('k', (('mc', 'mk'), 't'))",1309822.47
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812382.03
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"(('mk', 'k'), 't')",51973.25
"('mc', (('mk', 'k'), 't'))",85760.02
"(('k', 'mk'), ('mc', 't'))",397930.52
"('t', (('mk', 'mc'), 'k'))",254671.34
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"('mk', 't')",277169.11
"(('mk', 't'), 'k')",165989.43
"('mc', (('mk', 't'), 'k'))",199776.2
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"(('k', 'mk'), ('mc', 't'))",397930.52
"('t', 'mk')",277169.11
"(('t', 'mk'), 'k')",240999.94
"((('t', 'mk'), 'k'), 'mc')",241008.45
"(('mk', 'k'), 'mc')",51986.47
"('t', (('mk', 'k'), 'mc'))",103877.99
"(('k', 'mk'), ('mc', 't'))",397930.52
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812382.03
"('k', ('mc', 'mk'))",903057.26
"(('k', ('mc', 'mk')), 't')",903144.66
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812382.03
"(('t', 'mk'), 'k')",240999.94
"((('t', 'mk'), 'k'), 'mc')",241008.45
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 't')",202818.38
"(('t', 'mc'), 'mk')",445308.59
"('k', (('t', 'mc'), 'mk'))",506350.42
"('mk', ('t', 'mc'))",458159.32
"(('mk', ('t', 'mc')), 'k')",289331.94
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85789.4
"('mc', ('mk', 't'))",477282.58
"('k', ('mc', ('mk', 't')))",778761.27
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.07
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812382.03
"('t', ('k', 'mk'))",55391.65
"('mc', ('t', ('k', 'mk')))",89164.12
"('mk', ('mc', 't'))",458159.32
"('k', ('mk', ('mc', 't')))",759638.01
"('t', ('k', 'mk'))",55391.65
"('mc', ('t', ('k', 'mk')))",89164.12
"('t', ('k', 'mk'))",55391.65
"(('t', ('k', 'mk')), 'mc')",55400.16
"('t', ('mc', 'mk'))",1068102.5
"('k', ('t', ('mc', 'mk')))",1129144.34
"('t', ('k', 'mk'))",55391.65
"(('t', ('k', 'mk')), 'mc')",55400.16
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812382.03
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85789.4
"(('mc', 'mk'), 'k')",403246.37
"((('mc', 'mk'), 'k'), 't')",403282.3
"('mc', ('k', 'mk'))",38593.67
"('t', ('mc', ('k', 'mk')))",90482.56
"('t', ('k', 'mk'))",55391.65
"(('t', ('k', 'mk')), 'mc')",55400.16
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 't')",52025.71
"('t', ('k', 'mk'))",55391.65
"('mc', ('t', ('k', 'mk')))",89164.12
"('t', ('mc', 'mk'))",1068102.5
"(('t', ('mc', 'mk')), 'k')",919044.16
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 't')",1013132.77
"((('mk', 'mc'), 't'), 'k')",514121.85
"('mk', ('mc', 't'))",458159.32
"(('mk', ('mc', 't')), 'k')",303020.88
"('t', ('mc', 'mk'))",1068102.5
"(('t', ('mc', 'mk')), 'k')",919044.16
"('mc', (('mk', 'k'), 't'))",85760.02
"('mc', ('k', 'mk'))",38593.67
"(('mc', ('k', 'mk')), 't')",38629.6
"('mk', ('mc', 't'))",458159.32
"(('mk', ('mc', 't')), 'k')",303020.88
"('t', ('k', 'mk'))",55391.65
"(('t', ('k', 'mk')), 'mc')",55400.16
"(('mk', 't'), 'k')",165989.43
"('mc', (('mk', 't'), 'k'))",199776.2
"((('k', 'mk'), 'mc'), 't')",3909.98
