order,costs
"('t', 'ci')",2264291.74
"(('t', 'ci'), 'n')",1139889.35
"((('t', 'ci'), 'n'), 'mc')",1141264.44
"('mc', 'ci')",2791259.98
"('n', ('mc', 'ci'))",2616690.59
"('t', ('n', ('mc', 'ci')))",2666834.56
"('ci', 't')",1515128.02
"('mc', ('ci', 't'))",3707884.81
"(('mc', ('ci', 't')), 'n')",2005258.19
"('ci', 'mc')",2564024.17
"('n', ('ci', 'mc'))",2493914.57
"('t', ('n', ('ci', 'mc')))",2544560.53
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'n')",918617.05
"((('ci', 't'), 'n'), 'mc')",919992.14
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",2247608.86
"(('ci', ('mc', 't')), 'n')",1162783.36
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'n')",1255536.95
"('t', (('mc', 'ci'), 'n'))",1305680.84
"('ci', 'n')",522845.81
"(('ci', 'n'), 't')",523529.16
"((('ci', 'n'), 't'), 'mc')",524904.25
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'n')",1255536.95
"('t', (('mc', 'ci'), 'n'))",1305680.84
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"((('ci', 't'), 'mc'), 'n')",1882482.16
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'n')",1255536.95
"('t', (('mc', 'ci'), 'n'))",1305680.84
"('ci', 't')",1515128.02
"(('ci', 't'), 'n')",918617.05
"((('ci', 't'), 'n'), 'mc')",919992.14
"('ci', 't')",1515128.02
"(('ci', 't'), 'n')",918617.05
"((('ci', 't'), 'n'), 'mc')",919992.14
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'n')",1255536.95
"((('mc', 'ci'), 'n'), 't')",1257188.56
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'n')",1255536.95
"((('mc', 'ci'), 'n'), 't')",1257188.56
"('ci', 't')",1515128.02
"(('ci', 't'), 'n')",918617.05
"((('ci', 't'), 'n'), 'mc')",919992.14
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'n')",1170147.6
"('mc', (('t', 'ci'), 'n'))",1173707.18
"(('ci', 'mc'), 'n')",1132760.93
"((('ci', 'mc'), 'n'), 't')",1134412.54
"('t', 'mc')",264463.78
"(('t', 'mc'), 'ci')",2495951.6
"((('t', 'mc'), 'ci'), 'n')",1256432.69
"(('mc', 'ci'), 't')",4349476.1
"((('mc', 'ci'), 't'), 'n')",2439641.48
"(('n', ('ci', 'mc')), 't')",2495565.73
"('t', ('ci', 'mc'))",4652490.6
"('n', ('t', ('ci', 'mc')))",5082350.78
"('t', ('ci', 'mc'))",4652490.6
"('n', ('t', ('ci', 'mc')))",5082350.78
