order,costs
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'mc')",510815.94
"('cn', ('mk', 'mc'))",6322154.72
"(('cn', ('mk', 'mc')), 'k')",6263133.62
"('mk', 'k')",51966.45
"('mc', 'cn')",106827.81
"(('mk', 'k'), ('mc', 'cn'))",162990.06
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('mc', 'cn')",106827.81
"(('mk', 'k'), ('mc', 'cn'))",162990.06
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('mc', 'cn')",106827.81
"(('mc', 'cn'), ('mk', 'k'))",115255.52
"('mk', 'k')",51966.45
"('mc', 'cn')",106827.81
"(('mc', 'cn'), ('mk', 'k'))",115255.52
"('mk', 'mc')",510815.94
"('cn', ('mk', 'mc'))",6322154.72
"(('cn', ('mk', 'mc')), 'k')",6263133.62
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('cn', 'mc'), ('mk', 'k'))",197115.66
"('mk', 'k')",51966.45
"('cn', 'mc')",151331.54
"(('mk', 'k'), ('cn', 'mc'))",264505.11
"('mc', 'mk')",601578.58
"('cn', ('mc', 'mk'))",4952663.14
"(('cn', ('mc', 'mk')), 'k')",4893642.03
"('mc', 'mk')",601578.58
"('cn', ('mc', 'mk'))",4952663.14
"(('cn', ('mc', 'mk')), 'k')",4893642.03
"(('mk', 'mc'), 'cn')",1054725.16
"('k', (('mk', 'mc'), 'cn'))",1356203.84
"('k', ('mk', 'mc'))",812294.63
"('cn', ('k', ('mk', 'mc')))",824827.51
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"('mc', ('mk', 'k'))",85753.47
"('cn', ('mc', ('mk', 'k')))",96224.91
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"(('mk', 'mc'), 'cn')",1054725.16
"('k', (('mk', 'mc'), 'cn'))",1356203.84
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 'cn')",202815.27
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 'cn')",202815.27
"(('mk', 'mc'), 'cn')",1054725.16
"('k', (('mk', 'mc'), 'cn'))",1356203.84
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"('mc', ('mk', 'k'))",85753.47
"('cn', ('mc', ('mk', 'k')))",96224.91
"('mc', ('mk', 'k'))",85753.47
"('cn', ('mc', ('mk', 'k')))",96224.91
"(('mc', 'cn'), ('k', 'mk'))",68095.72
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 'cn')",202815.27
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 'cn')",52022.56
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 'cn')",52022.56
"(('mk', 'mc'), 'cn')",1054725.16
"((('mk', 'mc'), 'cn'), 'k')",433115.62
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 'cn')",202815.27
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 'cn')",52022.56
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 'cn')",52022.56
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 'cn')",85786.29
"(('mk', 'mc'), 'k')",202782.45
"((('mk', 'mc'), 'k'), 'cn')",202815.27
"(('mc', 'cn'), ('k', 'mk'))",68095.72
"(('mk', 'k'), 'mc')",51986.47
"('cn', (('mk', 'k'), 'mc'))",62460.54
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 'cn')",85786.29
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 'cn')",52022.56
"(('mk', 'k'), 'mc')",51986.47
"((('mk', 'k'), 'mc'), 'cn')",52022.56
