order,costs
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'ci')",4039484.79
"((('mi_idx', 'mi'), 'ci'), 'it2')",2782185.67
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'it2')",883700.71
"((('mi_idx', 'mi'), 'it2'), 'ci')",1147954.13
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'ci')",29146.65
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'ci')",29146.65
"('mi_idx', 'mi')",1209077.82
"(('mi_idx', 'mi'), 'ci')",4039484.79
"((('mi_idx', 'mi'), 'ci'), 'it2')",2782185.67
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'ci')",29146.65
"('mi', (('mi_idx', 'it2'), 'ci'))",370880.22
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'ci')",29146.65
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'ci')",29146.65
"('mi', (('mi_idx', 'it2'), 'ci'))",370880.22
"('it2', (('mi_idx', 'mi'), 'ci'))",5377613.49
"('mi', ('mi_idx', 'it2'))",307636.87
"(('mi', ('mi_idx', 'it2')), 'ci')",571890.28
"('mi', ('mi_idx', 'it2'))",307636.87
"(('mi', ('mi_idx', 'it2')), 'ci')",571890.28
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"('mi', ('mi_idx', 'ci'))",2343842.84
"('it2', ('mi', ('mi_idx', 'ci')))",3681971.54
"(('mi_idx', 'it2'), 'mi')",56490.27
"('ci', (('mi_idx', 'it2'), 'mi'))",595637.2
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi', 'mi_idx')",1242736.78
"(('mi', 'mi_idx'), 'ci')",4073129.38
"('it2', (('mi', 'mi_idx'), 'ci'))",5411258.08
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"(('mi_idx', 'it2'), 'mi')",56490.27
"('ci', (('mi_idx', 'it2'), 'mi'))",595637.2
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi_idx', 'ci')",830214.59
"('mi', 'mi_idx')",1242736.78
"(('mi_idx', 'ci'), 'it2')",522234.64
"(('mi', 'mi_idx'), 'ci')",4073129.38
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('it2', (('mi', 'mi_idx'), 'ci'))",5411258.08
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi', 'mi_idx')",1242736.78
"('it2', ('mi', 'mi_idx'))",1830228.45
"('ci', ('it2', ('mi', 'mi_idx')))",2482645.82
"('mi_idx', 'ci')",830214.59
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"(('mi_idx', 'it2'), 'mi')",56490.27
"((('mi_idx', 'it2'), 'mi'), 'ci')",338382.84
"('ci', ('mi_idx', 'mi'))",3928086.26
"('it2', ('ci', ('mi_idx', 'mi')))",4467855.55
"('it2', ('mi_idx', 'mi'))",1796569.5
"('ci', ('it2', ('mi_idx', 'mi')))",2448986.96
"('ci', 'mi_idx')",816934.01
"('mi', ('ci', 'mi_idx'))",2402523.35
"('it2', ('mi', ('ci', 'mi_idx')))",2942292.71
"((('mi', 'mi_idx'), 'ci'), 'it2')",2514072.8
"('ci', ('mi_idx', 'it2'))",465172.25
"('mi', ('ci', ('mi_idx', 'it2')))",750384.75
"('mi', ('mi_idx', 'ci'))",2343842.84
"('it2', ('mi', ('mi_idx', 'ci')))",3681971.54
"(('mi_idx', 'ci'), 'it2')",522234.64
"('mi', (('mi_idx', 'ci'), 'it2'))",863968.14
"('mi', ('mi_idx', 'ci'))",2343842.84
"('it2', ('mi', ('mi_idx', 'ci')))",3681971.54
"('mi_idx', 'ci')",830214.59
"('mi', ('mi_idx', 'ci'))",2343842.84
"('it2', ('mi', ('mi_idx', 'ci')))",3681971.54
"('mi', 'ci')",2112638.07
"(('mi_idx', 'it2'), ('mi', 'ci'))",1822047.99
"('mi', ('mi_idx', 'ci'))",2343842.84
"('it2', ('mi', ('mi_idx', 'ci')))",3681971.54
"('ci', (('mi_idx', 'mi'), 'it2'))",1405215.47
"('mi_idx', 'ci')",830214.59
"('mi', ('mi_idx', 'ci'))",2343842.84
"('it2', ('mi', ('mi_idx', 'ci')))",3681971.54
"('mi', 'mi_idx')",1242736.78
"(('mi', 'mi_idx'), 'it2')",615587.84
"((('mi', 'mi_idx'), 'it2'), 'ci')",879841.26
"(('mi_idx', 'ci'), 'mi')",2314595.99
"((('mi_idx', 'ci'), 'mi'), 'it2')",1985291.32
"(('mi_idx', 'it2'), 'mi')",56490.27
"('ci', (('mi_idx', 'it2'), 'mi'))",595637.2
"(('mi_idx', 'ci'), 'it2')",522234.64
"((('mi_idx', 'ci'), 'it2'), 'mi')",591967.25
"((('mi_idx', 'it2'), 'mi'), 'ci')",338382.84
"(('mi_idx', 'ci'), 'mi')",2314595.99
"((('mi_idx', 'ci'), 'mi'), 'it2')",1985291.32
"(('mi_idx', 'it2'), 'mi')",56490.27
"('ci', (('mi_idx', 'it2'), 'mi'))",595637.2
"(('mi_idx', 'it2'), 'mi')",56490.27
"('ci', (('mi_idx', 'it2'), 'mi'))",595637.2
"((('mi_idx', 'it2'), 'mi'), 'ci')",338382.84
"(('mi_idx', 'it2'), 'mi')",56490.27
"((('mi_idx', 'it2'), 'mi'), 'ci')",338382.84
"(('mi_idx', 'ci'), 'mi')",2314595.99
"((('mi_idx', 'ci'), 'mi'), 'it2')",1985291.32
"('mi', 'ci')",2112638.07
"('mi_idx', ('mi', 'ci'))",2803374.25
"('it2', ('mi_idx', ('mi', 'ci')))",4141502.95
"(('mi_idx', 'it2'), 'mi')",56490.27
"((('mi_idx', 'it2'), 'mi'), 'ci')",338382.84
"(('mi_idx', 'it2'), 'mi')",56490.27
