order,costs
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('rt', 'ci')",109114.13
"('n', ('rt', 'ci'))",192860.57
"('mc', ('n', ('rt', 'ci')))",228478.13
"('n', 'ci')",121995.86
"(('n', 'ci'), 'mc')",121999.77
"('rt', (('n', 'ci'), 'mc'))",122000.99
"('mc', 'ci')",556876.18
"('n', ('mc', 'ci'))",617947.43
"(('n', ('mc', 'ci')), 'rt')",617947.26
"('mc', 'ci')",556876.18
"('n', ('mc', 'ci'))",617947.43
"('rt', ('n', ('mc', 'ci')))",617948.65
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'rt')",534380.83
"((('mc', 'ci'), 'rt'), 'n')",538911.57
"('mc', 'ci')",556876.18
"('n', ('mc', 'ci'))",617947.43
"('rt', ('n', ('mc', 'ci')))",617948.65
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'n')",596326.94
"('rt', (('mc', 'ci'), 'n'))",596328.17
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'mc')",156929.64
"('n', (('rt', 'ci'), 'mc'))",239991.74
"('n', 'ci')",121995.86
"(('n', 'ci'), 'mc')",121999.77
"('rt', (('n', 'ci'), 'mc'))",122000.99
"('n', 'ci')",121995.86
"(('n', 'ci'), 'mc')",121999.77
"((('n', 'ci'), 'mc'), 'rt')",121999.6
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'mc')",156929.64
"('n', (('rt', 'ci'), 'mc'))",239991.74
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'n')",505105.72
"((('ci', 'rt'), 'n'), 'mc')",505106.29
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'rt')",534380.83
"((('mc', 'ci'), 'rt'), 'n')",538911.57
"('rt', 'ci')",109114.13
"('n', ('rt', 'ci'))",192860.57
"('mc', ('n', ('rt', 'ci')))",228478.13
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'n')",596326.94
"('rt', (('mc', 'ci'), 'n'))",596328.17
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'n')",596326.94
"('rt', (('mc', 'ci'), 'n'))",596328.17
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'n')",505105.72
"('mc', (('ci', 'rt'), 'n'))",540723.29
"('n', 'ci')",121995.86
"('mc', ('n', 'ci'))",157612.21
"('rt', ('mc', ('n', 'ci')))",157613.44
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'rt')",534380.83
"('mc', (('n', 'ci'), 'rt'))",157612.82
"('mc', ('ci', 'rt'))",520292.48
"(('mc', ('ci', 'rt')), 'n')",524823.22
"('ci', 'mc')",553199.78
"('rt', ('ci', 'mc'))",556318.98
"('n', ('rt', ('ci', 'mc')))",639415.08
"('ci', 'mc')",553199.78
"('rt', ('ci', 'mc'))",556318.98
"('n', ('rt', ('ci', 'mc')))",639415.08
"('ci', 'mc')",553199.78
"('rt', ('ci', 'mc'))",556318.98
"('n', ('rt', ('ci', 'mc')))",639415.08
"('ci', 'mc')",553199.78
