order,costs
"('ci', 'rt')",489393.19
"('t', ('ci', 'rt'))",537041.44
"(('t', ('ci', 'rt')), 'n')",540633.29
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"(('rt', ('ci', 't')), 'n')",584974.42
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 'rt')",489393.19
"('t', ('ci', 'rt'))",537041.44
"(('t', ('ci', 'rt')), 'n')",540633.29
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"(('rt', ('ci', 't')), 'n')",584974.42
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('ci', 't')",569926.95
"('rt', ('ci', 't'))",572399.8
"('n', ('rt', ('ci', 't')))",655433.4
"('n', 'ci')",121995.86
"('t', ('n', 'ci'))",174799.46
"('rt', ('t', ('n', 'ci')))",174800.67
"('n', ('ci', 'rt'))",564370.15
