order,costs
"('mc', 'ci')",498439.11
"(('mc', 'ci'), 'rt')",492319.13
"('cn', (('mc', 'ci'), 'rt'))",505457.02
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'cn')",48047.68
"('ci', 'rt')",450215.89
"(('ci', 'rt'), ('mc', 'cn'))",488065.31
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'cn')",48047.68
"(('mc', 'cn'), 'ci')",239477.7
"((('mc', 'cn'), 'ci'), 'rt')",237258.41
"('mc', 'cn')",48047.68
"(('mc', 'cn'), 'ci')",239477.7
"('rt', (('mc', 'cn'), 'ci'))",239786.61
"('mc', 'cn')",48047.68
"('ci', 'rt')",450215.89
"(('ci', 'rt'), ('mc', 'cn'))",488065.31
"('mc', 'ci')",498439.11
"(('mc', 'ci'), 'rt')",492319.13
"('cn', (('mc', 'ci'), 'rt'))",505457.02
"('mc', 'ci')",498439.11
"(('mc', 'ci'), 'rt')",492319.13
"('cn', (('mc', 'ci'), 'rt'))",505457.02
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'ci')",498439.11
"(('mc', 'ci'), 'rt')",492319.13
"('cn', (('mc', 'ci'), 'rt'))",505457.02
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"('cn', ('rt', ('mc', 'ci')))",512426.55
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('mc', 'ci')",498439.11
"('rt', ('mc', 'ci'))",499288.66
"(('rt', ('mc', 'ci')), 'cn')",502649.2
"('cn', 'mc')",74150.46
"(('cn', 'mc'), 'ci')",536543.46
"('rt', (('cn', 'mc'), 'ci'))",536852.37
"(('ci', 'rt'), 'mc')",462235.57
