order,costs
"('ci', 't')",1511567.79
"('chn', ('ci', 't'))",6025652.77
"('kt', ('chn', ('ci', 't')))",6025693.73
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"((('ci', 't'), 'chn'), 'kt')",895070.21
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"('kt', (('ci', 't'), 'chn'))",895377.87
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"((('ci', 't'), 'chn'), 'kt')",895070.21
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"((('ci', 't'), 'chn'), 'kt')",895070.21
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"((('ci', 't'), 'chn'), 'kt')",895070.21
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"('kt', (('ci', 't'), 'chn'))",895377.87
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"((('ci', 't'), 'chn'), 'kt')",895070.21
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"('chn', (('ci', 't'), 'kt'))",2630313.3
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('ci', 't')",1511567.79
"(('ci', 't'), 'chn')",895336.91
"((('ci', 't'), 'chn'), 'kt')",895070.21
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"('chn', (('ci', 't'), 'kt'))",2630313.3
"('ci', 't')",1511567.79
"(('ci', 't'), 'kt')",1326738.94
"((('ci', 't'), 'kt'), 'chn')",916658.9
"('kt', 't')",50926.03
"('ci', 'chn')",504788.77
"(('ci', 'chn'), ('kt', 't'))",570444.6
"('kt', 't')",50926.03
"('ci', 'chn')",504788.77
"(('ci', 'chn'), ('kt', 't'))",570444.6
"('chn', 'ci')",409628.28
"('t', ('chn', 'ci'))",462468.65
"(('t', ('chn', 'ci')), 'kt')",462201.95
"('kt', 't')",50926.03
"('ci', 'chn')",504788.77
"(('kt', 't'), ('ci', 'chn'))",556991.16
"('ci', 'chn')",504788.77
"('t', ('ci', 'chn'))",557629.14
"(('t', ('ci', 'chn')), 'kt')",557362.44
"('ci', 'chn')",504788.77
"('t', 'kt')",77363.77
"(('t', 'kt'), ('ci', 'chn'))",558307.05
"('ci', 'chn')",504788.77
"('t', 'kt')",77363.77
"(('t', 'kt'), ('ci', 'chn'))",558307.05
"('ci', 'chn')",504788.77
"('kt', 't')",50926.03
"(('kt', 't'), ('ci', 'chn'))",556991.16
"('t', 'ci')",2236126.62
