order,costs
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"(('t', 'mk'), 'kt')",265634.66
"('k', (('t', 'mk'), 'kt'))",286155.38
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"(('t', 'mk'), 'k')",231917.36
"('kt', (('t', 'mk'), 'k'))",231920.73
"('t', 'mk')",259950.64
"(('t', 'mk'), 'k')",231917.36
"('kt', (('t', 'mk'), 'k'))",231920.73
"('t', 'mk')",259950.64
"(('t', 'mk'), 'k')",231917.36
"('kt', (('t', 'mk'), 'k'))",231920.73
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"(('t', 'mk'), 'k')",231917.36
"('kt', (('t', 'mk'), 'k'))",231920.73
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"(('t', 'mk'), 'k')",231917.36
"('kt', (('t', 'mk'), 'k'))",231920.73
"('t', 'mk')",259950.64
"(('t', 'mk'), 'k')",231917.36
"('kt', (('t', 'mk'), 'k'))",231920.73
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"('k', ('kt', ('t', 'mk')))",311208.58
"('t', 'mk')",259950.64
"(('t', 'mk'), 'kt')",265634.66
"('k', (('t', 'mk'), 'kt'))",286155.38
"((('t', 'mk'), 'k'), 'kt')",231903.08
"((('t', 'mk'), 'k'), 'kt')",231903.08
"((('t', 'mk'), 'k'), 'kt')",231903.08
