order,costs
"('t', 'mk')",257073.55
"(('t', 'mk'), 'mc')",380818.01
"('cn', (('t', 'mk'), 'mc'))",610373.73
"('mk', 'mc')",351244.72
"('t', ('mk', 'mc'))",641007.87
"(('t', ('mk', 'mc')), 'cn')",619989.98
"('mk', 'mc')",351244.72
"('cn', ('mk', 'mc'))",2652518.47
"(('cn', ('mk', 'mc')), 't')",2868713.72
"('mk', 'mc')",351244.72
"('cn', ('mk', 'mc'))",2652518.47
"(('cn', ('mk', 'mc')), 't')",2868713.72
"('mc', 't')",155011.29
"(('mc', 't'), 'cn')",125698.29
"('mk', (('mc', 't'), 'cn'))",266293.78
"('mk', 't')",238398.41
"(('mk', 't'), 'mc')",291499.26
"('cn', (('mk', 't'), 'mc'))",521054.99
"('mk', 't')",238398.41
"(('mk', 't'), 'mc')",291499.26
"((('mk', 't'), 'mc'), 'cn')",234420.46
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 't')",603651.29
"('cn', (('mc', 'mk'), 't'))",1772303.9
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 't')",155011.29
"('mk', ('mc', 't'))",318257.25
"('cn', ('mk', ('mc', 't')))",1486909.86
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 't')",603651.29
"('cn', (('mc', 'mk'), 't'))",1772303.9
"('mc', 'mk')",415110.41
"(('mc', 'mk'), 'cn')",453650.13
"((('mc', 'mk'), 'cn'), 't')",525440.14
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('t', 'mk'))",318171.27
"(('mk', 'mc'), 'cn')",389784.44
"('t', (('mk', 'mc'), 'cn'))",426334.05
"('mc', 'cn')",56107.5
"('mk', ('mc', 'cn'))",228668.25
"(('mk', ('mc', 'cn')), 't')",331047.19
"('mc', 'cn')",56107.5
"('mk', ('mc', 'cn'))",228668.25
"(('mk', ('mc', 'cn')), 't')",331047.19
"('t', (('mc', 'mk'), 'cn'))",582420.11
"('t', (('mc', 'mk'), 'cn'))",582420.11
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mk', 't'))",309466.72
"('t', (('mc', 'mk'), 'cn'))",582420.11
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mk', 't'))",309466.72
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mk', 't'))",309466.72
"('cn', ('mc', 'mk'))",2455788.34
"(('cn', ('mc', 'mk')), 't')",2676019.52
"(('mc', 't'), 'mk')",381528.11
"('cn', (('mc', 't'), 'mk'))",611083.72
"('cn', ('mc', 'mk'))",2455788.34
"(('cn', ('mc', 'mk')), 't')",2676019.52
"('cn', ('mc', 'mk'))",2455788.34
"(('cn', ('mc', 'mk')), 't')",2676019.52
"('cn', ('mc', 'mk'))",2455788.34
"(('cn', ('mc', 'mk')), 't')",2676019.52
"('cn', ('mc', 'mk'))",2455788.34
"(('cn', ('mc', 'mk')), 't')",2676019.52
"('cn', ('mc', 'mk'))",2455788.34
"(('cn', ('mc', 'mk')), 't')",2676019.52
