order,costs
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"('k', ('mc', ('ml', 'mk')))",120300.74
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"((('ml', 'mk'), 'k'), 'mc')",23183.61
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"('k', ('mc', ('ml', 'mk')))",120300.74
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"('k', ('mc', ('ml', 'mk')))",120300.74
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"('k', ('mc', ('ml', 'mk')))",120300.74
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"((('ml', 'mk'), 'k'), 'mc')",23183.61
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"((('ml', 'mk'), 'k'), 'mc')",23183.61
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"((('ml', 'mk'), 'k'), 'mc')",23183.61
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"((('ml', 'mk'), 'k'), 'mc')",23183.61
"('ml', 'mk')",16960.86
"('k', ('ml', 'mk'))",36463.82
"('mc', ('k', ('ml', 'mk')))",41476.12
"('ml', 'mk')",16960.86
"('mc', ('ml', 'mk'))",74141.64
"(('mc', ('ml', 'mk')), 'k')",50527.81
"(('ml', 'mk'), 'mc')",71248.7
"((('ml', 'mk'), 'mc'), 'k')",83063.7
"(('ml', 'mk'), 'mc')",71248.7
"((('ml', 'mk'), 'mc'), 'k')",83063.7
"(('ml', 'mk'), 'mc')",71248.7
"((('ml', 'mk'), 'mc'), 'k')",83063.7
"(('ml', 'mk'), 'mc')",71248.7
"((('ml', 'mk'), 'mc'), 'k')",83063.7
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'ml')",6970.39
"('k', 'mk')",3802.56
"(('mc', 'ml'), ('k', 'mk'))",10485.57
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3821.9
"('ml', (('k', 'mk'), 'mc'))",4436.21
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"(('k', ('mc', 'mk')), 'ml')",564012.74
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'ml')",6970.39
"('k', 'mk')",3802.56
"(('mc', 'ml'), ('k', 'mk'))",10485.57
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"(('k', ('mc', 'mk')), 'ml')",564012.74
"('mc', 'ml')",6970.39
"('k', 'mk')",3802.56
"(('mc', 'ml'), ('k', 'mk'))",10485.57
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"(('k', ('mc', 'mk')), 'ml')",564012.74
"('ml', 'mc')",6657.67
"(('ml', 'mc'), 'mk')",44266.79
"('k', (('ml', 'mc'), 'mk'))",90425.89
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",83661.94
"('ml', ('mc', ('mk', 'k')))",55773.99
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",83661.94
"('mc', 'mk')",415110.41
"('ml', ('mc', ('mk', 'k')))",55773.99
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3821.9
"('ml', (('k', 'mk'), 'mc'))",4436.21
"('mc', 'mk')",415110.41
"('k', ('mc', 'mk'))",563975.32
"('ml', ('k', ('mc', 'mk')))",564589.63
"('mc', 'ml')",6970.39
"('k', 'mk')",3802.56
"(('mc', 'ml'), ('k', 'mk'))",10485.57
"('mk', 'ml')",23613.0
"('k', ('mk', 'ml'))",43115.96
"('mc', ('k', ('mk', 'ml')))",48128.26
"('mk', 'k')",51966.45
