order,costs
"('ml', 't')",9634.42
"('mc', ('ml', 't'))",15120.74
"('ct', ('mc', ('ml', 't')))",15517.25
"('mc', 'ct')",51817.28
"(('mc', 'ct'), 'ml')",6736.77
"('mc', 'ct')",51817.28
"(('mc', 'ct'), 'ml')",6736.77
"('mc', 'ct')",51817.28
"(('mc', 'ct'), 'ml')",6736.77
"('mc', 'ct')",51817.28
"(('mc', 'ct'), 'ml')",6736.77
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"('ct', ('t', ('ml', 'mc')))",16399.8
"('ml', 'mc')",6657.67
"(('ml', 'mc'), 't')",15809.42
"('ct', (('ml', 'mc'), 't'))",16205.93
"('ml', 'mc')",6657.67
"(('ml', 'mc'), 't')",15809.42
"('ct', (('ml', 'mc'), 't'))",16205.93
"('ml', 'mc')",6657.67
"(('ml', 'mc'), 't')",15809.42
"('ct', (('ml', 'mc'), 't'))",16205.93
"('ml', 'mc')",6657.67
"(('ml', 'mc'), 't')",15809.42
"((('ml', 'mc'), 't'), 'ct')",15981.52
"('ml', 'mc')",6657.67
"(('ml', 'mc'), 't')",15809.42
"('ct', (('ml', 'mc'), 't'))",16205.93
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"('ct', ('t', ('ml', 'mc')))",16399.8
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"(('t', ('ml', 'mc')), 'ct')",15936.85
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"('ct', ('t', ('ml', 'mc')))",16399.8
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"('ct', ('t', ('ml', 'mc')))",16399.8
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"('ct', ('t', ('ml', 'mc')))",16399.8
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
"(('t', ('ml', 'mc')), 'ct')",15936.85
"('ml', 'mc')",6657.67
"('t', ('ml', 'mc'))",16003.28
