order,costs
"('t', 'ml')",9634.42
"('mk', ('t', 'ml'))",18189.91
"('k', ('mk', ('t', 'ml')))",21148.78
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"('t', (('ml', 'mk'), 'k'))",31074.8
"('mk', 'k')",51966.45
"(('mk', 'k'), 't')",51971.32
"('ml', (('mk', 'k'), 't'))",11872.35
"('mk', 'ml')",23613.0
"('k', ('mk', 'ml'))",43115.96
"('t', ('k', ('mk', 'ml')))",51012.61
"('ml', 't')",9634.42
"('mk', 'k')",51966.45
"(('ml', 't'), ('mk', 'k'))",14783.69
"('t', 'ml')",9634.42
"('mk', ('t', 'ml'))",18189.91
"(('mk', ('t', 'ml')), 'k')",18709.2
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"('t', (('ml', 'mk'), 'k'))",31074.8
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 't')",34455.21
"((('ml', 'mk'), 't'), 'k')",38581.32
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('mk', 't')",242915.52
"('ml', ('mk', 't'))",20950.38
"(('ml', ('mk', 't')), 'k')",25076.5
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('ml', 'mk')",16960.86
"(('ml', 'mk'), 'k')",23177.85
"('t', (('ml', 'mk'), 'k'))",31074.8
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"('mk', 't')",242915.52
"(('mk', 't'), 'ml')",20240.78
"((('mk', 't'), 'ml'), 'k')",20760.08
"(('t', 'ml'), 'mk')",17790.54
"('k', (('t', 'ml'), 'mk'))",27337.46
"('t', ('ml', 'mk'))",37818.78
"('k', ('t', ('ml', 'mk')))",47365.7
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'ml')",19139.21
"((('ml', 'mk'), 'k'), 't')",23182.88
"(('mk', 'ml'), 't')",41107.35
"((('mk', 'ml'), 't'), 'k')",27755.28
"(('mk', 'ml'), 'k')",16296.87
"('t', (('mk', 'ml'), 'k'))",24938.65
"(('mk', 'ml'), 'k')",16296.87
"('t', (('mk', 'ml'), 'k'))",24938.65
"(('mk', 't'), 'k')",142259.68
"('ml', (('mk', 't'), 'k'))",19139.21
"('ml', ('mk', 'k'))",5989.23
"(('ml', ('mk', 'k')), 't')",5994.26
"('ml', ('mk', 'k'))",5989.23
"('t', ('ml', ('mk', 'k')))",14630.85
"(('mk', 'k'), ('ml', 't'))",14814.28
"(('mk', 'k'), ('ml', 't'))",14814.28
"('ml', ('mk', 'k'))",5989.23
"(('ml', ('mk', 'k')), 't')",5994.26
"((('mk', 'k'), 't'), 'ml')",11872.34
"((('mk', 'k'), 't'), 'ml')",11872.34
"('ml', ('mk', 'k'))",5989.23
"('t', ('ml', ('mk', 'k')))",14630.85
"('k', 'mk')",3802.56
"('ml', ('k', 'mk'))",4378.55
"('t', ('ml', ('k', 'mk')))",12275.5
"('k', 'mk')",3802.56
"('ml', ('k', 'mk'))",4378.55
"(('ml', ('k', 'mk')), 't')",4383.58
"('ml', ('mk', 'k'))",5989.23
"('t', ('ml', ('mk', 'k')))",14630.85
"('k', 'mk')",3802.56
"('ml', ('k', 'mk'))",4378.55
"(('ml', ('k', 'mk')), 't')",4383.58
"('k', 'mk')",3802.56
"('ml', ('k', 'mk'))",4378.55
"(('ml', ('k', 'mk')), 't')",4383.58
"('ml', ('mk', 'k'))",5989.23
"('t', ('ml', ('mk', 'k')))",14630.85
"('ml', ('mk', 'k'))",5989.23
"('t', ('ml', ('mk', 'k')))",14630.85
"('k', 'mk')",3802.56
"(('ml', 't'), ('k', 'mk'))",13468.49
"('k', 'mk')",3802.56
"(('mk', 'k'), ('ml', 't'))",14814.28
"('ml', ('k', 'mk'))",4378.55
"('t', ('ml', ('k', 'mk')))",12275.5
"('k', 'mk')",3802.56
"(('k', 'mk'), ('ml', 't'))",13499.09
"('k', 'mk')",3802.56
"('ml', ('k', 'mk'))",4378.55
"('t', ('ml', ('k', 'mk')))",12275.5
"('k', 'mk')",3802.56
"('ml', ('k', 'mk'))",4378.55
"('t', ('ml', ('k', 'mk')))",12275.5
"(('t', 'ml'), ('mk', 'k'))",14219.41
"('k', ('ml', ('mk', 't')))",30497.08
"((('ml', 'mk'), 'k'), 't')",23182.88
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'ml')",19139.21
"('t', 'mk')",259277.44
"(('t', 'mk'), 'ml')",20609.54
"((('t', 'mk'), 'ml'), 'k')",21447.82
"('t', ('ml', 'mk'))",37818.78
"(('t', ('ml', 'mk')), 'k')",37157.46
"(('mk', 'k'), ('ml', 't'))",14814.28
"(('mk', 'ml'), 'k')",16296.87
"('t', (('mk', 'ml'), 'k'))",24938.65
"(('mk', 't'), 'k')",142259.68
"('ml', (('mk', 't'), 'k'))",19139.21
"('t', 'mk')",259277.44
"(('t', 'mk'), 'k')",230613.83
"((('t', 'mk'), 'k'), 'ml')",19804.08
"(('t', 'mk'), 'k')",230613.83
"((('t', 'mk'), 'k'), 'ml')",19804.08
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ml')",3817.02
"(('mk', 't'), 'k')",142259.68
"('ml', (('mk', 't'), 'k'))",19139.21
"('t', 'mk')",259277.44
"(('t', 'mk'), 'k')",230613.83
"((('t', 'mk'), 'k'), 'ml')",19804.08
"('ml', (('mk', 't'), 'k'))",19139.21
"('t', 'mk')",259277.44
"(('t', 'mk'), 'ml')",20609.54
"('k', (('t', 'mk'), 'ml'))",23568.41
"(('mk', 't'), 'k')",142259.68
"('ml', (('mk', 't'), 'k'))",19139.21
"(('mk', 't'), 'k')",142259.68
"('ml', (('mk', 't'), 'k'))",19139.21
"(('k', 'mk'), ('t', 'ml'))",13499.09
"('k', 'mk')",3802.56
"(('k', 'mk'), ('t', 'ml'))",13499.09
"('k', 'mk')",3802.56
"(('k', 'mk'), ('ml', 't'))",13499.09
"('k', 'mk')",3802.56
"(('k', 'mk'), ('ml', 't'))",13499.09
"('k', 'mk')",3802.56
"(('k', 'mk'), ('t', 'ml'))",13499.09
"('k', 'mk')",3802.56
"(('k', 'mk'), ('t', 'ml'))",13499.09
"(('t', 'ml'), ('mk', 'k'))",14219.41
"('t', 'mk')",259277.44
"(('t', 'mk'), 'k')",230613.83
"((('t', 'mk'), 'k'), 'ml')",19804.08
"('t', 'mk')",259277.44
