order,costs
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mc')",6372.01
"((('lt', 'ml'), 'mc'), 'mk')",14447.88
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mc')",6372.01
"((('lt', 'ml'), 'mc'), 'mk')",14447.88
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mc')",6372.01
"((('lt', 'ml'), 'mc'), 'mk')",14447.88
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mc')",6372.01
"((('lt', 'ml'), 'mc'), 'mk')",14447.88
"('mc', 'mk')",415110.41
"('lt', 'ml')",229.23
"(('lt', 'ml'), ('mc', 'mk'))",12343.0
"('mk', 'ml')",23613.0
