order,costs
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('k', 'mk')",7406.22
"(('k', 'mk'), 'mi_idx')",7477.36
"((('k', 'mk'), 'mi_idx'), 't')",7655.01
"('k', 'mk')",7406.22
"(('k', 'mk'), 'mi_idx')",7477.36
"('t', (('k', 'mk'), 'mi_idx'))",60535.88
"('mi_idx', 't')",110399.42
"('k', 'mk')",7406.22
"(('mi_idx', 't'), ('k', 'mk'))",93630.07
"('k', 'mk')",7406.22
"(('k', 'mk'), 'mi_idx')",7477.36
"((('k', 'mk'), 'mi_idx'), 't')",7655.01
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('mi_idx', 't')",110399.42
"('k', 'mk')",7406.22
"(('mi_idx', 't'), ('k', 'mk'))",93630.07
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"(('k', ('mi_idx', 'mk')), 't')",1630970.02
"('mi_idx', 'mk')",341672.32
"('k', ('mi_idx', 'mk'))",1630792.37
"('t', ('k', ('mi_idx', 'mk')))",1683850.89
"('mi_idx', 't')",110399.42
"('k', 'mk')",7406.22
"(('mi_idx', 't'), ('k', 'mk'))",93630.07
"('mi_idx', 't')",110399.42
"('k', 'mk')",7406.22
"(('mi_idx', 't'), ('k', 'mk'))",93630.07
"('mi_idx', 't')",110399.42
"('k', 'mk')",7406.22
"(('mi_idx', 't'), ('k', 'mk'))",93630.07
"('mk', 'k')",52312.01
"('mi_idx', ('mk', 'k'))",69326.62
"('t', ('mi_idx', ('mk', 'k')))",119953.87
"('mk', 'k')",52312.01
"('mi_idx', ('mk', 'k'))",69326.62
"('t', ('mi_idx', ('mk', 'k')))",119953.87
"('t', 'mk')",242829.32
