order,costs
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('it2', 'mi_idx')",20344.46
"(('it2', 'mi_idx'), 'mc')",27932.35
"('cn', (('it2', 'mi_idx'), 'mc'))",50223.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('it2', 'mi_idx')",20344.46
"(('it2', 'mi_idx'), 'mc')",27932.35
"((('it2', 'mi_idx'), 'mc'), 'cn')",38364.6
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"(('mc', 'cn'), 'mi_idx')",267160.82
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('mc', 'cn')",103272.5
"('it2', 'mi_idx')",20344.46
"(('mc', 'cn'), 'mi_idx')",267160.82
"(('it2', 'mi_idx'), 'mc')",27932.35
"('it2', (('mc', 'cn'), 'mi_idx'))",314557.32
"('cn', (('it2', 'mi_idx'), 'mc'))",50223.32
"('mc', 'mi_idx')",241105.39
"('it2', ('mc', 'mi_idx'))",329744.53
"('cn', ('it2', ('mc', 'mi_idx')))",352035.49
"(('it2', 'mi_idx'), ('mc', 'cn'))",190793.49
"('mi_idx', 'it2')",18868.59
"(('mi_idx', 'it2'), ('mc', 'cn'))",87174.15
"('mi_idx', 'it2')",18868.59
"(('mc', 'cn'), ('mi_idx', 'it2'))",61577.24
"(('it2', ('mc', 'mi_idx')), 'cn')",340176.77
"('mi_idx', 'it2')",18868.59
"(('mc', 'cn'), ('mi_idx', 'it2'))",61577.24
"('mi_idx', 'it2')",18868.59
"(('mi_idx', 'it2'), ('mc', 'cn'))",87174.15
"('mi_idx', ('mc', 'cn'))",267492.6
"(('mi_idx', ('mc', 'cn')), 'it2')",109362.49
"('mi_idx', 'it2')",18868.59
"(('mi_idx', 'it2'), ('mc', 'cn'))",87174.15
"(('it2', ('mc', 'mi_idx')), 'cn')",340176.77
"('mi_idx', ('mc', 'cn'))",267492.6
