order,costs
"('cct1', 'cc')",3776.49
"('mc', ('cct1', 'cc'))",57558.49
"(('mc', ('cct1', 'cc')), 'ct')",57961.54
"('cct1', 'cc')",3776.49
"('mc', ('cct1', 'cc'))",57558.49
"(('mc', ('cct1', 'cc')), 'ct')",57961.54
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cct1', 'cc')",3776.49
"('mc', ('cct1', 'cc'))",57558.49
"(('mc', ('cct1', 'cc')), 'ct')",57961.54
"('cct1', 'cc')",3776.49
"('mc', ('cct1', 'cc'))",57558.49
"(('mc', ('cct1', 'cc')), 'ct')",57961.54
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('cc', 'mc')",130023.92
"('cct1', ('cc', 'mc'))",138947.05
"('ct', ('cct1', ('cc', 'mc')))",158468.84
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cct1', 'cc'))",63436.91
"(('cc', 'mc'), 'ct')",133883.82
"('cct1', (('cc', 'mc'), 'ct'))",142806.94
"('cc', 'cct1')",2818.24
"('mc', ('cc', 'cct1'))",56600.24
"(('mc', ('cc', 'cct1')), 'ct')",57003.29
"(('cc', 'mc'), 'ct')",133883.82
"('cct1', (('cc', 'mc'), 'ct'))",142806.94
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), ('cct1', 'cc'))",115197.99
"((('cc', 'mc'), 'ct'), 'cct1')",137743.68
"(('cc', 'mc'), 'ct')",133883.82
"((('cc', 'mc'), 'ct'), 'cct1')",137743.68
"(('cc', 'mc'), 'ct')",133883.82
"('cct1', (('cc', 'mc'), 'ct'))",142806.94
"(('cc', 'mc'), 'ct')",133883.82
"('cct1', (('cc', 'mc'), 'ct'))",142806.94
"('ct', 'mc')",99430.68
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"(('cc', 'mc'), 'ct')",133883.82
"((('cc', 'mc'), 'ct'), 'cct1')",137743.68
"(('cct1', ('cc', 'mc')), 'ct')",139912.85
"(('cct1', ('cc', 'mc')), 'ct')",139912.85
"(('cct1', ('cc', 'mc')), 'ct')",139912.85
"('cc', 'cct1')",2818.24
"('mc', ('cc', 'cct1'))",56600.24
"(('mc', ('cc', 'cct1')), 'ct')",57003.29
"(('cct1', ('cc', 'mc')), 'ct')",139912.85
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"((('cc', 'mc'), 'ct'), 'cct1')",137743.68
"(('cc', 'mc'), 'ct')",133883.82
"((('cc', 'mc'), 'ct'), 'cct1')",137743.68
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"(('cc', 'mc'), 'cct1')",133883.79
"('ct', (('cc', 'mc'), 'cct1'))",153405.46
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"(('cc', 'mc'), 'cct1')",133883.79
"('ct', (('cc', 'mc'), 'cct1'))",153405.46
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"(('cc', 'mc'), 'ct')",133883.82
"('cct1', (('cc', 'mc'), 'ct'))",142806.94
"('cc', 'cct1')",2818.24
"(('ct', 'mc'), ('cc', 'cct1'))",114239.74
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"(('cc', 'mc'), 'cct1')",133883.79
"('ct', (('cc', 'mc'), 'cct1'))",153405.46
"(('cct1', 'cc'), 'mc')",46906.45
"('ct', (('cct1', 'cc'), 'mc'))",66428.24
"('ct', ('cc', 'mc'))",202519.34
"(('ct', ('cc', 'mc')), 'cct1')",206379.21
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'ct')",114821.92
"((('mc', 'cc'), 'ct'), 'cct1')",82250.51
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"('ct', ('cc', 'mc'))",202519.34
"('cct1', ('ct', ('cc', 'mc')))",211442.47
"('ct', ('mc', ('cct1', 'cc')))",77080.15
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"((('ct', 'mc'), 'cc'), 'cct1')",189721.28
"('ct', 'mc')",99430.68
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('ct', ('cc', 'mc'))",202519.34
"(('ct', ('cc', 'mc')), 'cct1')",206379.21
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"((('ct', 'mc'), 'cc'), 'cct1')",189721.28
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('ct', 'mc')",99430.68
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('mc', 'ct')",59021.98
"(('cct1', 'cc'), ('mc', 'ct'))",159106.52
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"('cc', 'cct1')",2818.24
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"(('cc', 'cct1'), ('mc', 'ct'))",158148.28
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"((('mc', 'cc'), 'cct1'), 'ct')",81044.65
"('mc', 'ct')",59021.98
"(('mc', 'ct'), 'cc')",145452.72
"((('mc', 'ct'), 'cc'), 'cct1')",95012.02
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'ct')",114821.92
"((('mc', 'cc'), 'ct'), 'cct1')",82250.51
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cct1', 'cc'))",63436.91
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('ct', (('mc', 'cc'), 'cct1'))",100163.26
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'ct')",114821.92
"((('mc', 'cc'), 'ct'), 'cct1')",82250.51
"('mc', 'ct')",59021.98
"(('cc', 'cct1'), ('mc', 'ct'))",158148.28
"('mc', 'ct')",59021.98
"(('cc', 'cct1'), ('mc', 'ct'))",158148.28
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"('cc', 'cct1')",2818.24
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'cct1'))",62478.66
"(('cc', 'cct1'), ('mc', 'ct'))",158148.28
