order,costs
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('mc', 't')",217675.83
"(('mc', 't'), 'cn')",182129.93
"('kt', (('mc', 't'), 'cn'))",188561.68
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"('mc', ('t', 'kt'))",127791.87
"('cn', ('mc', ('t', 'kt')))",175874.88
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('t', 'kt')",72314.04
"(('t', 'kt'), 'mc')",125067.59
"('cn', (('t', 'kt'), 'mc'))",173150.61
"('mc', 't')",217675.83
"(('mc', 't'), 'kt')",146489.14
"('cn', (('mc', 't'), 'kt'))",194572.16
"('kt', ('mc', 't'))",235403.65
"('cn', ('kt', ('mc', 't')))",283486.66
"('kt', 't')",49358.29
"(('kt', 't'), 'mc')",174461.32
"((('kt', 't'), 'mc'), 'cn')",188389.67
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('kt', 't')",49358.29
"(('kt', 't'), 'mc')",174461.32
"((('kt', 't'), 'mc'), 'cn')",188389.67
"('mc', 'cn')",101741.45
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('kt', 't')",49358.29
"(('kt', 't'), 'mc')",174461.32
"((('kt', 't'), 'mc'), 'cn')",188389.67
"('kt', 't')",49358.29
"(('kt', 't'), 'mc')",174461.32
"((('kt', 't'), 'mc'), 'cn')",188389.67
"('mc', 'cn')",101741.45
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('kt', 't')",49358.29
"(('kt', 't'), 'mc')",174461.32
"((('kt', 't'), 'mc'), 'cn')",188389.67
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",178492.1
"((('mc', 'cn'), 't'), 'kt')",135300.55
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('kt', 't'))",120276.58
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('mc', 'cn')",101741.45
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('cn', ('mc', 't'))",584988.34
"('kt', ('cn', ('mc', 't')))",591420.09
"('cn', ('mc', 't'))",584988.34
"('kt', ('cn', ('mc', 't')))",591420.09
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('cn', 'mc')",134918.42
"(('cn', 'mc'), ('t', 'kt'))",215335.97
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('t', 'mc')",252469.06
"(('t', 'mc'), 'cn')",191033.04
"((('t', 'mc'), 'cn'), 'kt')",147841.49
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"('mc', 'cn')",101741.45
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('mc', ('t', 'kt')), 'cn')",120498.4
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"((('t', 'kt'), 'mc'), 'cn')",117774.12
"('cn', ('mc', 't'))",584988.34
"('kt', ('cn', ('mc', 't')))",591420.09
"('cn', ('mc', 't'))",584988.34
"(('cn', ('mc', 't')), 'kt')",587157.49
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"((('mc', 't'), 'kt'), 'cn')",139195.67
"(('t', 'kt'), ('mc', 'cn'))",119921.69
"((('t', 'kt'), 'mc'), 'cn')",117774.12
"(('mc', ('t', 'kt')), 'cn')",120498.4
"('kt', ('mc', 't'))",235403.65
"(('kt', ('mc', 't')), 'cn')",249332.0
"((('t', 'kt'), 'mc'), 'cn')",117774.12
"((('t', 'kt'), 'mc'), 'cn')",117774.12
"('kt', ('mc', 't'))",235403.65
"(('kt', ('mc', 't')), 'cn')",249332.0
