order,costs
"('mk', 't')",250918.2
"('mc', 'mi')",403637.76
"(('mc', 'mi'), ('mk', 't'))",675625.04
"('mk', 'mi')",397303.4
"('mc', ('mk', 'mi'))",491744.18
"(('mc', ('mk', 'mi')), 't')",532734.73
"('t', 'mc')",252469.06
"('mi', 'mk')",275583.04
"(('t', 'mc'), ('mi', 'mk'))",535552.72
"('mk', 'mi')",397303.4
"('mc', ('mk', 'mi'))",491744.18
"(('mc', ('mk', 'mi')), 't')",532734.73
"('mk', 't')",250918.2
"('mc', 'mi')",403637.76
"(('mc', 'mi'), ('mk', 't'))",675625.04
"('mk', 'mi')",397303.4
"('mc', ('mk', 'mi'))",491744.18
"(('mc', ('mk', 'mi')), 't')",532734.73
"('mk', 't')",250918.2
"('mc', 'mi')",403637.76
"(('mk', 't'), ('mc', 'mi'))",669489.12
"('t', 'mc')",252469.06
"('mi', 'mk')",275583.04
"(('mi', 'mk'), ('t', 'mc'))",437416.41
"('mk', 't')",250918.2
"('mc', 'mi')",403637.76
"(('mc', 'mi'), ('mk', 't'))",675625.04
"('t', 'mc')",252469.06
"('mi', 'mk')",275583.04
"(('mi', 'mk'), ('t', 'mc'))",437416.41
"('t', 'mc')",252469.06
"('mi', 'mk')",275583.04
"(('mi', 'mk'), ('t', 'mc'))",437416.41
"('mk', 't')",250918.2
"('mc', 'mi')",403637.76
"(('mk', 't'), ('mc', 'mi'))",669489.12
"('t', 'mi')",384615.35
"('mc', 'mk')",601578.58
"(('mc', 'mk'), ('t', 'mi'))",846454.03
"(('mi', 'mk'), 'mc')",281027.82
"((('mi', 'mk'), 'mc'), 't')",283268.86
"('mi', 't')",274474.94
"(('mi', 't'), 'mk')",274640.2
"('mc', (('mi', 't'), 'mk'))",308570.77
"('mi', 't')",274474.94
"(('mi', 't'), 'mc')",274529.71
"('mi', 'mc')",276551.38
"('mk', ('mi', 'mc'))",401350.72
"(('mk', ('mi', 'mc')), 't')",405701.05
"(('mi', 'mk'), 'mc')",281027.82
"((('mi', 'mk'), 'mc'), 't')",283268.86
"(('mi', 'mk'), 'mc')",281027.82
"((('mi', 'mk'), 'mc'), 't')",283268.86
"('mi', 'mc')",276551.38
"('mk', ('mi', 'mc'))",401350.72
"(('mk', ('mi', 'mc')), 't')",405701.05
"('mi', 't')",274474.94
"(('mi', 't'), 'mk')",274640.2
"('mc', (('mi', 't'), 'mk'))",308570.77
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",818939.97
"((('mk', 'mc'), 'mi'), 't')",820346.73
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",818939.97
"((('mk', 'mc'), 'mi'), 't')",820346.73
"('mi', 't')",274474.94
"(('mi', 't'), 'mk')",274640.2
"('mc', (('mi', 't'), 'mk'))",308570.77
"('mi', 't')",274474.94
"(('mi', 't'), 'mk')",274640.2
"('mc', (('mi', 't'), 'mk'))",308570.77
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",818939.97
