order,costs
"('mc', 'cc')",110962.03
"('mi', ('mc', 'cc'))",327542.65
"(('mi', ('mc', 'cc')), 'ct')",327546.49
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"('cc', ('mi', ('ct', 'mc')))",457534.22
"('cc', 'mi')",264218.1
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'mi'))",453996.15
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"('cc', 'mi')",264218.1
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cc', 'mi'))",453996.15
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"('mc', 'cc')",110962.03
"('mi', ('mc', 'cc'))",327542.65
"(('mi', ('mc', 'cc')), 'ct')",327546.49
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",450954.62
"(('mi', ('ct', 'mc')), 'cc')",451362.02
"(('cc', 'mi'), ('mc', 'ct'))",417028.42
"(('cc', 'mi'), ('mc', 'ct'))",417028.42
"(('cc', 'mi'), ('mc', 'ct'))",417028.42
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mi', ('mc', 'ct'))",332515.16
"('cc', ('mi', ('mc', 'ct')))",339094.76
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('mc', 'mi')",388169.95
"(('mc', 'mi'), 'ct')",388179.99
"('cc', (('mc', 'mi'), 'ct'))",394699.18
"('mc', 'mi')",388169.95
"(('mc', 'mi'), 'ct')",388179.99
"('cc', (('mc', 'mi'), 'ct'))",394699.18
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mc', 'mi')",388169.95
"(('mc', 'mi'), 'ct')",388179.99
"('cc', (('mc', 'mi'), 'ct'))",394699.18
"('mi', 'cc')",258860.93
"(('mi', 'cc'), 'mc')",259083.73
"('ct', (('mi', 'cc'), 'mc'))",259161.08
"('mc', ('mi', 'cc'))",389289.93
"(('mc', ('mi', 'cc')), 'ct')",389297.62
"('mi', 'mc')",260550.69
"(('mi', 'mc'), 'cc')",260839.26
"((('mi', 'mc'), 'cc'), 'ct')",260843.1
"('mi', 'mc')",260550.69
"(('mi', 'mc'), 'cc')",260839.26
"((('mi', 'mc'), 'cc'), 'ct')",260843.1
"('mc', 'mi')",388169.95
"(('mc', 'mi'), 'ct')",388179.99
"((('mc', 'mi'), 'ct'), 'cc')",389004.68
"('mi', 'mc')",260550.69
"(('mi', 'mc'), 'ct')",260555.5
"((('mi', 'mc'), 'ct'), 'cc')",260844.07
"(('mi', 'cc'), ('mc', 'ct'))",333609.53
"('mi', 'mc')",260550.69
"(('mi', 'mc'), 'ct')",260555.5
