order,costs
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'kt')",76487.52
"('mk', (('t', 'cc'), 'kt'))",127800.98
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mk')",142166.75
"('kt', (('t', 'cc'), 'mk'))",143810.03
"('t', 'kt')",72314.04
"(('t', 'kt'), 'cc')",61995.47
"('t', 'kt')",72314.04
"(('t', 'kt'), 'cc')",61995.47
"((('t', 'cc'), 'mk'), 'kt')",131137.74
"('mk', 't')",250918.2
"(('mk', 't'), 'kt')",180333.22
"('cc', (('mk', 't'), 'kt'))",201861.21
"((('t', 'cc'), 'mk'), 'kt')",131137.74
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"(('kt', ('t', 'mk')), 'cc')",310763.33
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
"(('kt', ('t', 'mk')), 'cc')",310763.33
"('t', 'mk')",259950.64
"('kt', ('t', 'mk'))",290687.86
