order,costs
"('mi', 'it')",258016.83
"(('mi', 'it'), 't')",258793.33
"('t', 'mi')",404064.78
"('it', ('t', 'mi'))",404371.08
"('mc', ('it', ('t', 'mi')))",459075.51
"('t', 'mi')",404064.78
"('it', ('t', 'mi'))",404371.08
"('mc', ('it', ('t', 'mi')))",459075.51
"('t', 'mi')",404064.78
"('it', ('t', 'mi'))",404371.08
"('mc', ('it', ('t', 'mi')))",459075.51
"('t', 'mi')",404064.78
"('it', ('t', 'mi'))",404371.08
"('mc', ('it', ('t', 'mi')))",459075.51
"('t', 'mi')",404064.78
"('it', ('t', 'mi'))",404371.08
"('mc', ('it', ('t', 'mi')))",459075.51
"('t', 'mi')",404064.78
"('it', ('t', 'mi'))",404371.08
"('mc', ('it', ('t', 'mi')))",459075.51
"(('t', 'mi'), 'it')",404133.41
"((('t', 'mi'), 'it'), 'mc')",404606.19
"(('t', 'mi'), 'it')",404133.41
"((('t', 'mi'), 'it'), 'mc')",404606.19
"('mc', ('t', 'mi'))",459319.07
"(('mc', ('t', 'mi')), 'it')",459389.82
"(('t', 'mi'), 'it')",404133.41
"((('t', 'mi'), 'it'), 'mc')",404606.19
"(('t', 'mi'), 'it')",404133.41
"((('t', 'mi'), 'it'), 'mc')",404606.19
"('mc', ('t', 'mi'))",459319.07
"(('mc', ('t', 'mi')), 'it')",459389.82
"('it', 'mi')",275255.15
"('mc', ('it', 'mi'))",405838.25
"(('mc', ('it', 'mi')), 't')",409694.0
"('mc', 't')",147319.85
"(('mc', 't'), ('mi', 'it'))",366751.64
"('mc', 't')",147319.85
"(('mc', 't'), ('mi', 'it'))",366751.64
"('it', 'mi')",275255.15
"('mc', 't')",147319.85
"(('it', 'mi'), ('mc', 't'))",443585.98
"('mc', 'mi')",436852.34
"(('mc', 'mi'), 't')",549154.74
"((('mc', 'mi'), 't'), 'it')",549507.01
"('mc', 'mi')",436852.34
"(('mc', 'mi'), 't')",549154.74
"('it', (('mc', 'mi'), 't'))",550762.84
"('it', 'mi')",275255.15
"('mc', ('it', 'mi'))",405838.25
"(('mc', ('it', 'mi')), 't')",409694.0
"('it', 'mi')",275255.15
"('mc', ('it', 'mi'))",405838.25
"(('mc', ('it', 'mi')), 't')",409694.0
"('mc', 't')",147319.85
"(('mc', 't'), ('mi', 'it'))",366751.64
"('mc', 'mi')",436852.34
"('t', ('mc', 'mi'))",551215.83
"('it', ('t', ('mc', 'mi')))",551531.84
"('mc', 'mi')",436852.34
"(('mc', 'mi'), 't')",549154.74
"('it', (('mc', 'mi'), 't'))",550762.84
"('mc', 'mi')",436852.34
"('t', ('mc', 'mi'))",551215.83
"('it', ('t', ('mc', 'mi')))",551531.84
"('mc', 't')",147319.85
"(('mc', 't'), ('mi', 'it'))",366751.64
"('mc', 'mi')",436852.34
"(('mc', 'mi'), 't')",549154.74
"('it', (('mc', 'mi'), 't'))",550762.84
"('mc', 'mi')",436852.34
"(('mc', 'mi'), 't')",549154.74
"('it', (('mc', 'mi'), 't'))",550762.84
"('it', 'mi')",275255.15
"('mc', ('it', 'mi'))",405838.25
"(('mc', ('it', 'mi')), 't')",409694.0
"('it', 'mi')",275255.15
"('mc', 't')",147319.85
"(('it', 'mi'), ('mc', 't'))",443585.98
"('mc', 't')",147319.85
"(('mc', 't'), ('mi', 'it'))",366751.64
"('t', 'mc')",157530.06
"(('mi', 'it'), ('t', 'mc'))",382534.16
"('t', 'mc')",157530.06
"(('mi', 'it'), ('t', 'mc'))",382534.16
"('mc', 'mi')",436852.34
"(('mc', 'mi'), 'it')",439100.07
"((('mc', 'mi'), 'it'), 't')",442955.82
"('it', 'mi')",275255.15
"('mc', 't')",147319.85
"(('it', 'mi'), ('mc', 't'))",443585.98
"('it', 'mi')",275255.15
"('mc', 't')",147319.85
"(('it', 'mi'), ('mc', 't'))",443585.98
"('mc', 'mi')",436852.34
"('t', ('mc', 'mi'))",551215.83
"('it', ('t', ('mc', 'mi')))",551531.84
"('mi', 'mc')",403823.71
"('t', ('mi', 'mc'))",677741.63
"('it', ('t', ('mi', 'mc')))",678057.65
"('mi', 'mc')",403823.71
"('t', ('mi', 'mc'))",677741.63
"('it', ('t', ('mi', 'mc')))",678057.65
"('t', ('mi', 'it'))",310253.71
"(('t', ('mi', 'it')), 'mc')",310327.38
"('mi', 'mc')",403823.71
"(('mi', 'mc'), 't')",403335.48
"((('mi', 'mc'), 't'), 'it')",390751.87
"('mi', 'mc')",403823.71
"('t', ('mi', 'mc'))",677741.63
"('it', ('t', ('mi', 'mc')))",678057.65
"('t', 'mc')",157530.06
"(('it', 'mi'), ('t', 'mc'))",453796.19
"('t', 'mc')",157530.06
"(('mi', 'it'), ('t', 'mc'))",382534.16
"('t', ('mi', 'it'))",310253.71
"(('t', ('mi', 'it')), 'mc')",310327.38
"('mi', 'mc')",403823.71
"('t', ('mi', 'mc'))",677741.63
"('it', ('t', ('mi', 'mc')))",678057.65
"('t', 'mc')",157530.06
"(('t', 'mc'), 'mi')",539300.4
"((('t', 'mc'), 'mi'), 'it')",539371.15
"('t', 'mc')",157530.06
"(('t', 'mc'), 'mi')",539300.4
"((('t', 'mc'), 'mi'), 'it')",539371.15
"('mc', 't')",147319.85
"(('mc', 't'), ('mi', 'it'))",366751.64
"('t', ('mi', 'it'))",310253.71
"('mc', ('t', ('mi', 'it')))",344028.05
"('t', ('mi', 'it'))",310253.71
"('mc', ('t', ('mi', 'it')))",344028.05
"('mi', 'mc')",403823.71
"('t', ('mi', 'mc'))",677741.63
"('it', ('t', ('mi', 'mc')))",678057.65
"('mi', 'mc')",403823.71
"('t', ('mi', 'mc'))",677741.63
"(('t', ('mi', 'mc')), 'it')",677812.38
"('t', ('mi', 'it'))",310253.71
"(('t', ('mi', 'it')), 'mc')",310327.38
"('mi', ('mc', 't'))",386886.58
"(('mi', ('mc', 't')), 'it')",374302.98
"(('t', 'mc'), 'mi')",539300.4
"((('t', 'mc'), 'mi'), 'it')",539371.15
"('t', 'mc')",157530.06
"(('t', 'mc'), 'mi')",539300.4
"((('t', 'mc'), 'mi'), 'it')",539371.15
"('t', 'mc')",157530.06
"(('mi', 'it'), ('t', 'mc'))",382534.16
"('mi', 't')",318083.05
"(('mi', 't'), 'mc')",326374.45
"((('mi', 't'), 'mc'), 'it')",323918.75
"('mi', 't')",318083.05
"(('mi', 't'), 'mc')",326374.45
"((('mi', 't'), 'mc'), 'it')",323918.75
"('t', 'mc')",157530.06
"(('t', 'mc'), 'mi')",539300.4
"((('t', 'mc'), 'mi'), 'it')",539371.15
"(('mi', 'mc'), 'it')",323047.78
"((('mi', 'mc'), 'it'), 't')",324038.44
"('t', 'mc')",157530.06
"(('mi', 'it'), ('t', 'mc'))",382534.16
"(('mi', 'mc'), 'it')",323047.78
"((('mi', 'mc'), 'it'), 't')",324038.44
"('mi', 't')",318083.05
"(('mi', 't'), 'it')",315703.47
"('mc', (('mi', 't'), 'it'))",349569.32
"('mi', 'mc')",403823.71
"('it', ('mi', 'mc'))",414131.56
"(('it', ('mi', 'mc')), 't')",417987.84
"('mi', 'mc')",403823.71
"(('mi', 'mc'), 't')",403335.48
"((('mi', 'mc'), 't'), 'it')",390751.87
"('mi', 't')",318083.05
"(('mi', 't'), 'it')",315703.47
"('mc', (('mi', 't'), 'it'))",349569.32
"(('mi', 'mc'), 't')",403335.48
"((('mi', 'mc'), 't'), 'it')",390751.87
"(('mc', 't'), 'mi')",541110.24
"((('mc', 't'), 'mi'), 'it')",538654.54
"('t', 'mc')",157530.06
"('t', 'mc')",157530.06
