order,costs
"('it2', 'mi_idx')",19579.36
"('ci', ('it2', 'mi_idx'))",522793.59
"(('ci', ('it2', 'mi_idx')), 'mk')",537090.49
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'mi_idx')",1611010.47
"((('ci', 'mk'), 'mi_idx'), 'it2')",983044.0
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'mi_idx')",1611010.47
"((('ci', 'mk'), 'mi_idx'), 'it2')",983044.0
"('it2', 'mi_idx')",19579.36
"('ci', ('it2', 'mi_idx'))",522793.59
"('it2', 'mi_idx')",19579.36
"('ci', ('it2', 'mi_idx'))",522793.59
"(('ci', ('it2', 'mi_idx')), 'mk')",537090.49
"(('ci', ('it2', 'mi_idx')), 'mk')",537090.49
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'mi_idx')",1611010.47
"((('ci', 'mk'), 'mi_idx'), 'it2')",983044.0
"('mi_idx', 'ci')",706889.95
"('it2', ('mi_idx', 'ci'))",726017.0
"(('it2', ('mi_idx', 'ci')), 'mk')",749964.94
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('mi_idx', ('ci', 'mk'))",1665953.03
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"('mi_idx', ('ci', 'mk'))",1665953.03
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"('mi_idx', ('ci', 'mk'))",1665953.03
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"(('it2', 'mi_idx'), ('ci', 'mk'))",1562992.05
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"(('it2', 'mi_idx'), ('ci', 'mk'))",1562992.05
"('mi_idx', 'ci')",706889.95
"(('mi_idx', 'ci'), 'mk')",1095784.5
"('it2', (('mi_idx', 'ci'), 'mk'))",1175901.1
"('mi_idx', ('ci', 'mk'))",1665953.03
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"('mi_idx', ('ci', 'mk'))",1665953.03
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"('mi_idx', 'mk')",370800.49
"(('mi_idx', 'mk'), 'it2')",265284.09
"('ci', (('mi_idx', 'mk'), 'it2'))",759828.81
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"('ci', (('mk', 'mi_idx'), 'it2'))",650318.82
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"('it2', (('ci', 'mi_idx'), 'mk'))",1307712.18
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'it2')",548307.77
"((('ci', 'mi_idx'), 'it2'), 'mk')",562604.67
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"(('ci', 'mk'), ('it2', 'mi_idx'))",911656.21
"('mi_idx', ('ci', 'mk'))",1665953.03
"('it2', ('mi_idx', ('ci', 'mk')))",1746069.63
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"('it2', (('ci', 'mi_idx'), 'mk'))",1307712.18
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"('it2', (('ci', 'mi_idx'), 'mk'))",1307712.18
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'ci')",28316.81
"('mk', (('mi_idx', 'it2'), 'ci'))",91591.06
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'mk')",1227595.58
"((('ci', 'mi_idx'), 'mk'), 'it2')",1003593.79
"('mi_idx', 'it2')",17507.9
"('ci', ('mi_idx', 'it2'))",518378.87
"('mk', ('ci', ('mi_idx', 'it2')))",573264.03
"(('ci', 'mi_idx'), 'it2')",548307.77
"((('ci', 'mi_idx'), 'it2'), 'mk')",562604.67
"('it2', ('ci', 'mi_idx'))",717339.33
"(('it2', ('ci', 'mi_idx')), 'mk')",741287.27
"('ci', 'mi_idx')",698212.28
"(('ci', 'mi_idx'), 'it2')",548307.77
"((('ci', 'mi_idx'), 'it2'), 'mk')",562604.67
"('mi_idx', 'ci')",706889.95
"(('mi_idx', 'ci'), 'mk')",1095784.5
"((('mi_idx', 'ci'), 'mk'), 'it2')",1034156.92
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"('ci', (('mi_idx', 'it2'), 'mk'))",532448.77
"('mk', ('mi_idx', 'ci'))",1103270.79
"(('mk', ('mi_idx', 'ci')), 'it2')",732621.85
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"((('mi_idx', 'it2'), 'mk'), 'ci')",119417.48
"('mi_idx', 'it2')",17507.9
"(('ci', 'mk'), ('mi_idx', 'it2'))",907136.54
"('mk', ('it2', 'mi_idx'))",84341.74
"('ci', ('mk', ('it2', 'mi_idx')))",578886.47
"('mk', 'ci')",1023150.06
"(('mk', 'ci'), ('mi_idx', 'it2'))",651887.81
"('mk', 'ci')",1023150.06
"(('it2', 'mi_idx'), ('mk', 'ci'))",1062285.56
"(('mi_idx', ('ci', 'mk')), 'it2')",1037986.67
"('mi_idx', 'it2')",17507.9
"(('ci', 'mk'), ('mi_idx', 'it2'))",907136.54
"(('it2', 'mi_idx'), 'mk')",41020.66
"((('it2', 'mi_idx'), 'mk'), 'ci')",212501.08
"('mi_idx', 'it2')",17507.9
