order,costs
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"('t', (('mi_idx', 'it2'), 'mk'))",78872.12
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"('t', (('mi_idx', 'it2'), 'mk'))",78872.12
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"('t', (('mi_idx', 'it2'), 'mk'))",78872.12
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"('mi_idx', 'it2')",17507.9
"('t', (('mi_idx', 'it2'), 'mk'))",78872.12
"(('mi_idx', 'it2'), 'mk')",37904.11
"('t', (('mi_idx', 'it2'), 'mk'))",78872.12
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mk')",37904.11
"('t', (('mi_idx', 'it2'), 'mk'))",78872.12
"((('mi_idx', 'it2'), 'mk'), 't')",64224.57
"((('mi_idx', 'it2'), 'mk'), 't')",64224.57
"((('mi_idx', 'it2'), 'mk'), 't')",64224.57
"((('mi_idx', 'it2'), 'mk'), 't')",64224.57
"('it2', 'mi_idx')",19579.36
"(('it2', 'mi_idx'), 'mk')",41020.66
"((('it2', 'mi_idx'), 'mk'), 't')",101220.73
"((('mi_idx', 'it2'), 'mk'), 't')",64224.57
"('it2', 'mi_idx')",19579.36
"(('it2', 'mi_idx'), 'mk')",41020.66
"('t', (('it2', 'mi_idx'), 'mk'))",130990.95
"('it2', 'mi_idx')",19579.36
"(('it2', 'mi_idx'), 'mk')",41020.66
"('t', (('it2', 'mi_idx'), 'mk'))",130990.95
"('it2', 'mi_idx')",19579.36
"(('it2', 'mi_idx'), 'mk')",41020.66
"('t', (('it2', 'mi_idx'), 'mk'))",130990.95
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mk')",277169.11
"(('mi_idx', 'it2'), ('t', 'mk'))",318364.14
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mk')",277169.11
"(('mi_idx', 'it2'), ('t', 'mk'))",318364.14
"('t', 'mi_idx')",164975.98
"('it2', ('t', 'mi_idx'))",182228.83
"('mk', ('it2', ('t', 'mi_idx')))",236056.1
"('t', 'mi_idx')",164975.98
"('it2', ('t', 'mi_idx'))",182228.83
"('mk', ('it2', ('t', 'mi_idx')))",236056.1
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mk')",277169.11
"(('mi_idx', 'it2'), ('t', 'mk'))",318364.14
"('t', 'mk')",277169.11
"(('mi_idx', 'it2'), ('t', 'mk'))",318364.14
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"('it2', ('mk', ('t', 'mi_idx')))",356662.44
"('mk', 't')",277169.11
"(('mi_idx', 'it2'), ('mk', 't'))",272656.01
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mi_idx')",164975.98
"('it2', ('t', 'mi_idx'))",182228.83
"('mk', ('it2', ('t', 'mi_idx')))",236056.1
"('t', 'mi_idx')",164975.98
"('it2', ('t', 'mi_idx'))",182228.83
"(('it2', ('t', 'mi_idx')), 'mk')",203195.26
"('t', 'mk')",277169.11
"(('mi_idx', 'it2'), ('t', 'mk'))",318364.14
"('mk', 't')",277169.11
"(('mk', 't'), ('mi_idx', 'it2'))",182994.68
"('mk', 't')",277169.11
"('it2', 'mi_idx')",19579.36
"(('mk', 't'), ('it2', 'mi_idx'))",187429.61
"('mk', 't')",277169.11
"(('mi_idx', 'it2'), ('mk', 't'))",272656.01
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('mi_idx', 't')",164975.98
"(('mi_idx', 't'), 'mk')",316900.84
"((('mi_idx', 't'), 'mk'), 'it2')",288381.99
"('it2', 'mi_idx')",19579.36
"(('t', 'mk'), ('it2', 'mi_idx'))",260563.27
"('t', 'mi_idx')",164975.98
"('it2', ('t', 'mi_idx'))",182228.83
"('mk', ('it2', ('t', 'mi_idx')))",236056.1
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"('t', 'mi_idx')",164975.98
"('mk', ('t', 'mi_idx'))",325793.68
"(('mk', ('t', 'mi_idx')), 'it2')",225839.61
"(('mi_idx', 'it2'), 't')",20419.99
"('mk', 'mi_idx')",351463.47
"('t', ('mk', 'mi_idx'))",701605.29
"(('t', ('mk', 'mi_idx')), 'it2')",458204.76
"('t', 'mk')",277169.11
"(('t', 'mk'), ('mi_idx', 'it2'))",258005.19
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 't')",665776.08
"((('mk', 'mi_idx'), 't'), 'it2')",390412.32
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"('t', (('mk', 'mi_idx'), 'it2'))",196742.27
"('mk', 't')",277169.11
"(('mk', 't'), 'mi_idx')",364962.88
"((('mk', 't'), 'mi_idx'), 'it2')",269423.89
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"('it2', ('mi_idx', ('mk', 't')))",546512.37
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 't')",665776.08
"((('mk', 'mi_idx'), 't'), 'it2')",390412.32
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"('it2', ('mi_idx', ('mk', 't')))",546512.37
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"((('mk', 'mi_idx'), 'it2'), 't')",182093.55
"('mk', 't')",277169.11
"(('mk', 't'), ('it2', 'mi_idx'))",187429.61
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"('t', (('mk', 'mi_idx'), 'it2'))",196742.27
"('mk', 't')",277169.11
"(('mk', 't'), 'mi_idx')",364962.88
"((('mk', 't'), 'mi_idx'), 'it2')",269423.89
"('mk', 't')",277169.11
"(('mk', 't'), ('mi_idx', 'it2'))",182994.68
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('t', 'mi_idx')",164975.98
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"((('mk', 'mi_idx'), 'it2'), 't')",182093.55
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"('t', (('mk', 'mi_idx'), 'it2'))",196742.27
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"(('mk', 't'), 'mi_idx')",364962.88
"((('mk', 't'), 'mi_idx'), 'it2')",269423.89
"('mi_idx', 't')",164975.98
"(('mi_idx', 't'), 'mk')",316900.84
"((('mi_idx', 't'), 'mk'), 'it2')",288381.99
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mi_idx')",364962.88
"((('t', 'mk'), 'mi_idx'), 'it2')",296304.51
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('mk', 't')",277169.11
"(('mk', 't'), 'mi_idx')",364962.88
"((('mk', 't'), 'mi_idx'), 'it2')",269423.89
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"(('t', 'mi_idx'), 'it2')",119772.61
"((('t', 'mi_idx'), 'it2'), 'mk')",129473.05
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('t', 'mi_idx')",164975.98
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"(('mk', 't'), 'mi_idx')",364962.88
"((('mk', 't'), 'mi_idx'), 'it2')",269423.89
"(('mk', 'mi_idx'), 'it2')",155774.1
"('t', (('mk', 'mi_idx'), 'it2'))",196742.27
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"('mk', 't')",277169.11
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"('mi_idx', ('t', 'mk'))",367363.94
"(('mi_idx', ('t', 'mk')), 'it2')",348886.61
"('mi_idx', ('mk', 't'))",367363.94
"(('mi_idx', ('mk', 't')), 'it2')",305563.55
"(('t', 'mi_idx'), 'it2')",119772.61
"((('t', 'mi_idx'), 'it2'), 'mk')",129473.05
"('mk', 't')",277169.11
"(('mk', 't'), 'mi_idx')",364962.88
"((('mk', 't'), 'mi_idx'), 'it2')",269423.89
"('t', 'mi_idx')",164975.98
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"('t', 'mk')",277169.11
"(('t', 'mk'), ('mi_idx', 'it2'))",258005.19
"(('t', 'mi_idx'), 'it2')",119772.61
"((('t', 'mi_idx'), 'it2'), 'mk')",129473.05
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 't')",665776.08
"((('mk', 'mi_idx'), 't'), 'it2')",390412.32
"(('mi_idx', 'it2'), 't')",20419.99
"('mi_idx', 't')",164975.98
"('it2', ('mi_idx', 't'))",182228.83
"('mk', ('it2', ('mi_idx', 't')))",246553.8
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"('mi_idx', 't')",164975.98
"('it2', ('mi_idx', 't'))",182228.83
"(('it2', ('mi_idx', 't')), 'mk')",203195.26
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"('mi_idx', 'mk')",370800.49
"(('mi_idx', 'mk'), 'it2')",265284.09
"('t', (('mi_idx', 'mk'), 'it2'))",306252.26
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mi_idx')",364962.88
"((('t', 'mk'), 'mi_idx'), 'it2')",296304.51
"(('t', 'mi_idx'), 'it2')",119772.61
"((('t', 'mi_idx'), 'it2'), 'mk')",129473.05
"(('t', 'mi_idx'), 'it2')",119772.61
"((('t', 'mi_idx'), 'it2'), 'mk')",129473.05
"(('t', 'mi_idx'), 'mk')",316900.84
"((('t', 'mi_idx'), 'mk'), 'it2')",280037.95
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"('mk', 'mi_idx')",351463.47
"(('mk', 'mi_idx'), 'it2')",155774.1
"((('mk', 'mi_idx'), 'it2'), 't')",182093.55
"('mi_idx', 't')",164975.98
"(('mi_idx', 't'), 'it2')",120916.24
"((('mi_idx', 't'), 'it2'), 'mk')",130616.67
"('mi_idx', 'mk')",370800.49
"(('mi_idx', 'mk'), 'it2')",265284.09
"('t', (('mi_idx', 'mk'), 'it2'))",306252.26
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"((('mi_idx', 'it2'), 'mk'), 't')",64224.57
"('mk', 'mi_idx')",351463.47
"('it2', ('mk', 'mi_idx'))",530611.91
"(('it2', ('mk', 'mi_idx')), 't')",590811.98
"('mi_idx', 'mk')",370800.49
"(('mi_idx', 'mk'), 'it2')",265284.09
"('t', (('mi_idx', 'mk'), 'it2'))",306252.26
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"('mi_idx', 'mk')",370800.49
"('it2', ('mi_idx', 'mk'))",549948.92
"(('it2', ('mi_idx', 'mk')), 't')",610149.0
"(('mi_idx', 't'), 'it2')",120916.24
"('mk', (('mi_idx', 't'), 'it2'))",182877.74
"('mk', ('mi_idx', 't'))",325793.68
