order,costs
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'mi_idx')",815208.71
"((('ci', 'cc'), 'mi_idx'), 'cct2')",799231.25
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'mi_idx')",815208.71
"((('ci', 'cc'), 'mi_idx'), 'cct2')",799231.25
"('ci', 'mi_idx')",656096.07
"(('ci', 'mi_idx'), 'cc')",533571.78
"((('ci', 'mi_idx'), 'cc'), 'cct2')",517594.32
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'mi_idx')",815208.71
"((('ci', 'cc'), 'mi_idx'), 'cct2')",799231.25
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('mi_idx', (('ci', 'cc'), 'cct2'))",818787.66
"('mi_idx', 'ci')",694770.2
"('cc', ('mi_idx', 'ci'))",757292.05
"(('cc', ('mi_idx', 'ci')), 'cct2')",760236.81
"('mi_idx', 'cc')",23476.12
"(('mi_idx', 'cc'), 'ci')",143629.71
"((('mi_idx', 'cc'), 'ci'), 'cct2')",104019.72
"('mi_idx', ('ci', 'cc'))",872586.26
"(('mi_idx', ('ci', 'cc')), 'cct2')",856608.8
"('mi_idx', 'cc')",23476.12
"(('mi_idx', 'cc'), 'cct2')",22296.93
"((('mi_idx', 'cc'), 'cct2'), 'ci')",52335.3
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('mi_idx', 'cc')",23476.12
"('ci', ('mi_idx', 'cc'))",505873.81
"(('ci', ('mi_idx', 'cc')), 'cct2')",489896.35
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('mi_idx', 'cc')",23476.12
"('cct2', ('mi_idx', 'cc'))",23679.97
"('ci', ('cct2', ('mi_idx', 'cc')))",776827.65
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('cc', 'cct2')",2818.24
"(('ci', 'mi_idx'), ('cc', 'cct2'))",492206.51
"('ci', ('mi_idx', 'cc'))",505873.81
"(('ci', ('mi_idx', 'cc')), 'cct2')",489896.35
"('mi_idx', 'cc')",23476.12
"('ci', ('mi_idx', 'cc'))",505873.81
"(('ci', ('mi_idx', 'cc')), 'cct2')",489896.35
"('cc', ('ci', 'mi_idx'))",735767.99
"('cct2', ('cc', ('ci', 'mi_idx')))",738514.59
"('mi_idx', 'cc')",23476.12
"('ci', ('mi_idx', 'cc'))",505873.81
"(('ci', ('mi_idx', 'cc')), 'cct2')",489896.35
"('cc', 'cct2')",2818.24
