order,costs
"('k', 'mk')",7406.22
"('cc', 'ci')",1347469.37
"(('cc', 'ci'), ('k', 'mk'))",1383218.45
"('k', 'mk')",7406.22
"('cc', 'ci')",1347469.37
"(('cc', 'ci'), ('k', 'mk'))",1383218.45
"('k', 'mk')",7406.22
"('cc', 'ci')",1347469.37
"(('cc', 'ci'), ('k', 'mk'))",1383218.45
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'cc')",7621802.33
"((('ci', 'mk'), 'cc'), 'k')",4254358.23
"('cc', ('k', 'mk'))",10340.86
"(('cc', ('k', 'mk')), 'ci')",10636.14
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761701.4
"('cc', (('ci', 'mk'), 'k'))",2766438.36
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2761701.4
"('cc', (('ci', 'mk'), 'k'))",2766438.36
"('cc', ('k', 'mk'))",10340.86
"(('cc', ('k', 'mk')), 'ci')",10636.14
"('cc', ('k', 'mk'))",10340.86
"(('cc', ('k', 'mk')), 'ci')",10636.14
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), ('k', 'mk'))",789624.25
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('mk', 'cc')",202242.54
"('ci', ('mk', 'cc'))",5067021.93
"(('ci', ('mk', 'cc')), 'k')",3249505.11
"('cc', ('k', 'mk'))",10340.86
"('ci', ('cc', ('k', 'mk')))",529082.71
"('cc', ('k', 'mk'))",10340.86
"('ci', ('cc', ('k', 'mk')))",529082.71
"('cc', ('k', 'mk'))",10340.86
"('ci', ('cc', ('k', 'mk')))",529082.71
"('cc', ('k', 'mk'))",10340.86
"('ci', ('cc', ('k', 'mk')))",529082.71
"('cc', ('k', 'mk'))",10340.86
"('ci', ('cc', ('k', 'mk')))",529082.71
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'cc')",7621802.33
"((('ci', 'mk'), 'cc'), 'k')",4254358.23
"(('ci', 'mk'), 'cc')",7621802.33
"((('ci', 'mk'), 'cc'), 'k')",4254358.23
"(('ci', 'mk'), 'cc')",7621802.33
"((('ci', 'mk'), 'cc'), 'k')",4254358.23
"('cc', ('k', 'mk'))",10340.86
"(('cc', ('k', 'mk')), 'ci')",10636.14
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'mk')",2276849.18
"((('ci', 'cc'), 'mk'), 'k')",1824957.73
"('mk', 'k')",52312.01
"(('mk', 'k'), ('cc', 'ci'))",1515376.98
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"(('cc', ('k', 'mk')), 'ci')",10636.14
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"(('cc', ('ci', 'mk')), 'k')",7295448.65
"('mk', 'k')",52312.01
"(('mk', 'k'), ('cc', 'ci'))",1515376.98
"('mk', 'cc')",202242.54
"('ci', ('mk', 'cc'))",5067021.93
"('k', ('ci', ('mk', 'cc')))",27325319.11
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112189.84
"((('mk', 'cc'), 'k'), 'ci')",112485.12
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"('k', (('mk', 'ci'), 'cc'))",29800799.86
"('k', ('mk', 'cc'))",364434.17
"('ci', ('k', ('mk', 'cc')))",883726.02
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"('k', (('mk', 'ci'), 'cc'))",29800799.86
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'k')",1394557.27
"((('mk', 'ci'), 'k'), 'cc')",1395608.93
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"('ci', 'cc')",1223719.03
"('mk', 'k')",52312.01
"(('ci', 'cc'), ('mk', 'k'))",828791.6
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'k')",1394557.27
"((('mk', 'ci'), 'k'), 'cc')",1395608.93
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"(('mk', 'k'), 'ci')",52532.25
"((('mk', 'k'), 'ci'), 'cc')",53895.68
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('mk', 'k')",52312.01
"('cc', ('mk', 'k'))",55246.66
"(('cc', ('mk', 'k')), 'ci')",55541.94
"('mk', 'k')",52312.01
"('ci', 'cc')",1223719.03
"(('mk', 'k'), ('ci', 'cc'))",886458.82
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"('mk', 'ci')",3553063.88
"('k', (('mk', 'ci'), 'cc'))",29800799.86
"(('mk', 'ci'), 'cc')",7542502.69
"('k', (('mk', 'ci'), 'cc'))",29800799.86
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('cc', ('mk', 'k'))",55246.66
"(('cc', ('mk', 'k')), 'ci')",55541.94
"('ci', 'mk')",4183950.12
"('cc', ('ci', 'mk'))",7242572.87
"('k', ('cc', ('ci', 'mk')))",9322827.86
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'k')",1394557.27
"((('mk', 'ci'), 'k'), 'cc')",1395608.93
"('mk', 'k')",52312.01
"(('mk', 'k'), 'cc')",52343.27
"((('mk', 'k'), 'cc'), 'ci')",52638.54
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",4313868.15
"('k', (('mk', 'cc'), 'ci'))",12328774.15
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('k', ('mk', 'ci'))",8327672.42
"(('k', ('mk', 'ci')), 'cc')",8329829.0
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",4313868.15
"((('mk', 'cc'), 'ci'), 'k')",1628813.0
"(('mk', 'ci'), 'cc')",7542502.69
"((('mk', 'ci'), 'cc'), 'k')",3856023.34
"('k', ('mk', 'ci'))",8327672.42
"(('k', ('mk', 'ci')), 'cc')",8329829.0
"('mk', 'ci')",3553063.88
"('cc', ('mk', 'ci'))",7163273.23
"('k', ('cc', ('mk', 'ci')))",29421570.78
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('mk', ('cc', 'ci'))",1760470.28
"(('mk', ('cc', 'ci')), 'k')",1788495.67
"('ci', ('mk', 'k'))",513785.53
"('cc', ('ci', ('mk', 'k')))",518522.49
"('mk', 'k')",52312.01
"(('mk', 'k'), 'ci')",52532.25
"((('mk', 'k'), 'ci'), 'cc')",53895.68
"('ci', 'cc')",1223719.03
"('mk', ('ci', 'cc'))",1721196.2
"('k', ('mk', ('ci', 'cc')))",17061645.83
"(('k', 'mk'), 'ci')",7626.45
"((('k', 'mk'), 'ci'), 'cc')",9783.03
"('k', ('cc', ('ci', 'mk')))",9322827.86
"('ci', 'cc')",1223719.03
"(('k', 'mk'), ('ci', 'cc'))",1385211.11
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"('ci', ('k', ('mk', 'cc')))",883726.02
"('mk', 'ci')",3553063.88
"('k', ('mk', 'ci'))",8327672.42
"(('k', ('mk', 'ci')), 'cc')",8329829.0
"('k', ('mk', 'cc'))",364434.17
"('ci', ('k', ('mk', 'cc')))",883726.02
"('mk', 'cc')",202242.54
"('ci', ('mk', 'cc'))",5067021.93
"('k', ('ci', ('mk', 'cc')))",27325319.11
"('k', ('mk', 'cc'))",364434.17
"('ci', ('k', ('mk', 'cc')))",883726.02
"(('cc', 'ci'), 'mk')",1760493.26
"('k', (('cc', 'ci'), 'mk'))",3840748.25
"(('k', 'mk'), 'ci')",7626.45
"((('k', 'mk'), 'ci'), 'cc')",9783.03
"('cc', (('k', 'mk'), 'ci'))",12363.53
"(('mk', 'cc'), 'ci')",4313868.15
"((('mk', 'cc'), 'ci'), 'k')",1628813.0
"('ci', ('k', 'mk'))",507659.8
"(('ci', ('k', 'mk')), 'cc')",508711.46
"('ci', ('k', 'mk'))",507659.8
"(('ci', ('k', 'mk')), 'cc')",508711.46
"(('k', 'mk'), 'cc')",7470.47
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",4313868.15
"((('mk', 'cc'), 'ci'), 'k')",1628813.0
"('ci', ('k', 'mk'))",507659.8
"(('ci', ('k', 'mk')), 'cc')",508711.46
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",4313868.15
"((('mk', 'cc'), 'ci'), 'k')",1628813.0
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",4313868.15
"((('mk', 'cc'), 'ci'), 'k')",1628813.0
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('k', ('cc', ('ci', 'mk')))",9322827.86
"('k', (('mk', 'cc'), 'ci'))",12328774.15
"(('mk', 'ci'), 'k')",1394557.27
"((('mk', 'ci'), 'k'), 'cc')",1395608.93
"(('mk', 'cc'), 'k')",112189.84
"((('mk', 'cc'), 'k'), 'ci')",112485.12
"('ci', ('k', 'mk'))",507659.8
"(('ci', ('k', 'mk')), 'cc')",508711.46
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",364434.17
"(('k', ('mk', 'cc')), 'ci')",364729.45
"('ci', ('mk', 'cc'))",5067021.93
"(('ci', ('mk', 'cc')), 'k')",3249505.11
