order,costs
"('ci', 'chn')",893409.2
"(('ci', 'chn'), 'cc')",816373.03
"('ci', 'chn')",893409.2
"(('ci', 'chn'), 'cc')",816373.03
"('ci', 'chn')",893409.2
"(('ci', 'chn'), 'cc')",816373.03
"('ci', 'chn')",893409.2
"(('ci', 'chn'), 'cc')",816373.03
"('ci', 'chn')",893409.2
"(('ci', 'chn'), 'cc')",816373.03
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'chn')",843204.08
"('n', (('ci', 'cc'), 'chn'))",1025211.13
"('chn', 'ci')",952487.59
"(('chn', 'ci'), 'n')",1148785.97
"('cc', (('chn', 'ci'), 'n'))",1243802.28
"('chn', 'ci')",952487.59
"(('chn', 'ci'), 'n')",1148785.97
"('cc', (('chn', 'ci'), 'n'))",1243802.28
"((('chn', 'ci'), 'n'), 'cc')",1080729.79
"((('ci', 'cc'), 'chn'), 'n')",872276.22
"((('chn', 'ci'), 'n'), 'cc')",1080729.79
"((('chn', 'ci'), 'n'), 'cc')",1080729.79
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"((('chn', 'ci'), 'n'), 'cc')",1080729.79
"((('chn', 'ci'), 'n'), 'cc')",1080729.79
"(('ci', 'cc'), 'n')",1408148.71
"('chn', (('ci', 'cc'), 'n'))",2681588.21
"(('ci', 'cc'), 'n')",1408148.71
"('chn', (('ci', 'cc'), 'n'))",2681588.21
"(('chn', 'ci'), 'cc')",964119.86
"('n', (('chn', 'ci'), 'cc'))",1146126.92
"((('ci', 'cc'), 'chn'), 'n')",872276.22
"(('chn', 'ci'), 'cc')",964119.86
"('n', (('chn', 'ci'), 'cc'))",1146126.92
"(('chn', 'ci'), 'cc')",964119.86
"('n', (('chn', 'ci'), 'cc'))",1146126.92
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('ci', 'n')",1603351.28
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"('ci', 'n')",1603351.28
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"('ci', 'n')",1603351.28
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"('chn', (('n', 'ci'), 'cc'))",4083842.94
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"('chn', (('n', 'ci'), 'cc'))",4083842.94
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'chn')",2237068.24
"('cc', (('n', 'ci'), 'chn'))",2332084.55
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"('chn', (('n', 'ci'), 'cc'))",4083842.94
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('ci', 'n')",1603351.28
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"('chn', (('n', 'ci'), 'cc'))",4083842.94
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('ci', 'n')",1603351.28
"('chn', ('ci', 'n'))",3949867.94
"('cc', ('chn', ('ci', 'n')))",4044884.26
"('ci', 'n')",1603351.28
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"('cc', ('chn', 'ci'))",1025949.91
"('n', ('cc', ('chn', 'ci')))",1210264.86
"(('chn', ('ci', 'n')), 'cc')",3970480.21
"(('ci', 'n'), 'chn')",1359835.09
"((('ci', 'n'), 'chn'), 'cc')",1291778.92
"(('ci', 'n'), 'chn')",1359835.09
"((('ci', 'n'), 'chn'), 'cc')",1291778.92
"(('ci', 'chn'), 'n')",1001039.14
"((('ci', 'chn'), 'n'), 'cc')",932982.96
"('n', ('ci', 'chn'))",1393291.22
"(('n', ('ci', 'chn')), 'cc')",1420037.61
"(('ci', 'chn'), 'n')",1001039.14
"('cc', (('ci', 'chn'), 'n'))",1096055.45
"('n', ('ci', 'chn'))",1393291.22
"(('n', ('ci', 'chn')), 'cc')",1420037.61
"(('ci', 'cc'), 'n')",1408148.71
"('chn', (('ci', 'cc'), 'n'))",2681588.21
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('n', ('ci', 'chn'))",1393291.22
"(('n', ('ci', 'chn')), 'cc')",1420037.61
"(('ci', 'n'), 'chn')",1359835.09
"((('ci', 'n'), 'chn'), 'cc')",1291778.92
"('n', ('ci', 'chn'))",1393291.22
"(('n', ('ci', 'chn')), 'cc')",1420037.61
"('ci', 'n')",1603351.28
"('n', 'ci')",1966662.7
"(('ci', 'n'), 'chn')",1359835.09
"(('n', 'ci'), 'cc')",2810403.44
"((('ci', 'n'), 'chn'), 'cc')",1291778.92
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('ci', 'n')",1603351.28
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('ci', 'chn'), 'n')",1001039.14
"((('ci', 'chn'), 'n'), 'cc')",932982.96
"(('ci', 'n'), 'cc')",1933170.29
"((('ci', 'n'), 'cc'), 'chn')",1552655.34
"(('ci', 'n'), 'cc')",1933170.29
"('chn', (('ci', 'n'), 'cc'))",3206609.8
"(('ci', 'chn'), 'n')",1001039.14
"((('ci', 'chn'), 'n'), 'cc')",932982.96
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('n', ('chn', 'ci'))",1452369.6
"('cc', ('n', ('chn', 'ci')))",1547385.92
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('n', 'ci'), 'chn')",2237068.24
"('cc', (('n', 'ci'), 'chn'))",2332084.55
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('cc', 'ci')",1347469.37
"(('cc', 'ci'), 'n')",1712056.63
"('chn', (('cc', 'ci'), 'n'))",2936025.41
"(('chn', 'ci'), 'cc')",964119.86
"('n', (('chn', 'ci'), 'cc'))",1146126.92
"(('chn', 'ci'), 'cc')",964119.86
"('n', (('chn', 'ci'), 'cc'))",1146126.92
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'cc')",2810403.44
"((('n', 'ci'), 'cc'), 'chn')",2429888.49
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('n', 'ci')",1966662.7
"(('n', 'ci'), 'chn')",2237068.24
"((('n', 'ci'), 'chn'), 'cc')",2169012.06
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('cc', 'ci')",1347469.37
"('n', ('cc', 'ci'))",2438987.51
"(('n', ('cc', 'ci')), 'chn')",2456773.37
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"((('chn', 'ci'), 'n'), 'cc')",1080729.79
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('cc', 'ci')",1347469.37
"(('cc', 'ci'), 'n')",1712056.63
"('chn', (('cc', 'ci'), 'n'))",2936025.41
"('cc', 'ci')",1347469.37
"('n', ('cc', 'ci'))",2438987.51
"(('n', ('cc', 'ci')), 'chn')",2456773.37
"('cc', 'ci')",1347469.37
"('n', ('cc', 'ci'))",2438987.51
"(('n', ('cc', 'ci')), 'chn')",2456773.37
"('n', ('ci', 'cc'))",2315237.17
"(('n', ('ci', 'cc')), 'chn')",2438868.79
"('n', ('ci', 'chn'))",1393291.22
"(('n', ('ci', 'chn')), 'cc')",1420037.61
"(('ci', 'cc'), 'n')",1408148.71
"((('ci', 'cc'), 'n'), 'chn')",1027633.76
"('n', ('ci', 'cc'))",2315237.17
"(('n', ('ci', 'cc')), 'chn')",2438868.79
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"(('chn', ('cc', 'ci')), 'n')",2321581.3
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"('n', ('chn', ('cc', 'ci')))",2474516.2
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"(('chn', ('cc', 'ci')), 'n')",2321581.3
"('cc', 'ci')",1347469.37
"(('cc', 'ci'), 'n')",1712056.63
"((('cc', 'ci'), 'n'), 'chn')",1835688.24
"(('chn', 'ci'), 'cc')",964119.86
"('n', (('chn', 'ci'), 'cc'))",1146126.92
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"((('chn', 'ci'), 'cc'), 'n')",993192.01
"(('ci', 'chn'), 'n')",1001039.14
"((('ci', 'chn'), 'n'), 'cc')",932982.96
"('n', ('chn', 'ci'))",1452369.6
"(('n', ('chn', 'ci')), 'cc')",1471156.86
"(('ci', 'chn'), 'n')",1001039.14
"((('ci', 'chn'), 'n'), 'cc')",932982.96
"(('chn', 'ci'), 'cc')",964119.86
"((('chn', 'ci'), 'cc'), 'n')",993192.01
"((('ci', 'cc'), 'chn'), 'n')",872276.22
"('n', ('ci', 'cc'))",2315237.17
