order,costs
"('mc', 'cc')",79831.07
"('cct2', ('mc', 'cc'))",84197.1
"(('cct2', ('mc', 'cc')), 'cct1')",84670.14
"('mc', 'cc')",79831.07
"('cct2', ('mc', 'cc'))",84197.1
"(('cct2', ('mc', 'cc')), 'cct1')",84670.14
"('cct1', ('cct2', ('mc', 'cc')))",87914.27
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"('mc', (('cct2', 'cc'), 'cct1'))",41407.96
"('cct1', ('cct2', ('mc', 'cc')))",87914.27
"('cct1', ('cct2', ('mc', 'cc')))",87914.27
"('cct2', 'cc')",3776.49
"('cct1', ('cct2', 'cc'))",4422.07
"(('cct1', ('cct2', 'cc')), 'mc')",25649.33
"('cct1', ('mc', 'cc'))",98003.05
"('cct2', ('cct1', ('mc', 'cc')))",100186.59
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"('mc', (('cct2', 'cc'), 'cct1'))",41407.96
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"('mc', (('cct2', 'cc'), 'cct1'))",41407.96
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"('mc', (('cct2', 'cc'), 'cct1'))",41407.96
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"('mc', (('cct2', 'cc'), 'cct1'))",41407.96
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"((('cct2', 'cc'), 'cct1'), 'mc')",25187.4
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"((('cct2', 'cc'), 'cct1'), 'mc')",25187.4
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"((('cct2', 'cc'), 'cct1'), 'mc')",25187.4
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"((('cct2', 'cc'), 'cct1'), 'mc')",25187.4
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"((('cct2', 'cc'), 'cct1'), 'mc')",25187.4
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"((('cct2', 'cc'), 'cct1'), 'mc')",25187.4
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'mc')",46231.01
"('cct1', (('cct2', 'cc'), 'mc'))",49948.18
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'mc')",46231.01
"('cct2', 'cc')",3776.49
"((('cct2', 'cc'), 'mc'), 'cct1')",46704.05
"(('cct2', 'cc'), 'mc')",46231.01
"((('cct2', 'cc'), 'mc'), 'cct1')",46704.05
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'mc')",46231.01
"('cct1', (('cct2', 'cc'), 'mc'))",49948.18
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'mc')",46231.01
"((('cct2', 'cc'), 'mc'), 'cct1')",46704.05
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), 'cct1')",3960.14
"('mc', (('cct2', 'cc'), 'cct1'))",41407.96
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct2')",57734.79
"((('mc', 'cc'), 'cct2'), 'cct1')",53567.52
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct2')",57734.79
"((('mc', 'cc'), 'cct2'), 'cct1')",53567.52
"(('mc', 'cc'), 'cct2')",57734.79
"((('mc', 'cc'), 'cct2'), 'cct1')",53567.52
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cct2')",53764.17
"(('mc', 'cc'), 'cct2')",57734.79
"((('mc', 'cc'), 'cct2'), 'cct1')",53567.52
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), 'mc')",90895.8
"('cct2', (('cct1', 'cc'), 'mc'))",93079.34
"('cct2', 'cc')",3776.49
"('cct1', ('cct2', 'cc'))",4422.07
"(('cct1', ('cct2', 'cc')), 'mc')",25649.33
"('cct2', 'cc')",3776.49
