order,costs
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 't')",107111.76
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'cct2')",2818.26
"('t', ('cc', 'cct2'))",62236.34
"('mc', ('t', ('cc', 'cct2')))",92659.08
"('cc', 'mc')",58438.02
"('t', ('cc', 'mc'))",131959.53
"('cct2', ('t', ('cc', 'mc')))",132147.35
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"('cc', 'mc')",58438.02
"('t', ('cct2', ('cc', 'mc')))",132648.96
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 't')",107111.76
"('cc', 'cct2')",2818.26
"('mc', 't')",117721.8
"(('cc', 'cct2'), ('mc', 't'))",126131.35
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 't')",107111.76
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 't')",107111.76
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('t', 'cc')",82650.9
"('mc', ('t', 'cc'))",111433.65
"(('mc', ('t', 'cc')), 'cct2')",111345.3
"('t', 'cc')",82650.9
"('cct2', ('t', 'cc'))",86785.77
"('mc', ('cct2', ('t', 'cc')))",141841.68
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 't')",117721.8
"(('mc', 't'), ('cc', 'cct2'))",114869.66
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('t', ('cct2', ('mc', 'cc')))",120459.73
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 'cc')",46248.79
"(('mc', 'cc'), 'cct2')",45407.31
"((('mc', 'cc'), 'cct2'), 't')",64064.29
"('t', 'cc')",82650.9
"('mc', ('t', 'cc'))",111433.65
"(('mc', ('t', 'cc')), 'cct2')",111345.3
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 't')",117721.8
"('cc', ('mc', 't'))",125470.42
"('cct2', ('cc', ('mc', 't')))",126427.74
"('mc', 't')",117721.8
