order,costs
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"('mi_idx', ('mk', 'cc'))",337219.08
"('it2', ('mi_idx', ('mk', 'cc')))",389689.95
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mi_idx', 'mk')",199212.28
"(('mi_idx', 'mk'), 'it2')",177767.64
"('cc', (('mi_idx', 'mk'), 'it2'))",184287.27
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi_idx')",342298.97
"('it2', (('mk', 'cc'), 'mi_idx'))",394769.84
"('mk', 'cc')",202242.54
