order,costs
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"('cct1', ('cct2', ('mi_idx', 'cc')))",65436.2
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"('cct1', ('cct2', ('mi_idx', 'cc')))",65436.2
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"('cct1', ('cct2', ('mi_idx', 'cc')))",65436.2
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
"(('cct2', ('mi_idx', 'cc')), 'cct1')",64698.17
"('mi_idx', 'cc')",58931.59
"('cct2', ('mi_idx', 'cc'))",64134.64
