order,costs
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"(('t', ('mc', 'cc')), 'cct2')",93699.06
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"(('t', ('mc', 'cc')), 'cct2')",93699.06
"('cc', 't')",113916.74
"('mc', ('cc', 't'))",155121.65
"('cct2', ('mc', ('cc', 't')))",155308.69
"('cct2', 'cc')",3776.49
"('t', 'mc')",93753.64
"(('cct2', 'cc'), ('t', 'mc'))",100931.88
"('cct2', 'cc')",3776.49
"('t', 'mc')",93753.64
"(('cct2', 'cc'), ('t', 'mc'))",100931.88
"('cct2', 'cc')",3776.49
"('t', 'mc')",93753.64
"(('cct2', 'cc'), ('t', 'mc'))",100931.88
"('cct2', 'cc')",3776.49
"('t', 'mc')",93753.64
"(('cct2', 'cc'), ('t', 'mc'))",100931.88
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"('cct2', ('t', ('mc', 'cc')))",93946.82
"('cc', 't')",113916.74
"('mc', ('cc', 't'))",155121.65
"(('mc', ('cc', 't')), 'cct2')",154040.34
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"(('t', ('mc', 'cc')), 'cct2')",93699.06
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"('cct2', ('t', ('mc', 'cc')))",93946.82
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"(('t', ('mc', 'cc')), 'cct2')",93699.06
"('mc', 't')",109555.97
"(('mc', 't'), 'cc')",110514.63
"('cct2', (('mc', 't'), 'cc'))",110552.0
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"('cct2', ('t', ('mc', 'cc')))",93946.82
"('mc', 'cc')",46248.79
"('t', ('mc', 'cc'))",93909.45
"('cct2', ('t', ('mc', 'cc')))",93946.82
"('cct2', 'cc')",3776.49
"('t', 'mc')",93753.64
"(('cct2', 'cc'), ('t', 'mc'))",100931.88
"('cct2', 'cc')",3776.49
"('t', 'mc')",93753.64
