order,costs
"('cc', 't')",57977.86
"(('cc', 't'), 'mk')",57980.51
"((('cc', 't'), 'mk'), 'cct1')",57980.83
"('cc', 't')",57977.86
"(('cc', 't'), 'mk')",57980.51
"('cct1', (('cc', 't'), 'mk'))",57981.59
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 't')",280754.81
"((('cc', 'mk'), 't'), 'cct1')",280755.66
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 't')",280754.81
"('cct1', (('cc', 'mk'), 't'))",280756.07
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 't')",280754.81
"('cct1', (('cc', 'mk'), 't'))",280756.07
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 'mk')",210061.16
"('cct1', ('cc', 'mk'))",285847.4
"('t', ('cct1', ('cc', 'mk')))",386977.14
"('cct1', (('cc', 'mk'), 't'))",280756.07
"('cc', 'mk')",210061.16
"('cct1', ('cc', 'mk'))",285847.4
"('t', ('cct1', ('cc', 'mk')))",386977.14
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 't')",280754.81
"('cct1', (('cc', 'mk'), 't'))",280756.07
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 'mk')",210061.16
"('cct1', ('cc', 'mk'))",285847.4
"('t', ('cct1', ('cc', 'mk')))",386977.14
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 't')",280754.81
"('cct1', (('cc', 'mk'), 't'))",280756.07
"('cc', 'mk')",210061.16
"('cct1', ('cc', 'mk'))",285847.4
"('t', ('cct1', ('cc', 'mk')))",386977.14
"('cc', 't')",57977.86
"('cct1', ('cc', 't'))",57978.92
"('mk', ('cct1', ('cc', 't')))",144662.99
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 't')",163688.29
"((('mk', 'cc'), 't'), 'cct1')",163687.57
"('cct1', 'cc')",3776.49
"('cct1', 'cc')",3776.49
"('mk', 't')",103814.71
"('t', ('cct1', 'cc'))",59734.36
"(('mk', 't'), ('cct1', 'cc'))",108012.18
"(('t', ('cct1', 'cc')), 'mk')",59737.02
"('cct1', 'cc')",3776.49
"('mk', 't')",103814.71
"(('mk', 't'), ('cct1', 'cc'))",108012.18
"('cct1', 'cc')",3776.49
"('t', ('cct1', 'cc'))",59734.36
"(('t', ('cct1', 'cc')), 'mk')",59737.02
"('cct1', 'cc')",3776.49
"('mk', 't')",103814.71
"(('mk', 't'), ('cct1', 'cc'))",108012.18
"('mk', 'cc')",202242.54
"('cct1', ('mk', 'cc'))",278028.77
"('t', ('cct1', ('mk', 'cc')))",379158.41
"('mk', 'cc')",202242.54
"('cct1', ('mk', 'cc'))",278028.77
"('t', ('cct1', ('mk', 'cc')))",379158.41
"('cct1', 'cc')",3776.49
"('mk', ('cct1', 'cc'))",106039.93
"('t', ('mk', ('cct1', 'cc')))",135447.08
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 't')",59401.53
"('mk', (('cct1', 'cc'), 't'))",113576.48
"('cc', 't')",57977.86
"(('cc', 't'), 'mk')",57980.51
"('cct1', (('cc', 't'), 'mk'))",57981.59
"('cc', 't')",57977.86
