order,costs
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'cc')",55547.99
"(('t', 'cc'), 'cct1')",55548.16
"('mi', (('t', 'cc'), 'cct1'))",297521.39
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'cc')",55547.99
"(('t', 'cc'), 'mi')",55553.47
"((('t', 'cc'), 'mi'), 'cct1')",55553.64
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'cc')",55547.99
"(('t', 'cc'), 'cct1')",55548.16
"('mi', (('t', 'cc'), 'cct1'))",297521.39
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('cct1', (('t', 'mi'), 'cc'))",55547.35
"('t', 'cc')",55547.99
"(('t', 'cc'), 'mi')",55553.47
"('cct1', (('t', 'cc'), 'mi'))",55554.53
"('t', 'mi')",55545.79
"(('t', 'mi'), 'cc')",55546.28
"('t', 'cc')",55547.99
"(('t', 'cc'), 'cct1')",55548.16
"('t', 'mi')",55545.79
"('mi', (('t', 'cc'), 'cct1'))",297521.39
"(('t', 'mi'), 'cc')",55546.28
"('t', 'mi')",55545.79
"('t', 'cc')",55547.99
"(('t', 'mi'), 'cc')",55546.28
"(('t', 'cc'), 'cct1')",55548.16
"('mi', (('t', 'cc'), 'cct1'))",297521.39
"('t', 'cc')",55547.99
"(('t', 'cc'), 'cct1')",55548.16
"('mi', (('t', 'cc'), 'cct1'))",297521.39
"('cc', 'mi')",366784.5
"('cct1', ('cc', 'mi'))",371085.37
"('t', ('cct1', ('cc', 'mi')))",430388.67
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('cct1', ('cc', 'mi'))",371085.37
"('t', ('cct1', ('cc', 'mi')))",430388.67
"('cc', 'mi')",366784.5
"('cct1', ('cc', 'mi'))",371085.37
"('t', ('cct1', ('cc', 'mi')))",430388.67
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('cct1', ('cc', 'mi'))",371085.37
"('t', ('cct1', ('cc', 'mi')))",430388.67
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"(('t', ('cc', 'mi')), 'cct1')",424040.55
"('cc', 't')",57977.41
"('cct1', ('cc', 't'))",57978.47
"(('cct1', ('cc', 't')), 'mi')",57983.95
"('cc', 'mi')",366784.5
"('t', ('cc', 'mi'))",424040.38
"('cct1', ('t', ('cc', 'mi')))",424041.45
"('cc', 'mi')",366784.5
"('cct1', ('cc', 'mi'))",371085.37
"(('cct1', ('cc', 'mi')), 't')",430491.2
"('cc', 't')",57977.41
"('cct1', ('cc', 't'))",57978.47
