order,costs
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mc', 't')",88085.03
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",91889.13
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812385.63
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"('t', ('mc', ('mk', 'k')))",141297.83
"('t', 'mc')",55557.33
"('k', 'mk')",3802.56
"(('k', 'mk'), ('t', 'mc'))",59361.43
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812385.63
"('mk', 't')",103813.89
"('k', ('mk', 't'))",106499.08
"(('k', ('mk', 't')), 'mc')",106499.68
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812385.63
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812385.63
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 't')",103813.89
"('k', ('mk', 't'))",106499.08
"(('k', ('mk', 't')), 'mc')",106499.68
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
"(('k', ('mk', 'mc')), 't')",812385.63
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('mk', 't')",103813.89
"('k', ('mk', 't'))",106499.08
"(('k', ('mk', 't')), 'mc')",106499.68
"('mk', 'k')",51966.45
"('mk', 't')",103813.89
"('mc', ('mk', 'k'))",85753.47
"('k', ('mk', 't'))",106499.08
"(('mc', ('mk', 'k')), 't')",85773.18
"(('k', ('mk', 't')), 'mc')",106499.68
"('mk', 't')",103813.89
"('k', ('mk', 't'))",106499.08
"('mk', 't')",103813.89
"(('k', ('mk', 't')), 'mc')",106499.68
"('k', ('mk', 't'))",106499.08
"(('k', ('mk', 't')), 'mc')",106499.68
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85773.18
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mc')",3822.58
