order,costs
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'cc')",19098.61
"('it2', 'mi_idx')",19579.36
"('cc', ('it2', 'mi_idx'))",22363.33
"(('cc', ('it2', 'mi_idx')), 'cct1')",22384.88
"('it2', 'mi_idx')",19579.36
"(('it2', 'mi_idx'), 'cc')",25061.73
"('cct1', (('it2', 'mi_idx'), 'cc'))",25185.86
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), ('it2', 'mi_idx'))",25992.26
"('mi_idx', 'cc')",55753.38
"('it2', ('mi_idx', 'cc'))",61105.15
"('cct1', ('it2', ('mi_idx', 'cc')))",61229.28
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), ('it2', 'mi_idx'))",25992.26
"('cc', 'mi_idx')",53958.23
"(('cc', 'mi_idx'), 'it2')",55126.15
"((('cc', 'mi_idx'), 'it2'), 'cct1')",55231.35
"('cc', 'cct1')",2818.25
"(('cc', 'cct1'), ('it2', 'mi_idx'))",22822.5
"('cc', 'cct1')",2818.25
"(('it2', 'mi_idx'), ('cc', 'cct1'))",23306.64
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), ('it2', 'mi_idx'))",25992.26
"('cc', 'cct1')",2818.25
"(('cc', 'cct1'), ('it2', 'mi_idx'))",22822.5
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), ('it2', 'mi_idx'))",25992.26
"('cc', 'cct1')",2818.25
"(('cc', 'cct1'), ('it2', 'mi_idx'))",22822.5
"('mi_idx', 'cc')",55753.38
"('it2', ('mi_idx', 'cc'))",61105.15
"('cct1', ('it2', ('mi_idx', 'cc')))",61229.28
"('cct1', ('cc', ('it2', 'mi_idx')))",22487.45
"('cct1', ('cc', ('it2', 'mi_idx')))",22487.45
"('mi_idx', 'cc')",55753.38
"('it2', ('mi_idx', 'cc'))",61105.15
"('cct1', ('it2', ('mi_idx', 'cc')))",61229.28
"('mi_idx', 'cc')",55753.38
"('it2', ('mi_idx', 'cc'))",61105.15
"('cct1', ('it2', ('mi_idx', 'cc')))",61229.28
"('cct1', ('cc', ('it2', 'mi_idx')))",22487.45
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cct1', 'cc')",5988.01
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"('cct1', 'cc')",5988.01
"('cct1', 'cc')",5988.01
"('cct1', 'cc')",5988.01
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"('cct1', 'cc')",5988.01
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"('cct1', 'cc')",5988.01
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"('cc', ('mi_idx', 'it2'))",20291.87
"('cct1', ('cc', ('mi_idx', 'it2')))",20415.99
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', ('mi_idx', 'it2'))",20291.87
"('cct1', ('cc', ('mi_idx', 'it2')))",20415.99
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cct1', 'cc')",5988.01
"(('mi_idx', 'it2'), ('cct1', 'cc'))",23335.27
"(('cct1', 'cc'), ('mi_idx', 'it2'))",23920.8
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', ('mi_idx', 'it2'))",20291.87
"('cct1', ('cc', ('mi_idx', 'it2')))",20415.99
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"(('cc', 'cct1'), ('it2', 'mi_idx'))",22822.5
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', ('mi_idx', 'it2'))",20291.87
"('cct1', ('cc', ('mi_idx', 'it2')))",20415.99
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"('mi_idx', 'cc')",55753.38
"(('mi_idx', 'cc'), 'it2')",36570.53
"((('mi_idx', 'cc'), 'it2'), 'cct1')",36390.83
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"('cct1', ('cc', 'mi_idx'))",77899.62
"('it2', ('cct1', ('cc', 'mi_idx')))",80576.71
"('cct1', 'cc')",5988.01
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cct1', 'cc')",5988.01
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"('cct1', 'cc')",5988.01
"('cc', 'cct1')",2818.25
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"('mi_idx', ('cc', 'cct1'))",32745.76
"(('mi_idx', ('cc', 'cct1')), 'it2')",21863.19
"('cc', 'mi_idx')",53958.23
"('it2', ('cc', 'mi_idx'))",59310.0
"(('it2', ('cc', 'mi_idx')), 'cct1')",59415.2
"('cc', 'mi_idx')",53958.23
"(('cc', 'mi_idx'), 'it2')",55126.15
"('cct1', (('cc', 'mi_idx'), 'it2'))",55250.28
"((('it2', 'mi_idx'), 'cc'), 'cct1')",25083.28
"('cct1', ('cc', 'mi_idx'))",77899.62
"('it2', ('cct1', ('cc', 'mi_idx')))",80576.71
"('cct1', 'cc')",5988.01
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"((('it2', 'mi_idx'), 'cc'), 'cct1')",25083.28
"('cct1', 'cc')",5988.01
"('mi_idx', ('cct1', 'cc'))",35915.52
"(('mi_idx', ('cct1', 'cc')), 'it2')",25032.95
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), ('it2', 'mi_idx'))",25992.26
"('cct1', 'cc')",5988.01
"('mi_idx', ('cct1', 'cc'))",35915.52
"(('mi_idx', ('cct1', 'cc')), 'it2')",25032.95
"('cc', 'cct1')",2818.25
"(('mi_idx', 'it2'), ('cc', 'cct1'))",20165.51
"('cc', 'cct1')",2818.25
"(('cc', 'cct1'), ('mi_idx', 'it2'))",20751.04
"('mi_idx', ('cc', 'cct1'))",32745.76
"('it2', ('mi_idx', ('cc', 'cct1')))",35422.85
"('mi_idx', ('cc', 'cct1'))",32745.76
"(('mi_idx', ('cc', 'cct1')), 'it2')",21863.19
"(('mi_idx', 'cc'), 'cct1')",58068.05
"((('mi_idx', 'cc'), 'cct1'), 'it2')",37103.49
"(('mi_idx', 'cc'), 'it2')",36570.53
"((('mi_idx', 'cc'), 'it2'), 'cct1')",36390.83
"(('it2', 'mi_idx'), ('cct1', 'cc'))",26476.4
"(('mi_idx', 'cc'), 'cct1')",58068.05
"('it2', (('mi_idx', 'cc'), 'cct1'))",60745.14
"('mi_idx', 'cc')",55753.38
"(('mi_idx', 'cc'), 'it2')",36570.53
"((('mi_idx', 'cc'), 'it2'), 'cct1')",36390.83
"('mi_idx', ('cc', 'cct1'))",32745.76
"(('mi_idx', ('cc', 'cct1')), 'it2')",21863.19
"(('cc', 'cct1'), ('mi_idx', 'it2'))",20751.04
"(('it2', 'mi_idx'), ('cc', 'cct1'))",23306.64
"(('cc', 'cct1'), ('mi_idx', 'it2'))",20751.04
