order,costs
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi')",537639.99
"('cct2', (('mk', 'cc'), 'mi'))",571445.35
"('mi', 'cc')",254651.46
"(('mi', 'cc'), 'mk')",408088.02
"('cct2', (('mi', 'cc'), 'mk'))",426716.15
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('mk', ('cc', 'mi'))",414679.84
"(('mk', ('cc', 'mi')), 'cct2')",429301.27
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"(('mk', ('cc', 'cct2')), 'mi')",426870.8
"('cc', 'mi')",268372.89
"('mk', ('cc', 'mi'))",414679.84
"(('mk', ('cc', 'mi')), 'cct2')",429301.27
"('cc', 'mi')",268372.89
"('mk', ('cc', 'mi'))",414679.84
"(('mk', ('cc', 'mi')), 'cct2')",429301.27
"('cc', 'mi')",268372.89
"('mk', ('cc', 'mi'))",414679.84
"(('mk', ('cc', 'mi')), 'cct2')",429301.27
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"(('mk', ('cc', 'cct2')), 'mi')",426870.8
"('cc', 'mi')",268372.89
"('mk', ('cc', 'mi'))",414679.84
"(('mk', ('cc', 'mi')), 'cct2')",429301.27
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"(('mk', ('cc', 'cct2')), 'mi')",426870.8
"('cc', 'cct2')",2818.24
"('mi', 'mk')",504818.3
"(('mi', 'mk'), ('cc', 'cct2'))",393449.65
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'cct2')",2818.24
"('mi', 'mk')",504818.3
"(('mi', 'mk'), ('cc', 'cct2'))",393449.65
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('mk', ('cc', 'mi'))",414679.84
"(('mk', ('cc', 'mi')), 'cct2')",429301.27
"('cc', 'mi')",268372.89
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('cc', 'cct2')",2818.24
"('mi', ('cc', 'cct2'))",247182.42
"('mk', ('mi', ('cc', 'cct2')))",377773.92
"('cc', 'mi')",268372.89
"('cct2', ('cc', 'mi'))",269127.14
"('mk', ('cct2', ('cc', 'mi')))",399718.63
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"(('mi', ('mk', 'cc')), 'cct2')",481167.19
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('mi', 'mk')",504818.3
"('cc', ('mi', 'mk'))",576114.74
"(('cc', ('mi', 'mk')), 'cct2')",584172.02
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"('cc', ('mi', 'mk'))",576114.74
"(('cc', ('mi', 'mk')), 'cct2')",584172.02
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', 'mk')",504818.3
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('cct2', 'cc')",3776.49
"(('cct2', 'cc'), ('mi', 'mk'))",934604.08
"('mi', ('mk', 'cc'))",589571.59
"('cct2', ('mi', ('mk', 'cc')))",608199.68
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('cc', 'cct2')",2818.24
"('mi', ('cc', 'cct2'))",247182.42
"(('mi', ('cc', 'cct2')), 'mk')",287209.18
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"('mi', ('mk', ('cc', 'cct2')))",366819.91
"('cc', 'cct2')",2818.24
"('mi', 'mk')",504818.3
"(('cc', 'cct2'), ('mi', 'mk'))",566676.59
"('cct2', ('mk', ('cc', 'mi')))",448485.21
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"('mi', ('mk', ('cc', 'cct2')))",366819.91
"('cc', 'cct2')",2818.24
"('mi', ('cc', 'cct2'))",247182.42
"(('mi', ('cc', 'cct2')), 'mk')",287209.18
"('mi', 'mk')",504818.3
"(('mi', 'mk'), ('cc', 'cct2'))",393449.65
"('cc', 'cct2')",2818.24
"('mi', 'mk')",504818.3
"(('cc', 'cct2'), ('mi', 'mk'))",566676.59
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"(('mk', ('cc', 'cct2')), 'mi')",426870.8
"('cct2', ('mk', ('cc', 'mi')))",448485.21
"('mi', ('cc', 'cct2'))",247182.42
"(('mi', ('cc', 'cct2')), 'mk')",287209.18
"(('cc', 'cct2'), ('mi', 'mk'))",566676.59
"('cc', 'cct2')",2818.24
"('mi', 'mk')",504818.3
"(('cc', 'cct2'), ('mi', 'mk'))",566676.59
"('cc', 'cct2')",2818.24
"(('mi', 'mk'), ('cc', 'cct2'))",393449.65
"(('cc', 'cct2'), ('mi', 'mk'))",566676.59
"('cc', 'cct2')",2818.24
"('mi', ('cc', 'cct2'))",247182.42
"('mk', ('mi', ('cc', 'cct2')))",377773.92
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('cc', 'cct2')",2818.24
"('mk', 'mi')",415118.3
"(('mk', 'mi'), ('cc', 'cct2'))",433873.86
"('cc', 'cct2')",2818.24
"('mk', ('cc', 'cct2'))",105081.68
"(('mk', ('cc', 'cct2')), 'mi')",426870.8
"('mk', ('cc', 'mi'))",414679.84
"('cct2', ('mk', ('cc', 'mi')))",448485.21
"('cc', 'cct2')",2818.24
"(('mi', 'mk'), ('cc', 'cct2'))",393449.65
"('mi', 'mk')",504818.3
"(('mi', 'mk'), ('cc', 'cct2'))",393449.65
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"((('mk', 'cc'), 'mi'), 'cct2')",552261.41
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"(('mk', 'cc'), 'cct2')",235020.69
"('mi', (('mk', 'cc'), 'cct2'))",422043.55
"('mk', 'mi')",415118.3
"('cct2', 'cc')",3776.49
"(('mk', 'mi'), ('cct2', 'cc'))",430609.59
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"('cc', ('mk', 'mi'))",446580.22
"(('cc', ('mk', 'mi')), 'cct2')",461201.64
"((('mk', 'cc'), 'mi'), 'cct2')",552261.41
"(('cc', 'cct2'), 'mk')",88754.91
"((('cc', 'cct2'), 'mk'), 'mi')",369053.28
"('mi', ('cc', 'cct2'))",247182.42
"(('mi', ('cc', 'cct2')), 'mk')",287209.18
"('mi', 'mk')",504818.3
"(('cc', 'cct2'), ('mi', 'mk'))",566676.59
"('cc', 'cct2')",2818.24
"('mi', ('cc', 'cct2'))",247182.42
"(('mi', ('cc', 'cct2')), 'mk')",287209.18
"(('cc', 'cct2'), 'mk')",88754.91
"((('cc', 'cct2'), 'mk'), 'mi')",369053.28
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
"((('mk', 'mi'), 'cc'), 'cct2')",456698.92
"('mk', 'mi')",415118.3
"(('mk', 'mi'), ('cct2', 'cc'))",430609.59
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
