order,costs
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mi', 'mk')",504818.3
"('k', ('mi', 'mk'))",589032.48
"('cc', ('k', ('mi', 'mk')))",592134.57
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mi', 'mk')",504818.3
"('cc', ('mi', 'mk'))",576114.74
"(('cc', ('mi', 'mk')), 'k')",583550.33
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",365306.23
"(('k', ('mk', 'cc')), 'mi')",366009.8
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",365306.23
"(('k', ('mk', 'cc')), 'mi')",366009.8
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112706.52
"((('mk', 'cc'), 'k'), 'mi')",112982.92
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"(('mi', ('mk', 'cc')), 'k')",445716.78
"('mi', 'mk')",504818.3
"('k', ('mi', 'mk'))",589032.48
"('cc', ('k', ('mi', 'mk')))",592134.57
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mi', 'cc')",254651.46
"(('mi', 'cc'), 'mk')",408088.02
"((('mi', 'cc'), 'mk'), 'k')",320499.5
"('mi', 'mk')",504818.3
"('mi', 'cc')",254651.46
"('k', ('mi', 'mk'))",589032.48
"(('mi', 'cc'), 'mk')",408088.02
"(('k', ('mi', 'mk')), 'cc')",589082.98
"((('mi', 'cc'), 'mk'), 'k')",320499.5
"('mi', 'cc')",254651.46
"(('mi', 'cc'), 'mk')",408088.02
"((('mi', 'cc'), 'mk'), 'k')",320499.5
"('mi', 'cc')",254651.46
"(('mi', 'cc'), 'mk')",408088.02
"((('mi', 'cc'), 'mk'), 'k')",320499.5
"('mi', 'cc')",254651.46
"(('mi', 'cc'), 'mk')",408088.02
"((('mi', 'cc'), 'mk'), 'k')",320499.5
"('k', 'mk')",11075.82
"('mi', ('k', 'mk'))",253632.57
"(('mi', ('k', 'mk')), 'cc')",256089.88
"('k', 'mk')",11075.82
"('mi', ('k', 'mk'))",253632.57
"(('mi', ('k', 'mk')), 'cc')",256089.88
"('k', 'mk')",11075.82
"('mi', ('k', 'mk'))",253632.57
"(('mi', ('k', 'mk')), 'cc')",256089.88
"('k', 'mk')",11075.82
"('mi', ('k', 'mk'))",253632.57
"(('mi', ('k', 'mk')), 'cc')",256089.88
"('k', 'mk')",11075.82
"('mi', 'cc')",254651.46
"(('mi', 'cc'), ('k', 'mk'))",259932.44
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"('mi', ('k', ('cc', 'mk')))",615765.05
"('mi', 'cc')",254651.46
"('mk', ('mi', 'cc'))",408987.03
"(('mk', ('mi', 'cc')), 'k')",416422.6
"('k', 'mk')",11075.82
"('mi', 'cc')",254651.46
"(('mi', 'cc'), ('k', 'mk'))",259932.44
"('k', 'mk')",11075.82
"(('k', 'mk'), 'mi')",11601.27
"(('mk', 'cc'), 'k')",112706.52
"('mi', (('mk', 'cc'), 'k'))",354142.48
"('k', 'mk')",11075.82
"(('k', 'mk'), 'mi')",11601.27
"('mi', 'cc')",254651.46
"('mk', ('mi', 'cc'))",408987.03
"(('mk', ('mi', 'cc')), 'k')",416422.6
"('mi', 'cc')",254651.46
"('mk', ('mi', 'cc'))",408987.03
"(('mk', ('mi', 'cc')), 'k')",416422.6
"('cc', 'mk')",210061.16
"('mi', ('cc', 'mk'))",528514.14
"(('mi', ('cc', 'mk')), 'k')",501778.9
"('k', 'mk')",11075.82
"('mi', 'cc')",254651.46
"(('mi', 'cc'), ('k', 'mk'))",259932.44
"('k', 'mk')",11075.82
"('mi', ('k', 'mk'))",253632.57
"(('mi', ('k', 'mk')), 'cc')",256089.88
"('k', 'mk')",11075.82
"('mi', 'cc')",254651.46
"(('mi', 'cc'), ('k', 'mk'))",259932.44
"('k', 'mk')",11075.82
"('mi', ('k', 'mk'))",253632.57
"(('mi', ('k', 'mk')), 'cc')",256089.88
"(('mk', 'cc'), 'mi')",537639.99
"((('mk', 'cc'), 'mi'), 'k')",525612.1
"('k', 'mk')",11075.82
"('mi', 'cc')",254651.46
"(('mi', 'cc'), ('k', 'mk'))",259932.44
"('cc', 'mk')",210061.16
"('mi', ('cc', 'mk'))",528514.14
"(('mi', ('cc', 'mk')), 'k')",501778.9
"('cc', 'mi')",268372.89
"('mk', 'k')",52825.29
"('cc', 'mk')",210061.16
"(('mk', 'k'), ('cc', 'mi'))",324477.06
"('mi', ('cc', 'mk'))",528514.14
"('cc', 'mk')",210061.16
"(('mi', ('cc', 'mk')), 'k')",501778.9
"('mi', ('cc', 'mk'))",528514.14
"(('mi', ('cc', 'mk')), 'k')",501778.9
"('cc', 'mi')",268372.89
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'mi'))",324477.06
"('cc', 'mk')",210061.16
"('mi', ('cc', 'mk'))",528514.14
"(('mi', ('cc', 'mk')), 'k')",501778.9
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"(('mi', 'cc'), 'mk')",408088.02
"((('mi', 'cc'), 'mk'), 'k')",320499.5
"('mk', 'mi')",415118.3
"('cc', ('mk', 'mi'))",446580.22
"('k', ('cc', ('mk', 'mi')))",568806.19
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",365306.23
"(('k', ('mk', 'cc')), 'mi')",366009.8
"('mi', 'cc')",254651.46
"('mk', ('mi', 'cc'))",408987.03
"(('mk', ('mi', 'cc')), 'k')",416422.6
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112706.52
"('mi', (('mk', 'cc'), 'k'))",354142.48
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"('k', ('mi', ('mk', 'cc')))",658503.91
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'k')",423939.28
"((('mk', 'mi'), 'k'), 'cc')",423989.78
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"('mi', (('mk', 'k'), 'cc'))",294315.89
"('mk', 'k')",52825.29
"('mi', ('mk', 'k'))",294228.96
"('cc', ('mi', ('mk', 'k')))",297331.06
"(('mk', 'cc'), 'k')",112706.52
"((('mk', 'cc'), 'k'), 'mi')",112982.92
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"(('mi', ('mk', 'cc')), 'k')",445716.78
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",589571.59
"(('mi', ('mk', 'cc')), 'k')",445716.78
"('mk', 'k')",52825.29
"('mi', ('mk', 'k'))",294228.96
"('cc', ('mi', ('mk', 'k')))",297331.06
"('mk', 'k')",52825.29
"(('mi', 'cc'), ('mk', 'k'))",300562.24
"(('mk', 'cc'), 'mi')",537639.99
"((('mk', 'cc'), 'mi'), 'k')",525612.1
"(('mk', 'cc'), 'mi')",537639.99
"((('mk', 'cc'), 'mi'), 'k')",525612.1
"(('mk', 'cc'), 'mi')",537639.99
"((('mk', 'cc'), 'mi'), 'k')",525612.1
"('mk', 'k')",52825.29
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"('mk', 'k')",52825.29
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'cc'), 'k')",112706.52
"((('mk', 'cc'), 'k'), 'mi')",112982.92
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('k', 'mk'), 'cc')",11188.15
"((('k', 'mk'), 'cc'), 'mi')",11891.72
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"('mk', 'k')",52825.29
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'cc'), 'mi')",537639.99
"((('mk', 'cc'), 'mi'), 'k')",525612.1
"(('mk', 'cc'), 'mi')",537639.99
"((('mk', 'cc'), 'mi'), 'k')",525612.1
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"('mk', 'k')",52825.29
"(('mk', 'k'), 'mi')",53030.38
"((('mk', 'k'), 'mi'), 'cc')",53048.85
"('mk', 'k')",52825.29
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"(('mk', 'k'), 'cc')",52879.93
"((('mk', 'k'), 'cc'), 'mi')",53156.33
"('mk', 'mi')",415118.3
"(('mk', 'mi'), 'cc')",448641.66
