order,costs
"('it2', 'mi_idx')",19579.36
"('t', 'mi')",59775.85
"(('it2', 'mi_idx'), ('t', 'mi'))",79401.17
"('t', 'mi')",59775.85
"(('t', 'mi'), 'mi_idx')",59780.57
"((('t', 'mi'), 'mi_idx'), 'it2')",59780.48
"('mi_idx', 'it2')",17507.9
"(('mi_idx', 'it2'), 'mi')",29718.17
"('t', (('mi_idx', 'it2'), 'mi'))",86679.06
"('t', 'mi_idx')",59499.19
"('mi', ('t', 'mi_idx'))",300852.96
"(('mi', ('t', 'mi_idx')), 'it2')",300852.86
"('mi', 'mi_idx')",301672.87
"('it2', ('mi', 'mi_idx'))",304906.46
"('t', ('it2', ('mi', 'mi_idx')))",363190.03
"('mi', 'mi_idx')",301672.87
"('it2', ('mi', 'mi_idx'))",304906.46
"(('it2', ('mi', 'mi_idx')), 't')",306267.21
"('it2', 'mi_idx')",19579.36
"('mi', ('it2', 'mi_idx'))",262343.22
"('t', ('mi', ('it2', 'mi_idx')))",319304.11
"('t', 'mi_idx')",59499.19
"('it2', ('t', 'mi_idx'))",59504.22
"(('it2', ('t', 'mi_idx')), 'mi')",59509.41
"('t', 'mi_idx')",59499.19
"(('t', 'mi_idx'), 'it2')",59481.15
"((('t', 'mi_idx'), 'it2'), 'mi')",59483.65
"('mi_idx', 'it2')",17507.9
"('mi', 't')",299507.09
"(('mi_idx', 'it2'), ('mi', 't'))",314811.74
"(('mi_idx', 'it2'), 't')",19249.79
"('mi_idx', 'mi')",307977.17
"('t', ('mi_idx', 'mi'))",367495.95
"('it2', ('t', ('mi_idx', 'mi')))",367498.45
"('it2', (('t', 'mi'), 'mi_idx'))",59783.07
"(('mi_idx', 'it2'), 't')",19249.79
"(('t', 'mi'), ('mi_idx', 'it2'))",75125.0
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"(('it2', 'mi_idx'), ('mi', 't'))",321284.82
"(('mi', 't'), ('mi_idx', 'it2'))",314856.23
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"('mi_idx', 'mi')",307977.17
"(('mi_idx', 'mi'), 'it2')",308683.6
"((('mi_idx', 'mi'), 'it2'), 't')",310044.35
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"('mi_idx', 'mi')",307977.17
"(('mi_idx', 'mi'), 't')",366849.71
"('it2', (('mi_idx', 'mi'), 't'))",366852.61
"(('mi', 't'), 'mi_idx')",299511.81
"('it2', (('mi', 't'), 'mi_idx'))",299514.31
"(('mi', 't'), 'mi_idx')",299511.81
"('it2', (('mi', 't'), 'mi_idx'))",299514.31
"(('mi_idx', 'it2'), ('t', 'mi'))",75080.51
"('mi_idx', 't')",73419.73
"('mi', ('mi_idx', 't'))",314776.69
"('it2', ('mi', ('mi_idx', 't')))",314779.59
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"(('mi_idx', 'it2'), ('t', 'mi'))",75080.51
"(('mi_idx', 'it2'), 't')",19249.79
"('mi', (('mi_idx', 'it2'), 't'))",260622.58
"(('mi', 't'), 'mi_idx')",299511.81
"('it2', (('mi', 't'), 'mi_idx'))",299514.31
"(('mi', 't'), ('it2', 'mi_idx'))",321315.32
"('t', (('mi_idx', 'mi'), 'it2'))",366967.17
"(('mi_idx', 'mi'), 'it2')",308683.6
"('t', (('mi_idx', 'mi'), 'it2'))",366967.17
"((('mi', 't'), 'mi_idx'), 'it2')",299511.71
"((('mi', 't'), 'mi_idx'), 'it2')",299511.71
"('mi_idx', 't')",73419.73
"('it2', ('mi_idx', 't'))",73424.75
"(('it2', ('mi_idx', 't')), 'mi')",73429.95
"(('t', 'mi'), ('mi_idx', 'it2'))",75125.0
"(('mi_idx', 'it2'), 't')",19249.79
"(('mi', ('mi_idx', 't')), 'it2')",314774.06
"((('mi', 't'), 'mi_idx'), 'it2')",299511.71
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"((('mi_idx', 'it2'), 'mi'), 't')",30056.26
"(('mi', 't'), 'mi_idx')",299511.81
"('it2', (('mi', 't'), 'mi_idx'))",299514.31
"(('mi', 't'), 'mi_idx')",299511.81
"((('mi', 't'), 'mi_idx'), 'it2')",299511.71
"('mi_idx', 'mi')",307977.17
"(('mi_idx', 'mi'), 'it2')",308683.6
"((('mi_idx', 'mi'), 'it2'), 't')",310044.35
