order,costs
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"('cc', 'mk')",210061.16
"('ci', ('k', ('cc', 'mk')))",878526.18
"('k', ('cc', 'mk'))",373124.85
"(('k', ('cc', 'mk')), 'ci')",373603.23
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"(('k', ('cc', 'mk')), 'ci')",373603.23
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"(('k', ('cc', 'mk')), 'ci')",373603.23
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"('ci', ('k', ('cc', 'mk')))",878526.18
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"(('k', ('cc', 'mk')), 'ci')",373603.23
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"(('k', ('cc', 'mk')), 'ci')",373603.23
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"('ci', ('k', ('cc', 'mk')))",878526.18
"('cc', 'ci')",666502.87
"('mk', 'k')",52825.29
"(('mk', 'k'), ('cc', 'ci'))",724424.3
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"(('k', ('cc', 'mk')), 'ci')",373603.23
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"('ci', ('k', ('cc', 'mk')))",878526.18
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",373124.85
"('ci', ('k', ('cc', 'mk')))",878526.18
"('ci', 'cc')",531740.47
"('mk', 'k')",52825.29
"(('mk', 'k'), ('ci', 'cc'))",569349.72
"('ci', 'cc')",531740.47
"('ci', 'cc')",531740.47
"('mk', 'k')",52825.29
"('mk', 'k')",52825.29
"(('mk', 'k'), ('ci', 'cc'))",569349.72
"(('mk', 'k'), ('ci', 'cc'))",569349.72
"('ci', 'cc')",531740.47
"('mk', 'k')",52825.29
"(('mk', 'k'), ('ci', 'cc'))",569349.72
"('ci', 'cc')",531740.47
"('mk', 'k')",52825.29
"(('mk', 'k'), ('ci', 'cc'))",569349.72
"('ci', 'cc')",531740.47
"('mk', 'k')",52825.29
"(('mk', 'k'), ('ci', 'cc'))",569349.72
"('mk', 'ci')",1023150.06
"('k', ('mk', 'ci'))",1188038.86
"(('k', ('mk', 'ci')), 'cc')",1181223.03
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",365306.23
"(('k', ('mk', 'cc')), 'ci')",365784.61
"('mk', 'ci')",1023150.06
"('k', ('mk', 'ci'))",1188038.86
"(('k', ('mk', 'ci')), 'cc')",1181223.03
"('mk', 'ci')",1023150.06
"('k', ('mk', 'ci'))",1188038.86
"(('k', ('mk', 'ci')), 'cc')",1181223.03
"('mk', 'ci')",1023150.06
"(('mk', 'ci'), 'cc')",744641.38
"((('mk', 'ci'), 'cc'), 'k')",686118.26
"('mk', 'ci')",1023150.06
