order,costs
"('mi', 'it1')",242412.59
"(('mi', 'it1'), 'mc')",243246.31
"('mi', 'it1')",242412.59
"(('mi', 'it1'), 'mc')",243246.31
"('mi', 'it1')",242412.59
"(('mi', 'it1'), 'mc')",243246.31
"('mi', 'it1')",242412.59
"(('mi', 'it1'), 'mc')",243246.31
"('mi', 'it1')",242412.59
"(('mi', 'it1'), 'mc')",243246.31
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"('mc', (('mi', 'ci'), 'it1'))",792040.34
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"('mc', (('mi', 'ci'), 'it1'))",792040.34
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'mc')",803995.79
"('it1', (('mi', 'ci'), 'mc'))",806730.12
"('mi', 'ci')",766778.68
"('mc', ('mi', 'ci'))",840153.1
"('it1', ('mc', ('mi', 'ci')))",846130.24
"('mi', 'ci')",766778.68
"('mc', ('mi', 'ci'))",840153.1
"('it1', ('mc', ('mi', 'ci')))",846130.24
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"('mi', 'ci')",766778.68
"('mc', ('mi', 'ci'))",840153.1
"('it1', ('mc', ('mi', 'ci')))",846130.24
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"('mc', (('mi', 'ci'), 'it1'))",792040.34
"('ci', (('mi', 'it1'), 'mc'))",784892.88
"(('mi', 'it1'), 'ci')",247076.57
"('mc', (('mi', 'it1'), 'ci'))",281199.12
"(('mi', 'it1'), 'ci')",247076.57
"((('mi', 'it1'), 'ci'), 'mc')",247405.51
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"((('mi', 'ci'), 'it1'), 'mc')",758247.45
"(('mi', 'it1'), 'ci')",247076.57
"('mc', (('mi', 'it1'), 'ci'))",281199.12
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'it1')",757917.77
"(('mi', 'it1'), 'ci')",247076.57
"('mc', (('mi', 'ci'), 'it1'))",792040.34
"('mc', (('mi', 'it1'), 'ci'))",281199.12
"('mi', 'ci')",766778.68
"(('mi', 'ci'), 'mc')",803995.79
"((('mi', 'ci'), 'mc'), 'it1')",782584.33
"(('mi', 'it1'), 'ci')",247076.57
