order,costs
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('t', ('ci', 'mi_idx'))",721318.1
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('t', ('ci', 'mi_idx'))",721318.1
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('ci', 'mi_idx')",698212.28
"('t', ('ci', 'mi_idx'))",721318.1
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"('ci', 'mi_idx')",698212.28
"('t', ('ci', 'mi_idx'))",721318.1
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"('ci', 't')",720254.05
"('mc', 'mi_idx')",240881.25
"(('mc', 'mi_idx'), ('ci', 't'))",1300711.58
"('ci', 't')",720254.05
"('mi_idx', ('ci', 't'))",808462.76
"(('mi_idx', ('ci', 't')), 'mc')",913172.38
"('ci', 'mi_idx')",698212.28
"('ci', 't')",720254.05
"('t', ('ci', 'mi_idx'))",721318.1
"('mi_idx', ('ci', 't'))",808462.76
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"(('mi_idx', ('ci', 't')), 'mc')",913172.38
"('ci', 'mi_idx')",698212.28
"('t', ('ci', 'mi_idx'))",721318.1
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"('ci', 'mi_idx')",698212.28
"('t', ('ci', 'mi_idx'))",721318.1
"(('t', ('ci', 'mi_idx')), 'mc')",800571.9
"('ci', 'mi_idx')",698212.28
"('mc', 't')",259591.28
"(('mc', 't'), ('ci', 'mi_idx'))",828791.67
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('mi_idx', 't'), ('ci', 'mc'))",861131.99
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('mi_idx', 't'), ('ci', 'mc'))",861131.99
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('mi_idx', 't'), ('ci', 'mc'))",861131.99
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('mi_idx', 't'), ('ci', 'mc'))",861131.99
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 'mc')",252013.18
"('ci', ('mi_idx', 'mc'))",1125584.9
"(('ci', ('mi_idx', 'mc')), 't')",1795435.86
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('t', 'ci')",735159.89
"('mc', 'mi_idx')",240881.25
"(('t', 'ci'), ('mc', 'mi_idx'))",937489.26
"('t', 'ci')",735159.89
"('mc', 'mi_idx')",240881.25
"(('t', 'ci'), ('mc', 'mi_idx'))",937489.26
"('t', 'ci')",735159.89
"('mc', 'mi_idx')",240881.25
"(('t', 'ci'), ('mc', 'mi_idx'))",937489.26
"('t', 'ci')",735159.89
"('mc', 'mi_idx')",240881.25
"(('mc', 'mi_idx'), ('t', 'ci'))",1189388.91
"('mi_idx', 't')",164975.98
"('ci', 'mc')",798253.17
"(('ci', 'mc'), ('mi_idx', 't'))",1134098.36
"('t', 'ci')",735159.89
