order,costs
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'cn')",38212.24
"('mi_idx', ('mc', 'cn'))",54087.21
"('mi_idx', 'it2')",17507.9
"(('mi_idx', ('mc', 'cn')), 'it2')",54087.02
"(('mi_idx', 'it2'), 'mc')",19457.44
"((('mi_idx', 'it2'), 'mc'), 'cn')",19677.4
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'it2')",57416.86
"((('mc', 'mi_idx'), 'it2'), 'cn')",57636.82
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'cn')",62110.82
"('it2', (('mc', 'mi_idx'), 'cn'))",62113.33
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'cn')",62110.82
"('it2', (('mc', 'mi_idx'), 'cn'))",62113.33
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'cn')",62110.82
"('it2', (('mc', 'mi_idx'), 'cn'))",62113.33
